,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,CEN,EEC,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,0,0,0,42.751,0,0,27.001,20.801,0,49.506,0,0,24.771,25.439,0,32.435,22.836,20.577,20.508,15.956,0,9.431,0,0,0,0,0,0,0,19.5,6.3,0,0,3,-5.017,339.708,11/1/2012
1,01,0,0,0,0,0,0,0,0,42.946,0,0,29.001,21.401,0,49.654,0,0,25.495,25.439,0,32.861,26.136,20.618,19.469,0,0,8.956,0,0,0,0,0,0,0,19.7,0,0,11.109,-1.7,-9.815,322.316,11/1/2012
2,02,0,0,0,0,0,0,0,0,43.809,0,0,25.801,18.801,0,49.876,0,0,25.523,25.439,0,30.593,25.74,23.352,22.71,0,0,8.956,0,0,0,0,0,0,0,19.7,0,0,3.418,1,-4.01,320.016,11/1/2012
3,03,0,0,0,0,0,0,0,0,43.336,0,0,21.101,18.901,0,49.95,0,0,25.523,25.439,0,33.737,28.908,15.627,6.549,0,0,8.956,0,0,0,0,0,0,0,20,0,0,14.283,-8.8,-16.407,309.155,11/1/2012
4,04,0,0,0,0,0,0,0,0,42.807,0,0,30.601,18.501,0,49.358,0,0,25.523,25.439,0,30.638,24.816,13.754,10.364,0,0,8.956,0,0,0,0,0,0,0,20,0,0,33.326,-24.501,-26.716,318.842,11/1/2012
5,05,0,0,0,0,0,0,0,0,40.914,0,0,33.301,21.501,0,49.876,0,0,25.523,25.439,0,30.323,26.136,13.604,13.891,16.024,0,8.956,0,0,0,0,0,0,0,20,6.46,0,49.074,-27.801,-34.315,345.09,11/1/2012
6,06,0,0,0,0,0,0,0,0,36.934,0,0,30.901,21.901,0,49.802,0,0,25.523,25.439,0,31.873,25.74,6.781,7.629,0,0,8.956,0,0,0,0,0,0,0,20.5,6.5,47.3,30.885,-14.2,-18.403,347.681,11/1/2012
7,07,0,0,0,0,0,0,0,0,37.24,0,0,26.001,17.301,0,49.58,0,0,25.523,26.191,0,31.536,13.992,17.965,21.014,19.921,0,8.956,0,0,0,0,0,0,0,20.3,6.5,47.3,0,7,-1.611,364.135,11/1/2012
8,08,0,0,0,0,0,0,31.839,0,33.956,0,0,32.301,19.801,26.224,49.284,0,0,25.523,25.634,0,30.121,9.768,19.811,18.581,14.999,0,8.956,0,0,0,0,0,0,0,20,6.3,47.3,2.319,6,-4.303,416.426,11/1/2012
9,09,0,0,0,0,0,7.852,30.661,0,33.483,0,0,33.801,21.501,47.617,49.21,0,0,25.523,25.606,0,30.593,11.22,14.274,11.334,16.53,15.545,8.956,0,0,0,0,5.2,0,0,20.4,6.15,47.3,-26.978,19.301,6.098,464.409,11/1/2012
10,10,0,0,0,0,0,7.947,31.014,18.386,33.622,0,0,28.001,19.501,47.75,49.358,0,0,25.523,25.105,0,30.907,10.956,19.292,23.831,16.899,16.051,8.93,0,0,0,0,5.2,0,0,20.5,6,47.3,6.348,-2.5,-6.5,495.045,11/1/2012
