,AMY-L9030,AMY1,AMY2,CEN,Date,Demanda,EEC,EEC20,GSR,HORA,LNI-L9040,MTR,NSL,PBP,PCA1,PCA2,PCF1,PCF2,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PCHN,PEN1 y 2,PEN3,PHC2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,PNI1,PNI2,TCPI-L9150,TPC
0,1.6,0,0,39.679,1/10/2012,328.479,52.54,16.502,0,00,-16.48,0,0,0,6.754,0,0,0,0,0,0,0,0,10.108,6.622,20.287,0,0,0,33.638,0,0,0,0,5.2,5.2,0,21.1,6.07,25.662,25.662,11.39,49.965
1,11.1,0,0,39.417,1/10/2012,309.546,50.098,0,0,01,-18.311,0,0,0,0,0,0,0,0,0,0,0,0,8.716,8.154,20.078,29.809,0,0,33.378,0,0,0,0,5.2,5.2,0,21.3,6.38,25.662,25.69,19.886,43.139
2,10,0,0,39.722,1/10/2012,303.435,42.994,0,0,02,-26.368,0,0,0,0,0,0,0,0,0,0,0,0,8.687,2.262,20.126,27.749,0,0,33.858,0,0,0,0,5.2,5.2,0,21.2,6.5,25.801,25.606,19.098,41.23
3,7.3,0,0,36.665,1/10/2012,298.715,43.438,0,0,03,-20.875,0,0,0,0,0,0,0,0,0,0,0,0,8.709,2.262,20.126,27.36,0,0,33.617,0,0,0,0,5.2,5.2,0,21.4,6.3,25.745,25.606,17.597,41.109
4,6.5,0,0,29.661,1/10/2012,304.794,50.172,0,0,04,-22.706,0,0,0,0,0,0,0,0,0,0,0,0,8.782,2.469,20.319,28.056,0,0,33.407,0,0,0,0,5.2,5.2,0,21.4,0,25.411,25.606,14.484,47.389
5,8.3,0,0,39.636,1/10/2012,329.55,49.21,0,0,05,-21.485,0,0,0,0,0,0,0,0,0,0,0,0,8.687,25.093,19.997,27.666,0,0,36.897,0,0,0,0,5.2,5.2,0,21,0,25.411,25.606,16.388,43.15
6,4.3,0,0,39.668,1/10/2012,341.302,50.098,0,0,06,-18.067,0,0,0,0,0,0,0,0,0,0,0,0,8.907,24.769,20.287,27.805,0,0,36.618,0,0,0,0,5.2,5.2,0,22,0,25.523,25.801,14.887,50.546
7,0.1,0,0,39.606,1/10/2012,362.736,51.208,0,0,07,-10.376,0,0,0,9.065,0,0,0,18.11,0,0,0,0,8.775,24.592,19.175,27.916,0,0,38.747,0,0,0,0,5.2,5.2,0,22,0,25.718,25.745,12.69,44.093
8,-6.2,0,0,39.699,1/10/2012,419.306,49.284,0,0,08,-2.075,0,0,0,9.776,0,0,0,18.278,18.69,10.389,19.41,0,8.738,24.74,19.465,27.694,0,0,39.018,0,0,0,0,5.2,5.2,0,21.3,0,25.662,25.745,7.196,49.939
9,0.5,0,0,20.57,1/10/2012,470.733,50.764,0,2.3,09,-25.147,0,0,0,21.479,0,0,23.626,18.068,18.567,15.052,18.409,8.887,8.665,24.474,19.063,27.165,0,0,38.397,0,0,0,0,5.2,5.2,0,21.4,0,34.429,25.718,9.595,48.248
10,-1.1,0,0,43.515,1/10/2012,487.902,45.214,0,3.8,10,-7.813,0,0,0,6.918,0,0,15.34,18.319,18.543,15.235,18.567,17.48,8.687,23.237,17.999,30.811,0,0,37.067,0,0,0,0,5.2,5.2,0,21.2,0,40.246,44.811,6.995,48.595
11,-4.2,0,0,43.519,1/10/2012,508.523,49.21,0,3.6,11,6.958,0,0,0,24.815,0,0,19.538,18.319,18.763,13.538,18.604,17.285,8.76,23.119,19.175,30.227,0,0,37.688,0,0,0,0,5.2,5.2,0,21.2,1,42.028,45.395,3.497,48.595
12,0.5,0,0,39.019,1/10/2012,510.412,48.248,0,3.7,12,-7.813,0,0,0,9.502,11.198,0,15.354,18.152,18.628,13.587,18.336,17.578,8.672,23.591,18.982,30.477,0,0,37.428,0,0,0,0,5.2,5.2,0,21.2,5.8,47.483,46.453,9.284,48.595
