,AMY-L9030,AMY1,AMY2,CEN,Date,Demanda,EEC,EEC20,EOL,GSR,HORA,LNI-L9040,MTR,NSL,PBP,PCA1,PCA2,PCF1,PCF2,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PEN1 y 2,PEN3,PHC2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,PNI1,PNI2,TCPI-L9150,TPC
0,35.001,20.801,13.8,29.165,1/11/2012,356.94,50.764,0,,0,00,24.903,0,0,19.591,0,0,0,0,0,0,0,0,0,12.012,32.075,0,35.181,0,33.768,0,0,0,0,0,5.2,0,18,3.2,25.634,25.773,0,39.565
1,24.401,13.3,10.9,18.973,1/11/2012,339.167,51.726,0,,0,01,30.641,0,0,18.121,0,0,0,0,0,0,0,0,0,12.1,32.428,0,35.209,0,33.778,0,0,0,0,0,5.2,0,18,3.2,25.634,26.052,0,38.682
2,32.601,18.001,15.501,8.632,1/11/2012,328.53,43.956,0,,0,02,11.719,0,0,26.209,0,0,0,0,0,0,0,0,0,11.91,32.075,0,35.069,0,33.918,0,0,0,0,0,0,0,18,3.2,25.105,25.718,0,38.642
3,40.801,26.901,14.8,8.699,1/11/2012,324.633,41.958,0,,0,03,20.875,0,0,26.578,8.655,0,0,0,0,0,0,0,0,11.932,30.72,0,0,0,33.547,0,0,0,0,0,0,0,18,3.2,25.801,25.523,0,47.391
4,49.802,30.401,19.301,8.616,1/11/2012,326.212,49.876,0,,0,04,12.207,0,0,26.735,0,0,0,0,0,0,0,0,0,11.983,29.453,0,0,0,34.177,0,0,0,0,0,0,0,18,3.2,25.801,25.523,0,45.24
5,0,33.901,19.101,20.462,1/11/2012,354.719,50.098,0,,0,05,8.667,0,0,28.626,0,0,0,0,0,0,0,0,0,11.975,29.453,0,0,0,33.938,0,0,0,0,0,0,0,18,3.2,25.801,25.3,0,47.13
6,6.6,37.601,21.801,32.529,1/11/2012,357.764,50.172,0,,0,06,16.358,0,0,30.517,0,0,0,0,0,0,0,0,0,12.005,30.72,0,0,0,34.007,0,0,0,0,5.2,0,0,18,3.2,25.495,25.495,0,38.178
7,1.2,36.501,19.701,42.248,1/11/2012,379.928,50.098,0,,0,07,3.174,0,0,25.159,0,0,0,0,0,0,0,0,0,11.719,30.189,0,0,0,33.998,0,0,0,0,5.2,0,0,18,3.2,25.551,25.523,0,42.108
8,18.301,38.801,22.601,49.788,1/11/2012,406.174,49.432,0,,0,08,0,0,0,26.262,15.436,0,0,0,0,0,0,0,0,11.199,29.099,2.063,16.755,0,33.348,0,0,0,0,5.2,0,0,18,3.2,25.662,25.606,0,44.918
9,0,33.901,16.901,49.655,1/11/2012,452.614,49.062,0,,0,09,28.809,0,0,20.852,13.672,0,24.132,0,3.459,0,0,0,0,10.159,28.716,17.355,32.286,0,33.488,0,0,0,0,5.2,0,0,18,3.2,25.662,25.495,0,50.618
10,0,23.701,16.901,49.694,1/11/2012,489.738,49.876,0,,0,10,48.341,0,0,22.112,11.457,0,20.18,0,18.152,18.702,18.079,0,0,10.401,29.335,17.064,32.37,0,33.587,0,0,0,0,5.2,0,0,18,0,25.551,25.272,0,46.14
11,0,17.201,12.6,49.749,1/11/2012,535.749,50.616,0,,1,11,50.295,0,0,25.474,7.52,0,16.202,0,18.432,18.628,17.75,17.017,17.48,10.371,29.129,16.436,32.425,0,36.018,0,0,0,0,5.2,0,0,18,0,25.217,25.523,0,46.141
12,0,14.1,5.8,45.692,1/11/2012,505.838,49.654,0,,1,12,83.621,0,0,13.97,16.448,0,24.323,0,18.236,18.763,17.591,16.871,17.383,11.822,31.368,16.404,32.37,0,35.777,0,0,0,0,5.2,0,0,18,0,25.217,25.551,0,47.318
13,0,5,4.4,45.758,1/11/2012,506.164,49.21,0,,1,13,53.713,0,0,17.122,15.668,0,20.755,0,17.927,18.421,15.882,16.468,17.383,11.661,30.072,17.419,31.98,0,36.448,0,0,0,0,5.2,0,0,18,0,25.578,25.773,0,45.85
14,0,4.6,4.7,45.747,1/11/2012,506.753,49.432,0,,1.8,14,40.529,0,0,10.24,24.46,0,24.473,0,18.236,18.445,15.894,16.614,17.383,11.595,28.392,16.001,32.342,0,34.848,0,0,0,0,5.2,0,0,18,0,31.924,25.439,0,50.315
15,0,0,0,48.867,1/11/2012,505.434,49.802,0,,2.1,15,49.806,0,0,5.566,12.606,0,22.409,0,18.18,18.409,15.845,16.773,17.383,11.77,30.248,16.404,32.286,0,33.228,0,0,0,0,5.2,5.2,0,18,0,47.427,25.523,0,46.913
16,0,0,0,49.181,1/11/2012,479.506,49.876,0,,2.1,16,66.042,0,0,8.717,7.069,0,15.573,0,18.319,18.323,16.077,16.858,17.383,11.734,30.455,16.468,32.286,0,32.998,0,0,0,0,5.2,5.2,0,18,0,34.318,25.801,0,50.309
