,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,0,0,0,0,0,0,11.814,31.839,0,0,0,9.4,8.8,10.766,49.478,47.434,0,7.019,0,25.467,0,34.074,16.764,0,0,0,0,0,38.137,0,0,0,0,0,5.2,0,18.2,6.07,50.227,0,0,-3.5,-4.413,378.602,1/12/2012
1,1,0,0,0,0,0,11.734,31.662,0,0,0,15.1,10.9,10.294,0,41.736,0,21.161,0,25.495,0,32.232,13.728,0,0,0,0,0,38.257,0,0,0,0,0,5.2,0,18.3,6.07,40.419,44.557,0,-31.501,-39.314,348.546,1/12/2012
2,2,0,0,0,0,0,11.851,32.016,0,0,0,19.901,12,13.077,0,41.736,0,15.245,0,25.3,0,33.288,14.52,0,0,0,0,0,38.087,0,0,0,0,0,5.2,0,18.6,6.07,37.666,33.326,0,-26.401,-30.213,347.845,1/12/2012
3,3,0,0,0,0,0,11.88,17.61,0,0,0,9.9,9.1,9.979,0,33.818,0,9.274,0,25.69,0,32.637,14.784,0,7.397,0,0,0,38.487,0,0,0,0,0,1,0,18.6,6.15,50.35,28.199,0,-40.001,-35.505,343.963,1/12/2012
4,4,0,0,0,0,0,11.719,28.746,0,0,0,19.401,12.3,9.138,0,42.55,0,27.45,0,25.606,0,32.053,16.632,0,0,0,0,0,38.078,0,0,0,0,0,0,0,18.8,6,40.327,37.965,0,-22.501,-31.806,345.142,1/12/2012
5,5,0,0,0,0,0,11.858,30.602,0,0,0,10.7,8.8,13.077,0,50.69,0,23.57,0,25.606,0,32.457,18.348,0,0,0,0,0,37.617,0,0,0,0,0,0,0,19.5,6.15,49.357,40.04,0,-26.901,-32.209,357.402,1/12/2012
6,6,0,0,0,0,0,11.924,30.602,0,0,0,19.301,11.5,8.98,0,42.254,0,23.812,0,25.272,0,32.322,19.404,0,0,0,0,0,37.518,0,0,0,0,0,0,0,19.8,5.9,37.725,36.866,0,-29.401,-37.007,355.856,1/12/2012
7,7,0,0,0,0,0,11.661,31.81,0,0,0,23.101,12,7.352,0.352,50.024,0,17.551,0,25.272,0,27.65,13.596,0,0,0,0,0,38.517,0,0,0,0,0,1,0,20.3,5.76,50.5,46.388,0,-38.701,-46.016,374.775,1/12/2012
8,8,0,0,0,0,0,11.946,32.075,0,0,0,22.801,16.201,1.523,14.74,50.024,0,29.373,0,25.745,0,30.323,18.348,0,0,0,0,0,37.927,0,0,0,0,0,5.2,0,19.6,5.44,49.242,38.575,0,-33.501,-45.119,410.553,1/12/2012
9,9,0,0,0,0,0,11.529,31.633,0,0,0,23.001,15.201,16.964,30.247,49.654,0,27.251,0,25.745,0,31.559,22.308,0,6.289,0,0,0,38.187,0,0,0,0,5.2,5.2,0,19.2,5.51,43.216,19.166,0,-22.601,-35.505,446.834,1/12/2012
10,10,0,0,0,0,0,11.726,31.721,0,0,0,20.701,15.1,18.383,33.511,49.654,0,15.003,0,25.634,0,31.132,22.308,0,18.704,0,0,0,37.768,0,0,0,0,5.2,5.2,0,19,5.52,48.801,27.467,0,-29.401,-38.71,455.71,1/12/2012
11,11,0,0,0,0,0,11.814,32.252,5.173,0,0,16.801,11.2,15.914,50.909,50.394,0,20.769,0,25.634,0,30.458,22.044,0,10.063,0,0,0,38.338,0,0,0,0,5.2,5.2,0,18.5,5.44,49.816,63.112,0,-47.701,-50.905,461.413,1/12/2012
12,12,0,0,0,0,0,11.734,31.662,21.85,0,0,15.401,12.4,12.342,50.78,49.58,0,11.673,0,25.578,0,28.144,18.876,0,16.735,0,0,0,38.047,0,0,0,0,0,5.2,0,18.7,5.44,49.316,45.289,0,-38.701,-41.713,458.583,1/12/2012
13,13,0,0,0,0,0,11.258,31.515,0,0,0,24.201,15.801,19.959,31.215,43.216,0,27.188,0,25.551,0,31.985,23.628,0,8.231,0,0,0,36.687,0,0,0,0,0,5.2,0,18.4,5.3,39.803,62.38,0,-41.601,-50.117,428.476,1/12/2012
14,14,0,0,0,0,0,10.994,31.162,0,0,0,26.301,14.2,23.39,21.502,48.914,0,24.922,0,25.578,0,28.706,18.612,0,6.973,0,0,0,38.638,0,0,0,0,0,5.2,0,18.3,5.21,42.846,38.942,0,-37.001,-51.711,441.218,1/12/2012
15,15,0,0,0,0,0,11.031,31.191,0,0,0,24.501,16.601,24.85,6.453,49.062,0,26.073,0,25.578,0,29.425,15.972,0,7.274,0,0,0,38.237,0,0,0,0,0,5.2,0,18.3,5.45,42.597,44.069,0,-34.301,-51.509,419.536,1/12/2012
16,16,0,0,0,0,0,11.448,31.839,0,0,0,17.601,12.4,19.906,0,49.95,0,22.796,0,25.606,0,32.12,19.8,0,6.822,0,0,0,37.457,0,0,0,0,0,5.2,0,18.3,5.44,49.91,83.132,0,-50.102,-62.203,395.768,1/12/2012
17,17,0,0,0,0,0,11.155,31.515,0,0,0,20.501,12.9,17.857,0,50.024,0,28.148,0,25.495,0,29.559,20.328,0,7.274,0,0,0,38.217,0,0,0,0,0,5.2,0,18.1,5.44,47.86,41.993,0,-40.201,-52.004,419.785,1/12/2012
18,18,0,0,12.598,0,0,11.551,31.545,23.301,21.849,0,35.501,22.501,36.978,51.173,42.032,0,33.603,0,25.662,0,30.66,24.288,0,7.438,0,0,0,36.977,0,0,0,0,5.2,5.2,0,18.1,5.59,37.766,74.953,0,-27.701,-58.211,530.472,1/12/2012
19,19,0,0,0,0,0,11.617,31.721,21.641,29.002,0,32.701,22.401,24.213,50.775,49.728,0,32.998,0,25.662,0,25.606,24.024,0,7.944,0,0,0,38.127,0,0,0,0,5.2,5.2,0,18.1,5.6,46.604,56.642,0,-41.201,-58.705,552.128,1/12/2012
20,20,0,0,0,0,0,11.902,32.193,0,34.986,0,18.801,12.3,24.686,51.052,49.802,0,19.987,0,25.69,0,28.459,25.608,0,16.188,0,15.299,0,36.627,0,0,0,0,5.2,5.2,0,18.3,5.6,50.431,46.999,0,-45.201,-52.718,539.231,1/12/2012
21,21,0,0,0,0,0,11.946,32.193,0,3.618,0,24.201,15.701,23.531,41.687,50.024,0,24.855,0,25.328,0,31.671,24.948,0,7.807,0,0,0,37.187,0,0,0,0,0,5.2,0,18.4,5.76,50.457,57.253,0,-49.401,-61.818,488.48,1/12/2012
22,22,0,0,0,0,0,11.653,31.662,0,0,0,21.401,13.2,25.211,30.052,50.098,0,26.621,0,25.384,0,31.042,23.892,0,0,0,0,0,36.387,0,0,0,0,0,5.2,0,18.3,5.86,49.973,45.045,0,-35.301,-48.817,445.009,1/12/2012
23,23,0,0,0,0,0,11.639,31.309,0,0,0,16.801,12.1,22.112,9.565,50.172,0,22.038,0,25.356,0,32.614,22.308,0,0,0,0,0,37.868,0,0,0,0,0,5.2,0,18.4,6,50.475,15.381,0,-14,-28.51,401.086,1/12/2012
0,0,0,0,0,0,0,11.69,31.456,0,0,0,20.501,13.7,16.702,0,42.328,0,22.249,0,25.356,0,29.267,22.176,0,0,0,0,0,36.667,0,0,0,0,0,0,0,18.3,5.92,42.302,16.968,0,-17.801,-33.106,372.553,2/12/2012
1,1,0,0,0,0,0,0,0,0,0,0,19.801,14.5,17.857,0,50.098,0,22.915,0,24.966,0,31.087,26.268,0,0,0,0,0,38.248,0,0,0,0,0,0,0,18.4,6.07,42.858,22.95,0,-27.301,-40.907,358.326,2/12/2012
2,2,0,0,0,0,0,0,0,0,0,0,19.601,15.801,19.171,0,44.77,14.356,24.722,0,25.69,0,30.031,28.908,0,0,0,0,0,37.527,0,0,0,0,0,0,0,18.6,6.07,21.336,35.524,0,-30.001,-42.701,343.761,2/12/2012
3,3,0,0,0,0,0,0,0,0,0,0,25.001,18.301,28.153,0,43.956,14.356,21.756,0,26.107,0,30.772,24.552,0,0,0,0,0,37.768,0,0,0,0,0,0,0,18.6,6.13,15.054,20.997,0,-14.4,-36.402,340.311,2/12/2012
4,4,0,0,0,0,0,0,0,0,0,0,27.801,15.601,28.363,0,50.32,0,25.379,0,25.634,0,34.119,24.684,0,0,0,0,0,38.038,0,0,0,0,0,0,0,18.3,6,15.12,31.617,0,-20.101,-42.409,340.252,2/12/2012
5,5,0,0,0,0,0,0,0,0,0,0,22.001,14.1,23.688,0,50.098,0,25.695,0,25.912,0,34.973,20.988,0,0,0,0,0,38.097,0,0,0,0,0,0,0,18.6,6.15,34.638,29.786,0,-23.001,-38.71,346.865,2/12/2012
6,6,0,0,0,0,0,0,0,0,0,0,20.601,14.3,22.9,0,42.402,0,28.458,0,25.94,0,29.986,26.928,0,0,0,0,0,37.937,0,0,0,0,0,0,0,20,6.13,10.396,22.34,0,-24.201,-39.515,327.354,2/12/2012
7,7,0,0,0,0,0,0,0,0,0,0,26.501,14.9,25.369,0,43.216,0,24.367,0,25.523,0,32.143,23.892,0,0,0,0,0,38.217,0,0,0,0,0,0,0,19.8,6,0,35.89,0,-38.101,-54.714,336.853,2/12/2012
