,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,CEN,EEC,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,0,0.33,0,0,0,38.901,22.001,0,49.358,0,0,25.5,25.439,0,33.6,28.248,6.658,6.713,0,0,3.129,38.6,0,0,0,0,0,0,19.6,6.5,47.1,3.784,10.6,-3.717,340.991,1/2/2012
1,01,0,0,0,0,0,0,0.33,0,0,0,38.401,22.001,0,44.696,14.504,0,25.4,25.439,0,33.468,30.228,7.328,5.975,0,0,3.094,38.6,0,0,0,0,0,0,19.6,6.5,20,6.226,3.3,-7.91,334.026,1/2/2012
2,02,0,0,0,0,0,0,0,0,0,0,39.201,22.501,0,50.838,16.576,0,25.5,24.66,0,10.535,26.4,10.391,9.748,0,0,3.13,38.4,0,0,0,0,0,0,19.8,6.5,20,10.62,3.3,-10.602,320.827,1/2/2012
3,03,0,0,0,0,0,0,0,0,0,0,38.601,22.301,0,51.356,16.872,0,25.5,25.495,0,30,26.928,7.93,7.752,0,0,3.09,38.3,0,0,0,0,0,0,19.8,6.5,0,6.958,2.4,-7.416,318.483,1/2/2012
4,04,0,0,0,0,0,0,0,0,0,0,38.901,22.201,0,50.986,16.724,0,25.6,25.439,0,33,24.684,8.162,9.625,0,0,3.12,38.5,0,0,0,0,0,0,19.6,6.5,0,0,7.6,-3.516,318.958,1/2/2012
5,05,0,0,0,0,0,0,0,0,0,0,39.301,22.501,0,51.06,16.724,0,25.5,25.523,0,32.8,22.308,9.53,7.178,0,0,3.08,38.5,0,0,0,0,0,0,19.6,6.5,26,-3.784,7.7,-4.614,346.803,1/2/2012
6,06,0,0,0,0,0,0,0,0,0,0,37.401,22.001,0,50.986,16.65,0,25.5,25.272,0,34,25.608,10.952,10.022,0,0,3.1,38.8,0,0,0,0,0,0,19.8,6.5,30,9.156,1.9,-9.705,355.241,1/2/2012
7,07,0,0,0,0,0,0,0,0,0,0,39.501,22.501,0,50.764,16.798,0,25.5,25.384,0,32,23.76,13.112,13.563,0,0,3.15,38.5,0,0,0,0,0,0,19.8,6.5,40.3,5.737,4.7,-6.903,367.599,1/2/2012
8,08,0,0,0,0,0,0,0,0,39.996,0,36.801,22.301,0,50.912,16.724,0,25.6,25.801,0,18,21.648,14.274,8.832,16.051,0,3.138,38.427,0,0,0,0,0,0,19.6,6.3,47.1,-11.963,4.3,-1.502,420.635,1/2/2012
9,09,0,0,0,0,0,0,33.283,0,41.61,0,38.501,22.601,0,50.912,16.798,0,25.5,25.801,0,19,23.1,19.059,11.676,20.044,0,3.094,38.7,0,0,0,0,0,0,19.6,6,47.1,3.906,4.6,-8.405,462.284,1/2/2012
