,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,AMY-L9030,TCPI-L9150,Demanda,Date
0,0,0,0,0,0,0,11.324,0,0,20.958,0,13.1,11,0,0,52.022,16.798,0,25.495,0,0,14.375,3.168,18.69,19.428,21.301,20.454,0,39.318,0,0,0,0,0,0,23.9,6.15,40.932,10.498,-5.5,-4.706,358.121,1/7/2012
1,1,0,0,0,0,0,0.725,0,0,0,0,24.101,16.801,0,0,52.096,16.798,0,25.495,0,0,12.579,1.848,20.18,21.424,21.178,19.674,0,38.927,0,0,0,0,0,0,24,6.15,33.035,0,1.7,-3.516,336.827,1/7/2012
2,2,0,0,0,0,0,0,0,0,0,0,26.301,15.701,0,0,52.096,16.724,0,25.801,0,0,14.42,2.112,18.635,17.706,21.342,19.128,0,37.927,0,0,0,0,0,0,24,6.07,26.425,3.662,0.7,-4.614,324.64,1/7/2012
3,3,0,0,0,0,0,0,0,0,0,0,35.901,20.701,0,0,51.208,5.254,0,25.801,0,0,14.263,2.376,16.954,13.549,21.835,19.046,0,38.697,0,0,0,0,0,0,24,6,23.332,19.41,-1.7,-11.115,312.322,1/7/2012
4,4,0,0,0,0,0,0,0,0,0,0,33.401,21.001,0,0,44.548,14.578,0,25.801,0,0,14.196,2.244,22.614,23.776,20.864,20.768,0,38.957,0,0,0,0,0,0,23.8,6.23,0,0,2.9,-6.317,316.195,1/7/2012
5,5,0,0,0,0,0,0,0,0,0,0,33.401,21.701,0,0,51.208,16.798,0,25.801,0,0,14.263,1.716,24.132,24.555,20.727,22.081,0,38.747,0,0,0,0,0,0,23.7,6.38,0,7.813,2.9,-7.416,321.913,1/7/2012
6,6,0,0,0,0,0,0,0,0,0,0,31.901,21.301,0,0,44.252,14.43,0,25.439,0,0,13.769,1.98,22.012,21.63,21.233,17.172,0,39.628,0,0,0,0,0,0,24,6.23,0,-2.93,8,-3.9,303.807,1/7/2012
7,7,0,0,0,0,0,0,0,0,0,0,28.901,20.901,0,0,44.548,14.652,0,25.439,0,0,14.241,2.376,24.022,24.296,22.012,22.833,0,38.727,0,0,0,0,0,0,24.1,6.22,0,0,6,-5.512,312.78,1/7/2012
8,8,0,0,0,0,0,0,0,0,0,0,32.201,20.701,0,0,50.838,16.502,0,25.439,0,0,13.724,1.98,18.758,18.28,22.833,23.024,0,39.287,0,0,0,0,0,0,24.1,6.1,29.061,0,8.5,-3.516,337.844,1/7/2012
9,9,0,0,0,0,0,0,0,0,0,0,26.601,20.201,0,0,51.134,16.502,0,25.439,0,0,13.657,2.244,23.927,21.78,24.05,24.077,0,39.127,0,0,0,0,0,0,24.7,6,28.786,0,5.1,-5.31,348.435,1/7/2012
10,10,0,0,0,0,0,10.269,0,0,0,0,24.001,15.601,0,18.456,51.356,16.724,0,25.495,0,0,13.679,1.452,23.393,23.831,19.88,20.016,0,38.527,0,0,0,0,0,0,24.7,5.9,33.525,0,5.5,-0.311,361.616,1/7/2012
11,11,0,0,0,0,0,10.467,0,0,0,0,26.201,15,0,19.386,51.43,16.354,0,25.439,0,0,13.657,2.112,20.235,18.184,18.43,18.786,0,38.758,0,0,0,0,0,0,25,5.76,47.18,0,5.6,0,366.779,1/7/2012
12,12,0,0,0,0,0,10.335,0,0,0,0,20.401,12.3,0,12.6,51.282,15.762,0,25.133,0,0,13.679,2.508,24.132,23.475,23.598,23.598,0,37.688,0,0,0,0,0,0,24.6,5.59,47.067,0,1,-0.806,373.554,1/7/2012
13,13,0,0,0,0,0,10.43,0,0,0,0,23.201,17.401,0,12.616,51.726,15.762,0,25.467,0,0,13.881,2.244,23.954,24.706,20.837,21.014,0,38.768,0,0,0,0,0,0,24.6,5.52,37.192,0,4.6,-1.703,366.422,1/7/2012
14,14,0,0,0,0,0,10.335,0,0,0,0,14.4,12.5,0,8.757,50.986,15.54,0,25.161,0,0,13.814,2.112,23.954,24.706,20.891,21.124,0,38.557,0,0,0,0,0,0,24.3,5.84,47.128,0,-1.4,-0.714,362.219,1/7/2012
15,15,0,0,0,0,0,10.064,0,0,0,0,15.301,12.9,0,8.687,51.208,15.688,0,25.161,0,0,13.634,2.376,23.954,24.706,19.797,19.989,0,38.718,0,0,0,0,0,0,23,5.84,44.445,0,-0.8,0.494,355.774,1/7/2012
16,16,0,0,0,0,0,10.43,0,0,0,0,21.301,13.3,0,0,51.134,16.058,0,25.161,0,0,14.196,2.64,23.954,24.706,18.854,19.087,0,38.527,0,0,0,0,0,0,24.6,5.92,44.848,0,3.1,0,351.616,1/7/2012
17,17,0,0,0,0,0,10.408,0,0,0,0,11.1,8.7,0,0,52.17,15.614,0,25.133,0,0,13.971,2.244,23.954,24.706,24.255,23.557,0,38.317,0,0,0,0,5.2,0,25,5.92,42.33,-4.395,-5.7,4.193,358.481,1/7/2012
18,18,0,0,0,0,0,9.661,0,0,40.608,0,28.401,19.701,0,0,44.622,14.726,0,25.244,0,0,14.331,2.244,23.12,23.858,15.108,15.299,0,38.557,0,0,0,0,5.2,0,25,5.8,38.633,19.654,1.5,-3.9,372.859,1/7/2012
19,19,0,0,0,0,0,10.327,29.365,23.913,40.107,0,26.701,20.901,0,46.739,52.318,16.872,0,25.244,0,0,13.612,1.98,24.022,24.692,14.342,14.493,0,38.697,0,0,0,5.2,5.2,0,24.8,5.99,38.779,2.197,9.6,0.293,492.204,1/7/2012
20,20,0,0,0,0,0,10.562,29.276,12.005,40.72,0,28.901,20.801,0,39.059,52.17,16.354,0,25.244,0,0,13.365,2.376,24.214,24.624,18.758,19.223,0,39.127,0,0,0,0,5.2,0,25,6,38.779,8.789,2.9,0.385,479.684,1/7/2012
21,21,0,0,0,0,0,10.408,29.011,0,40.302,0,23.201,18.101,0,0,51.948,16.428,0,25.189,0,0,13.679,2.508,24.132,24.624,24.405,23.503,0,38.367,0,0,0,0,0,0,25,6,48.673,10.132,-2.3,-7.801,445.448,1/7/2012
22,22,0,0,0,0,0,10.305,0,0,40.608,0,31.201,21.001,0,0,44.474,14.726,0,25.189,0,0,12.781,1.584,23.885,24.637,13.727,13.7,0,38.237,0,0,0,0,0,0,24.8,6.07,38.864,-32.838,21.001,9.394,388.232,1/7/2012
23,23,0,0,0,0,0,10.269,0,0,0,0,31.401,20.901,0,0,44.696,14.356,0,25.189,0,0,13.275,1.98,22.928,23.585,18.663,16.844,0,39.287,0,0,0,0,0,0,24.4,6.15,39.012,-10.498,11.1,-0.604,352.938,1/7/2012
