,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,0,0,0,0,0,9.969,30.749,0,0,0,0,0,0,0.683,0,51.356,16.65,1.739,25.773,0,0,5.117,5.185,0,0,21.698,22.45,0,24.843,26.078,25.658,0,0,0,0,0,0,22.8,6.07,38.804,-2.686,0,-5.8,4.083,352.852,1/10/2013
1,01,0,0,0,0,0,9.851,30.337,0,0,0,0,0,0,0,0,50.986,16.502,0,25.773,0,0,5.155,5.212,0,0,15.422,16.489,0,24.993,26.038,25.598,0,0,0,0,0,0,23,6.07,40.317,-5.493,0,-6.1,4.889,340.688,1/10/2013
2,02,0,0,0,0,0,9.822,30.484,0,0,0,0,0,0,0,0,51.282,16.65,0,25.857,0,0,5.135,5.17,0,0,14.411,15.518,0,24.979,25.878,25.318,0,0,0,0,0,0,22.7,6.07,38.716,-11.353,0,-.2,10.895,338.992,1/10/2013
3,03,0,0,0,0,0,9.947,30.572,0,0,0,0,0,0,0,0,50.69,0.37,0,25.829,0,0,5.113,5.189,0,0,19.579,20.604,0,24.979,25.838,25.358,0,0,0,0,0,0,22.9,6.15,44.913,-1.343,0,-9.9,2.985,335.435,1/10/2013
4,04,0,0,0,0,0,9.903,30.543,0,0,0,0,0,0,0,0,51.504,17.094,0,25.885,0,0,5.12,5.165,0,0,14.37,15.299,0,25.007,25.759,25.159,0,0,0,0,0,0,23.5,6.15,39.897,-2.564,0,-4.6,4.596,335.896,1/10/2013
5,05,0,0,0,0,0,9.917,30.513,0,0,0,0,0,0,0,13.746,51.8,16.946,0,25.829,0,0,5.113,5.182,0,0,17.692,18.676,0,24.966,26.208,25.688,0,0,0,0,0,0,23,6.07,47.157,1.831,0,-9.1,2.49,362.547,1/10/2013
6,06,0,0,0,0,0,9.939,30.867,0,0,0,0,0,0,0,22.331,51.874,17.094,0,25.885,0,0,5.135,5.16,0,0,17.979,18.977,0,24.966,25.719,25.268,0,0,0,0,0,0,23,6.07,46.874,-4.639,0,-6.1,6.684,375.586,1/10/2013
7,07,0,0,0,0,0,9.969,30.779,0,0,0,0,0,0,0,52.855,51.652,17.094,0,25.996,0,0,5.155,5.195,0,0,14.137,15.245,0,24.966,25.769,25.639,0,0,0,0,0,0,23,5.9,39.775,-2.93,0,-7.1,4.889,388.439,1/10/2013
8,08,0,0,0,0,0,8.452,27.597,0,36.322,0,0,0,0,0,55.555,53.206,17.686,0,25.829,0,0,5.061,5.179,0,0,21.301,22.163,0,24.35,25.408,25.469,0,0,0,0,0,0,22.9,5.84,50.681,3.784,0,-15.4,-1.611,446.226,1/10/2013
9,09,0,19.092,17.994,0,0,8.474,27.627,19.997,38.159,0,0,0,0,0,53.007,51.06,16.724,0,25.606,0,0,5.137,5.184,0,0,19.415,20.44,0,24.35,25.249,25.238,0,0,0,5.2,0,0,17.6,5.7,48.96,15.503,8.084,-35.101,-12.214,503.941,1/10/2013
10,10,15.938,18.665,18.116,18.714,0,9.932,28.304,19.417,37.185,0,0,0,0,0,49.814,51.652,16.65,0,25.69,0,0,5.13,5.177,0,0,17.938,19.114,0,24.35,25.428,25.379,0,0,0,5.2,0,0,17.8,5.6,48.515,30.763,16.81,-39.401,-23.31,524.846,1/10/2013
11,11,16.835,18.433,18.152,18.372,0,9.756,27.774,19.111,37.129,0,0,0.5,0,0,49.672,51.356,16.576,0.413,25.551,0,0,5.132,5.173,0,0,22.012,23.134,0,24.432,25.578,25.719,0,0,0,5.2,0,0,17.9,5.5,48.533,24.659,12.973,-33.101,-19.208,532.62,1/10/2013
12,12,16.933,18.519,18.14,18.201,0,8.474,27.597,19.208,39.328,0,20.163,0,0,0,53.055,53.132,17.538,0,0,0,0,5.13,5.169,0,0,19.51,20.714,0,24.432,25.318,25.329,0,0,0,5.2,0,0,17.8,5.4,41.46,27.467,16.535,-36.601,-18.915,517.214,1/10/2013
13,13,16.891,18.58,17.945,18.421,0,8.584,28.982,19.385,38.27,0,2.5,0,0,0,56.867,52.614,17.094,0,11.133,0,0,5.138,5.17,0,0,24.077,24.624,0,24.432,25.639,25.058,0,0,0,5.2,0,0,17.7,5.28,45.266,28.809,14.859,-30.901,-17.817,519.9,1/10/2013
14,14,16.793,17.969,17.457,18.348,0,9.698,28.54,18.998,38.521,0,0,0,0,0,53.411,51.726,16.872,0.359,25.996,0,0,5.118,5.184,0,0,23.352,24.241,0,24.432,24.878,24.899,0,0,0,5.2,0,0,17.1,5.28,45.266,12.452,3.314,-25.001,-10.401,539.274,1/10/2013
15,15,16.653,18.299,17.579,18.372,0,9.148,28.599,19.014,38.187,0,0,0.3,0.1,0,53.421,51.282,16.724,0.427,25.94,0,0,5.121,5.162,0,0,22.751,23.735,0,24.432,24.899,24.909,0,0,0,5.2,0,0,17.8,5.28,42.828,23.56,10.593,-34.201,-18.201,534.411,1/10/2013
16,16,0,1.794,17.396,0,0,8.218,28.51,19.997,38.242,0,0,15.701,9.7,3.151,52.548,51.208,16.65,9.247,25.745,0,0,5.133,5.184,0,0,21.862,22.901,0,24.432,24.718,24.848,0,0,0,5.2,0,0,17,5.4,41.671,9.644,0,-15.7,-16.315,518.827,1/10/2013
17,17,0,0,0,0,0,8.365,31.456,12.279,40.191,0,2.31,14,9.9,17.752,42.941,51.726,16.724,18.398,25.718,0,0,5.088,5.189,0,0,14.684,15.682,0,24.432,25.068,25.119,0,0,0,5.2,0,0,17.6,5.5,37.776,21.363,12.992,-23.401,-29.316,491.46,1/10/2013
18,18,11.653,19.117,18.165,19.385,0,9.749,31.368,20.432,39.773,0,0,17.401,15.601,19.539,53.732,45.066,14.504,23.951,25.718,0,0,5.105,5.17,0,0,11.211,12.141,0,24.432,25.469,25.198,0,0,0,5.2,0,0,22.7,5.65,40.652,26.368,19.282,-9.5,-33.418,565.434,1/10/2013
19,19,16.821,18.738,17.908,18.458,15.82,9.932,32.605,20.448,40.079,0,0,11.4,9,10.503,53.808,45.288,14.726,16.763,25.662,0,0,5.101,5.16,0,0,17.583,18.663,0,24.432,25.228,24.888,0,0,0,5.2,0,0,22.9,5.76,44.973,1.221,0,4.2,-.714,573.14,1/10/2013
20,20,13.137,18.482,17.823,0,0,9.8,32.369,20.368,39.551,0,0,11.2,9.8,9.873,53.718,50.986,16.798,21.829,25.523,0,0,5.127,5.163,0,0,19.128,20.194,0,24.432,25.658,25.368,0,0,0,5.2,0,0,23,6,42.712,37.477,22.202,-26.801,-29.701,550.062,1/10/2013
21,21,0,0,0,0,0,9.983,33.459,21.721,39.94,0,0,8.6,7.5,10.871,53.776,52.022,16.946,14.152,25.3,0,0,5.1,5.167,0,0,23.503,24.35,0,24.432,25.568,24.928,0,0,0,5.2,0,0,23.2,6.14,38.863,16.968,0,-10,-9.302,503.055,1/10/2013
22,22,0,0,0,0,0,9.851,31.456,8.17,0,0,0,8.6,6.6,4.725,39.276,51.134,16.724,15.312,25.272,0,0,5.115,5.14,0,0,15.887,17.022,0,24.05,25.568,24.949,0,0,0,0,0,0,23.2,6,37.685,19.044,9.247,-25.301,-22.102,420.848,1/10/2013
23,23,0,0,0,0,0,9.998,32.517,10.264,0,0,0,8.8,6.8,6.039,8.578,50.838,0,9.355,25.439,0,0,6.559,0,0,0,23.257,24.077,0,24.309,25.469,24.698,0,0,0,0,0,0,23,6,45.133,-7.202,0,3,2.289,387.747,1/10/2013
0,00,0,0,0,0,0,9.895,33.047,0,0,0,0,7.6,6,2.363,0,51.652,17.02,5.342,25.523,0,0,6.6,0,0,0,20.262,21.028,0,24.829,25.098,24.928,0,0,0,0,0,0,22.7,5.6,37.842,0,0,-1.6,-4.614,362.406,2/10/2013
1,01,0,0,0,0,0,9.895,32.517,0,0,0,0,6.1,4.9,0.21,0,50.172,0,7.152,25.439,0,0,6.558,0,0,0,22.327,23.161,0,24.761,25.558,24.748,0,0,0,0,0,0,22.7,5.6,38.916,22.462,14.035,-29.301,-23.402,346.92,2/10/2013
2,02,0,0,0,0,0,9.8,31.751,0,0,0,0,7.1,4.4,3.256,0,53.058,0,6.436,25.718,0,0,6.569,0,0,0,19.319,20.426,0,24.802,25.608,25.209,0,0,0,0,0,0,22.9,5.7,37.75,38.697,25.379,-43.901,-35.615,345.242,2/10/2013
3,03,0,0,0,0,0,10.005,32.34,0,0,0,0,5.3,3.7,3.728,0,53.058,0,10.482,25.857,0,0,6.586,0,0,0,11.184,12.264,0,24.843,25.838,25.419,0,0,0,0,0,0,22.8,6.2,44.006,40.773,27.897,-45.301,-38.618,338.859,2/10/2013
4,04,0,0,0,0,0,9.866,31.78,0,0,0,0,7.1,5.6,4.935,0,52.984,0,13.583,25.857,0,0,6.579,0,0,0,10.869,11.758,0,24.829,25.618,25.318,0,0,0,0,0,0,23,5.6,41.359,24.781,13.184,-28.901,-23.402,340.973,2/10/2013
5,05,0,0,0,0,0,9.815,33.106,0,0,0,0,9.5,7.6,2.258,0,50.468,0,12.263,25.885,0,0,6.554,0,0,0,21.944,22.6,0,24.733,25.448,25.298,0,0,0,0,0,0,23.3,5.7,48.06,13.55,5.155,-18.201,-16.004,370.032,2/10/2013
6,06,0,0,0,0,0,9.954,32.988,0,0,0,0,9.7,8.3,10.819,19.962,50.32,0,11.275,25.829,0,0,6.559,0,0,0,14.711,15.723,0,24.843,25.339,25.128,0,0,0,0,0,0,23.2,5.78,40.997,6.958,0,-12.4,-12.818,379.687,2/10/2013
7,07,0,0,0,0,0,10.034,33.194,0,0,0,0,8.6,6.4,4.778,26.411,50.912,0,11.216,25.857,0,0,6.554,0,0,0,17.911,18.991,0,24.884,25.419,25.398,0,0,0,0,0,0,23,5.76,44.174,19.898,15.39,-28.201,-24.207,386.613,2/10/2013
8,08,0,0,0,0,0,9.969,32.723,0,23.407,0,0,14.1,8.9,5.513,42.729,50.32,0,16.186,25.857,0,0,6.615,0,0,0,24.091,24.542,0,24.884,25.339,25.238,0,0,0,0,0,0,23,5.6,42.558,51.027,40.834,-51.802,-52.205,443.717,2/10/2013
9,09,1.232,0,7.41,0,0,9.837,30.16,17.725,36.238,0,18.8,10.8,8.7,7.562,35.543,50.32,0,15.32,25.606,0,0,6.579,0,0,0,23.653,24.446,0,24.884,25.658,25.218,0,0,0,0,0,0,22.8,3,49.995,42.726,32.392,-48.201,-44.203,498.772,2/10/2013
10,10,16.793,16.956,16.626,0,0,9.873,28.746,17.628,37.157,0,0,3.9,4.7,5.934,49.608,50.32,0,9.144,25.745,0,0,6.578,0,0,0,24.104,24.651,0,24.884,25.488,24.938,0,0,0,0,0,0,23,3,50.524,44.801,36.293,-57.202,-46.309,522.714,2/10/2013
11,11,17.535,17.627,17.078,19.105,10.938,8.328,29.188,18.031,37.63,0,0,1.1,1,4.516,49.673,52.91,0,4.862,31.952,0,0,6.569,0,0,0,24.104,24.665,0,24.884,25.509,25.018,0,0,0,0,0,0,18,2.5,50.14,54.933,45.595,-62.202,-47.902,532.438,2/10/2013
12,12,16.765,16.98,16.48,18.482,17.188,9.529,28.422,17.548,38.66,0,0,1.3,0.7,1.89,49.627,51.652,16.946,3.547,25.662,0,0,6.576,0,0,0,24.104,24.665,0,25.157,25.459,25.339,0,0,0,5.2,0,0,15,5.4,37.702,58.84,44.423,-60.502,-45.705,528.924,2/10/2013
13,13,16.793,17.139,16.26,18.531,0,9.558,28.304,20.432,38.604,0,0,0.1,0,0,44.292,51.948,17.242,1.438,25.634,0,0,6.539,0,0,0,21.52,22.436,0,25.157,25.398,25.098,0,0,0,5.2,0,0,22.5,5.3,50.584,47.121,35.322,-61.802,-40.706,536.072,2/10/2013
