,ABR,AMY-L9030,AMY1,AMY2,CEN,Date,Demanda,EEC,EEC20,EOL,GSR,HORA,HPA1,HPA2,LNI-L9040,MTR,NSL,PBP,PCA1,PCA2,PCF1,PCF2,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PEN3,PEN4,PHC1,PHC2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,PNI1,PNI2,SND-L9090,TCPI-L9150,TPC
0,,-7.8,13.8,6.8,0,1/11/2013,360.77,42.55,0,27.95,0,00,6.616,6.608,-16.114,0,0,13.76,7.492,8.272,0,14.67,0,0,0,0,0,4.871,17.463,0,0,22.199,22.428,0,0,0,0,0,0,0,0,21.5,5.67,25.718,0,0,-19.501,31.794
1,,-26.701,0.9,3.6,0,1/11/2013,347.663,34.706,0,25.294,0,01,6.623,6.623,-29.176,0,0,12.394,24.542,0,0,24.596,0,0,0,0,0,0,0,0,0,22.128,22.728,0,0,0,0,0,0,0,0,21.4,5.5,25.718,0,0,-25.214,0
2,,-23.301,1.7,2.4,0,1/11/2013,339.365,34.706,0,14.805,0,02,6.611,6.594,-30.641,0,0,9.4,17.145,18.211,0,24.596,0,0,0,0,0,0,0,0,0,22.119,22.678,0,0,0,0,0,0,0,0,21.4,5.84,25.718,0,0,-20.307,0
3,,-27.201,0.2,0.1,0,1/11/2013,333.883,34.41,0,10.574,0,03,6.613,6.601,-27.589,0,0,6.932,21.11,22.026,0,24.542,0,0,0,0,0,0,0,0,0,22.409,22.589,0,0,0,0,0,0,0,0,21.5,5.92,25.857,0,0,-18.714,0
4,,-25.501,0.9,1.9,0,1/11/2013,343.254,34.336,0,7.045,0,04,6.638,6.618,-27.467,0,0,11.817,24.282,24.993,0,24.542,0,0,0,0,0,0,0,0,0,22.568,22.889,0,0,0,0,0,0,0,0,21.3,5.92,25.912,0,0,-19.813,0
5,,-25.901,0.2,0,0,1/11/2013,369.088,50.764,0,0,0,05,6.616,6.594,-16.968,0,0,3.729,24.186,25.034,0,24.542,0,0,0,0,0,0,0,0,0,22.539,22.728,0,0,0,0,0,0,0,0,21.5,5.8,25.885,0,0,-15.601,50.469
6,,-6.9,0.1,2.3,20.135,1/11/2013,373.287,53.576,0,6.948,0,06,6.596,6.628,-14.283,0,0,5.199,10.459,11.375,0,24.542,0,0,0,0,0,8.701,30.985,0,0,22.398,22.598,0,0,0,0,0,0,5.2,0,21.5,5.95,25.94,0,0,0.385,42.553
7,,-.4,3.7,1.9,22.775,1/11/2013,384.281,53.354,0,7.107,0,07,6.606,6.61,-15.015,0,0,7.825,13.276,14.26,0,24.542,0,0,0,0,0,8.804,31.456,0,0,22.038,22.568,0,0,0,0,0,0,5.2,0,21.4,5.82,25.968,0,0,1.099,44.064
8,,-7.2,1.6,0.4,46.067,1/11/2013,445.767,50.024,0,3.807,0,08,6.61,6.652,-6.592,0,0,8.192,24.227,24.788,0,24.542,0,0,0,0,0,8.738,30.926,0,37.24,21.819,22.638,0,0,0,0,0,0,5.2,0,21.5,5.6,25.773,0,0,5.896,50.468
9,,-1.7,1.9,0.7,45.927,1/11/2013,493.928,43.512,0,6.612,0,09,6.596,6.611,3.174,0,0,6.301,20.59,21.807,0,24.542,18.487,17.054,18.201,16.883,0,8.555,30.867,19.24,35.932,22.038,22.719,0,0,0,0,0,5.2,5.2,0,21.3,5.5,25.857,0,0,5.585,37.645
10,,-12.9,3.5,1.9,51.199,1/11/2013,521.576,53.724,0,3.258,0,10,6.61,6.603,8.423,0,0,0.367,0,24.692,0,24.542,19.118,17.652,19.227,17.627,6.836,8.628,30.985,19.61,36.545,22.048,22.778,0,0,0,0,0,5.2,5.2,0,21,5.58,33.65,0,3.809,-2.509,50.32
11,,7,4.9,4.6,52.253,1/11/2013,530.51,43.438,0,9.156,0,11,6.571,6.63,0,0,4.8,4.936,0,23.803,0,24.528,18.333,16.944,18.287,16.907,15.918,6.951,29.63,19.32,36.405,18.299,25.518,0,0,0,0,0,5.2,5.2,0,21.5,5.44,41.749,0,0,6.189,50.34
12,,-1.6,0.3,0.1,52.175,1/11/2013,530.106,52.762,0,2.215,0,12,6.633,6.61,0,0,3.5,0,0,24.596,0,24.583,18.207,16.98,18.323,17.603,15.82,6.878,28.952,19.981,35.904,17.958,24.909,0,0,0,0,0,5.2,5.2,0,21.6,5.36,47.26,0,0,8.496,50.362
