,AMY-L9030,AMY1,AMY2,CEN,Date,Demanda,EEC,EEC20,EOL,GSR,HORA,LNI-L9040,MTR,NSL,PBP,PCA1,PCA2,PCF1,PCF2,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PEN1 y 2,PEN3,PEN4,PHC2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,PNI1,PNI2,SND-L9090,TCPI-L9150,TPC
0,32.501,20.901,17.701,0,1/3/2013,402.226,51.652,3.256,41.214,0,00,-14.771,31.199,24.42,27.261,15.709,16.872,0,0,0,0,0,0,0,0,0,0,0,0,33.678,32.467,0,0,0,0,0,0,0,19.8,5.94,25.356,25.467,0,0.385,0
1,33.001,29.001,20.901,0,1/3/2013,388.83,51.282,0,41.911,0,01,-7.08,29.29,27.984,31.567,7.465,8.19,0,0,0,0,0,0,0,0,0,0,0,0,33.747,32.258,0,0,0,0,0,0,0,20.5,5.91,25.3,25.411,0,-5.512,0
2,32.901,34.601,21.101,0,1/3/2013,379.358,16.872,0,41.962,0,02,-11.719,31.536,28.38,23.267,18.772,20.057,0,0,0,0,0,0,0,0,0,0,0,0,33.378,32.557,0,0,0,0,0,0,0,20.2,6,25.467,25.634,0,-4.102,0
3,32.101,28.301,21.101,0,1/3/2013,377.887,16.798,0,39.434,0,03,-15.503,28.908,27.456,25.999,19.538,20.44,0,0,0,0,0,0,0,0,0,0,0,0,32.987,32.628,0,0,0,0,0,0,0,20.3,6.15,25.439,25.439,0,-3.113,0
4,37.001,32.501,21.501,0,1/3/2013,381.163,34.632,0,36.501,0,04,-15.748,30.952,24.288,17.595,20.016,21.069,0,0,0,0,0,0,0,0,0,0,0,0,33.388,32.798,0,0,0,0,0,0,0,20.3,6.22,25.411,25.523,0,5.292,0
5,28.301,25.401,15.601,0,1/3/2013,416.678,51.06,16.354,30.007,0,05,-10.743,28.796,26.532,23.267,23.899,24.555,0,0,0,0,0,0,0,0,0,0,0,0,33.348,32.377,0,0,0,0,0,0,0,20.3,6.2,25.495,25.161,0,2.087,2.664
6,28.601,32.801,21.701,0,1/3/2013,427.684,50.246,16.428,38.736,0,06,-5.005,31.02,21.78,23.005,10.035,10.979,0,0,0,0,0,0,0,0,0,0,0,0,33.868,32.427,0,0,0,0,0,0,0,20.1,6.3,25.551,25.384,0,-3.9,30.109
7,48.101,33.001,17.501,0,1/3/2013,429.304,50.32,0,39.415,0,07,-30.763,30.458,23.232,18.803,14.957,15.819,0,0,0,0,0,0,0,0,0,0,0,0,33.768,31.958,0,0,0,0,0,0,0,20,6.3,25.244,25.69,0,11.188,30.109
8,28.501,31.701,20.701,0,1/3/2013,473.654,50.32,0,39.498,0,08,-6.592,31.02,24.288,27.05,14.916,15.668,22.696,0,0,0,0,0,0,0,0,0,0,0,33.627,32.268,0,0,0,0,0,0,0,19.8,6.2,25.439,25.551,0,-7.508,48.04
9,25.301,28.301,19.801,5.095,1/3/2013,526.099,50.542,0,35.851,0,09,1.221,34.456,27.456,28.048,24.214,24.637,23.762,23.079,0,0,0,0,0,10.027,0,0,0,0,33.407,32.717,0,0,0,0,0,0,0,19.8,6.1,25.495,25.189,0,-10.804,49.704
10,10.6,22.901,15.201,42.743,1/3/2013,557.777,50.024,0,27.463,0,10,11.109,28.571,25.344,25.212,22.368,22.997,21.766,20.577,0,0,0,0,0,9.859,0,0,37.992,0,33.298,32.648,0,0,0,0,0,0,0,19.8,6,25.328,25.467,0,-.201,48.015
11,20.701,19.801,14.4,53.701,1/3/2013,561.16,49.654,0,20.901,0,11,-4.028,24.932,16.368,23.53,21.766,22.628,23.53,22.751,0,0,0,0,0,8.452,0,13.729,37.741,0,33.287,33.098,0,0,0,0,0,5.2,0,19.8,5.7,25.384,25.829,0,4.889,48.015
12,20.801,21.401,14.5,53.309,1/3/2013,560.254,50.542,0,20.43,0,12,7.08,31.648,22.176,16.912,19.292,20.344,15.04,13.823,0,0,0,0,0,8.694,17.522,21.866,37.825,0,33.488,33.378,0,0,0,0,0,5.2,0,19.8,5.5,25.467,25.662,0,4.596,50.544
13,26.701,19.701,10.7,51.722,1/3/2013,555.514,50.838,16.502,18.722,0,13,-18.555,31.828,24.948,11.449,10.405,11.334,16.065,0,0,0,0,3.027,0,8.526,31.78,0,37.268,0,33.587,32.748,0,0,0,0,0,5.2,0,20.1,5.3,25.606,25.829,0,13.184,44.764
14,3.6,5.9,4.7,48.313,1/3/2013,563.663,51.06,16.724,9.372,0,14,8.179,30.75,19.668,5.776,23.721,24.487,18.28,17.104,0,0,0,2.954,0,8.386,31.957,19.337,37.825,0,33.298,33.078,0,0,0,0,0,5.2,0,20.3,5.3,25.467,25.996,0,4.193,44.648
15,2.9,8.5,6.9,48.08,1/3/2013,557.683,51.134,16.65,9.936,0,15,5.249,32.749,24.42,9.978,13.973,14.356,14.916,14.93,0,0,0,1.428,0,8.416,31.545,21.544,36.322,0,33.378,32.587,0,0,0,0,0,5.2,0,20.3,5.1,25.551,25.996,0,3.79,42.036
16,5.7,5.2,5.7,48.887,1/3/2013,547.8,50.838,16.798,9.708,0,16,-1.587,31.424,26.4,7.089,9.653,10.774,14.698,14.684,0,0,0,0,0,9.09,29.954,20.497,36.378,0,33.258,32.158,0,0,0,0,0,5.2,0,20.2,5.2,25.578,25.801,0,12.488,47.187
17,11.8,16.701,14.1,38.699,1/3/2013,490.651,50.838,16.724,31.054,0,17,0,33.266,23.232,14.338,7.164,7.752,14.889,0,0,0,0,0,0,9.683,17.021,0,3.423,0,33.568,32.388,0,0,0,0,0,0,0,20.2,5.2,25.912,25.551,0,-4.102,38.921
18,18.101,20.501,15.601,13.715,1/3/2013,497.366,51.208,16.798,33.256,0,18,1.709,30.368,23.76,24.528,21.274,21.985,19.893,0,0,0,0,0,0,9.866,0.33,0,0,0,32.948,32.098,0,0,0,0,0,0,0,20,5.5,25.69,25.495,0,-5.512,49.216
19,15.1,34.401,20.201,53.267,1/3/2013,597.15,51.282,16.724,41.142,0,19,13.1,30.503,23.1,23.793,18.827,20.057,18.061,18.43,0,0,0,0,0,9.859,33.342,0,0,0,33.447,32.618,0,0,0,0,0,0,0,20,5.5,25.857,25.523,4.834,-20.2,49.216
