,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,0,0,0,0,0,0,0,0,0,0,0,39.401,22.501,35.034,0,50.986,0,41.94,25.69,25.189,0,31.8,4.7,6.522,0,0,0,30.028,33.648,0,0,0,0,0,0,19.6,5.8,0,0,0,24.601,-18.714,374.145,1/4/2013
1,1,0,0,0,0,0,0,0,0,0,0,37.501,22.501,37.083,0,33.596,0,35.024,25.718,25.077,0,32,1.3,22.628,0,0,0,30.218,34.118,0,0,0,0,0,0,19.7,5.8,0,-5.127,0,29.501,-11.408,358.832,1/4/2013
2,2,0,0,0,0,0,0,0,0,0,0,36.701,21.601,37.346,0,33.448,0,38.728,25.578,25.467,0,31.1,1.9,8.614,0,0,0,29.648,33.468,0,0,0,0,0,0,19.7,5.8,0,-4.883,0,28.501,-11.005,351.102,1/4/2013
3,3,0,0,0,0,0,0,0,0,0,0,29.901,21.701,33.248,0,33.892,0,37.947,25.857,25.356,0,32.7,1,10.952,0,0,0,30.268,33.858,0,0,0,0,0,0,19.8,5.91,0,-3.54,0,25.301,-11.701,346.146,1/4/2013
4,4,0,0,0,0,0,0,0,0,0,0,31.701,21.701,31.095,0,51.134,0,42.128,25.69,25.662,0,31.8,1.5,0,0,0,0,29.818,33.977,0,0,0,0,0,0,19.5,5.8,0,-4.883,0,27.101,-10.804,354.332,1/4/2013
5,5,0,0,0,0,0,0,0,0,0,0,35.301,22.101,30.255,0,50.32,16.65,41.514,25.718,25.968,0,31.2,0,0,0,0,0,29.667,33.617,0,0,0,0,0,0,19.3,5.8,0,-12.696,0,31.401,-6.61,376.456,1/4/2013
6,6,0,0,0,0,0,0,0,0,0,0,35.501,22.401,29.729,0,50.246,16.65,38.301,25.718,25.912,0,33.5,4,9.557,0,0,0,30.038,33.468,0,0,0,0,0,0,20.7,5.92,0,-2.319,0,31.501,-7.013,375.375,1/4/2013
7,7,0,0,0,0,0,0,0,0,0,0,28.201,20.801,29.414,0,50.986,16.724,27.254,25.745,25.745,0,33,4,23.298,0,0,0,29.918,33.768,0,0,0,0,0,0,20,5.8,29.242,-3.662,0,28.301,-0.916,397.062,1/4/2013
8,8,0,0,0,0,0,11.382,0,0,0,0,28.401,20.001,30.99,0,50.764,16.65,34.517,25.662,25.801,0,32,3,15.641,16.926,24.87,0,29.998,33.367,0,0,0,0,0,0,20,5.59,48.487,7.202,0,21.101,-15.015,467.241,1/4/2013
9,9,0,0,0,0,0,11.119,30.366,0,0,0,28.401,19.801,30.622,46.997,50.616,16.724,37.987,25.606,25.718,0,31.5,0,12.661,13.659,24.925,0,29.797,33.847,0,0,0,0,0,0,20,5.44,49.066,-9.156,0,34.701,2.692,535.009,1/4/2013
10,10,0,0,0,0,0,11.243,30.543,0,31.98,0,19.001,16.001,24.896,53.985,50.69,16.428,29.806,25.801,26.024,0,32.4,6,6.453,7.233,24.856,0,29.868,33.738,0,0,0,0,5.2,0,20,5.36,47.404,-7.202,0,20.501,1.099,555.28,1/4/2013
11,11,0,0,0,0,0,11.346,30.779,18.515,37.547,0,19.801,16.401,22.165,53.632,50.912,16.576,21.654,25.495,26.024,0,31,4.5,9.147,10.172,24.87,0,29.548,32.998,0,0,0,5.2,5.2,0,19.7,5.21,47.404,5.982,0,16.101,-5.109,563.061,1/4/2013
12,12,0,0,0,0,0,8.65,30.366,19.143,37.324,0,9.9,7.3,12.919,54.133,50.838,16.354,11.824,25.551,25.829,0,32.2,4,21.999,22.819,24.87,0,28.458,33.317,0,0,0,5.2,5.2,0,19.7,5.04,50.11,0,0,7.5,5.786,564.013,1/4/2013
13,13,0,0,0,0,0,9.676,29.482,19.369,37.602,0,10.5,8.3,11.975,52.984,51.06,16.872,11.981,25.411,25.996,0,32,3.5,16.215,17.09,24.87,0,28.458,32.918,0,0,0,5.2,5.2,0,19.5,4.97,50.221,-19.898,0,25.301,23.988,551.724,1/4/2013
14,14,0,0,17.823,0,0,9.551,29.689,17.661,37.018,0,15,10.2,19.38,52.453,50.69,16.576,19.091,25.328,25.829,0,30.9,5.5,15.286,16.215,24.87,0,28.467,33.327,0,0,0,5.2,5.2,0,18.5,4.82,47.534,-5.127,0,19.601,7.086,577.825,1/4/2013
15,15,0,0,17.432,0,0,8.335,29.659,17.677,36.294,0,15.701,11.7,25.106,54.392,50.912,16.724,23.049,25.634,25.829,0,33.2,0,12.278,13.276,19.538,0,29.157,33.908,0,0,0,5.2,5.2,0,20,4.97,47.296,-8.545,0,20.801,1.483,586.178,1/4/2013
16,16,0,0,17.042,0,0,8.028,28.952,18.853,35.96,0,18.201,13.7,24.896,54.715,50.024,16.354,26.085,25.773,25.996,0,30.3,0,6.508,7.301,14.082,0,29.218,34.288,0,0,0,5.2,5.2,0,20.1,4.96,47.296,-1.343,0,19.801,-1.502,562.477,1/4/2013
17,17,0,0,0,0,0,8.152,31.014,20.432,36.238,0,13.3,10,22.533,53.972,50.986,16.724,27.289,25.773,25.857,0,30,5.1,6.959,0,15.354,0,28.429,33.417,0,0,0,0,5.2,0,20.3,4.93,47.296,8.057,0,18.401,3.992,513.364,1/4/2013
18,18,0,0,0,0,0,9.485,30.838,0,20.624,0,38.501,22.501,38.817,25.339,44.104,14.504,43.666,25.69,25.634,0,29,14.6,0,0,0,0,30.198,32.987,0,0,0,0,0,0,19.5,5.14,37.576,5.493,0,23.801,-22.614,502.024,1/4/2013
19,19,0,0,0,0,0,9.881,31.78,0,36.378,0,34.901,22.101,38.029,55.055,50.764,16.872,43.008,25.578,25.495,0,30.3,0,25.389,0,24.473,0,29.768,33.837,0,0,0,0,5.2,0,19.5,5.36,50.508,0,0,26.101,-16.81,608.594,1/4/2013
