,AMY-L9030,AMY1,AMY2,CEN,Date,Demanda,EEC,EEC20,EOL,GSR,HORA,LNI-L9040,MTR,NSL,PBP,PCA1,PCA2,PCF1,PCF2,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PEN3,PEN4,PHC1,PHC2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,PNI1,PNI2,SND-L9090,TCPI-L9150,TPC
0,-8.6,0.1,0,50.916,1/7/2013,347.397,51.504,16.798,0,0,00,-1.709,13.387,8.316,0,0,0,0,0,0,0,0,0,0,9.873,32.752,2.643,0,32.328,28.938,,0,0,0,0,0,0,0,19.8,6.1,0,0,0,2.985,50.513
1,-8.6,0.1,0,48.522,1/7/2013,331.726,51.208,16.872,0.424,0,01,1.831,12.242,7.788,0,0,0,0,0,0,0,0,0,0,9.763,32.163,1.289,0,33.417,29.708,,0,0,0,0,0,0,0,19.5,6.1,0,0,0,2.985,46.733
2,-6.1,0.1,0,48.521,1/7/2013,319.547,51.134,17.02,0,0,02,1.587,12.915,7.392,0,0,0,0,0,0,0,0,0,0,9.712,32.222,1.273,0,33.398,29.757,,0,0,0,0,0,0,0,19.6,6.1,0,0,0,5.493,37.76
3,-.2,0,0,48.963,1/7/2013,314.857,52.54,11.692,0.797,0,03,2.197,13.41,7.26,0,0,0,0,0,0,0,0,0,0,9.793,32.193,1.273,0,33.828,29.958,,0,0,0,0,0,0,0,19.3,6.1,0,0,0,9.687,45.426
4,-8,0,0,53.123,1/7/2013,327.608,51.8,17.094,0,0,04,2.564,13.657,7.92,0,0,0,0,0,0,0,0,0,0,9.991,32.841,1.273,0,33.378,29.828,,0,0,0,0,0,0,0,19,6.07,0,0,0,3.992,38.534
5,-7,0,0,53.279,1/7/2013,350.023,51.726,17.094,0,0,05,0,13.05,8.448,0,7.233,0,0,0,0,0,0,0,0,10.1,32.693,1.273,0,32.698,29.289,,0,0,0,0,0,0,0,19.2,6.15,0,0,0,4.395,50.454
6,-3.1,0,0,53.228,1/7/2013,341.549,50.912,16.65,0,0,06,2.075,13.499,8.316,0,0,0,0,0,0,0,0,0,0,9.888,32.252,1.273,0,32.698,28.908,,0,0,0,0,0,0,0,19.2,6.1,0,15.058,0,9.192,49.374
7,1,0,0,53.434,1/7/2013,368.941,51.208,16.798,0,0,07,4.761,13.028,8.052,0,15.163,0,0,0,0,0,0,0,0,9.961,32.163,1.273,10.938,33.118,29.289,,0,0,0,0,0,0,0,19.2,5.9,0,25.133,0,9.998,50.099
8,6.3,0,0,47.531,1/7/2013,441.039,50.912,16.724,0,0,08,-7.202,12.915,7.26,0,7.233,0,0,0,18.18,6.519,17.444,0,0,9.734,32.045,15.759,34.401,30.328,30.298,,0,0,0,0,0,0,0,19.3,5.99,0,25.801,0,16.7,50.298
9,-2,0,0,50.762,1/7/2013,490.157,51.948,17.094,0,0,09,5.249,13.252,8.316,0,13.59,14.834,16.803,0,18.502,18.787,18.409,0,0,8.548,32.546,15.26,36.016,30.508,30.487,,0,0,0,0,0,0,0,19,5.67,0,25.551,0,8.185,47.898
10,-9.5,0,0,50.507,1/7/2013,516.852,51.578,16.724,0,0,10,12.696,13.073,8.184,0,17.213,18.676,15.805,0,18.445,18.506,18.091,4.297,16.602,8.35,31.986,14.744,34.624,30.758,30.418,,0,0,0,0,0,0,0,19.3,5.6,0,25.523,0,1.685,48.015
