,AMY-L9030,AMY1,AMY2,CEN,Date,Demanda,EEC,EEC20,EOL,GSR,HORA,HPA1,HPA2,LNI-L9040,MTR,NSL,PBP,PCA1,PCA2,PCF1,PCF2,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PEN3,PEN4,PHC1,PHC2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,PNI1,PNI2,SND-L9090,TCPI-L9150,TPC
0,-2.4,2.9,3.5,41.271,1/8/2013,381.205,51.43,16.946,7.826,0,00,,,5.005,13.32,0,3.518,24.637,0,16.174,0,0,0,0,0,0,9.654,31.898,0,0,27.898,28.018,0,0,0,0,0,0,0,0,19.8,5.67,25.801,0,0,2.087,47.79
1,-.6,9.3,7.4,51.616,1/8/2013,362.343,52.022,17.02,9.511,0,01,,,7.935,13.724,0,8.245,7.656,0,0,0,0,0,0,0,0,9.888,32.517,0,0,28.008,28.028,0,0,0,0,0,0,0,0,19.8,5.83,25.745,0,0,-1.703,41.665
2,0.6,9.7,5.8,41.452,1/8/2013,348.759,48.322,10.952,6.483,0,02,,,3.784,13.567,0,7.667,7.424,0,0,0,0,0,0,0,0,8.255,31.81,0,0,28.148,28.118,0,0,0,0,0,0,0,0,20,5.91,25.801,0,0,1.099,48.919
3,1.6,6.9,4.8,41.492,1/8/2013,346.129,50.542,3.478,10.303,0,03,,,3.662,13.724,0,7.562,11.088,0,0,0,0,0,0,0,0,9.749,31.986,0,0,27.658,28.578,0,0,0,0,0,0,0,0,19.8,5.91,25.578,0,0,1.593,48.919
4,-5.3,4,4.2,21.114,1/8/2013,341.27,51.504,16.798,10.587,0,04,,,10.254,13.297,0,2.678,17.405,0,0,0,0,0,0,0,0,9.544,31.81,0,0,28.448,28.418,0,0,0,0,0,0,0,0,19.8,5.98,25.606,0,0,-6.116,48.919
5,11.5,30.601,21.201,11.884,1/8/2013,375.529,44.4,14.06,36.602,0,05,,,4.273,13.724,0,12.552,6.713,0,0,0,0,0,0,0,0,9.705,31.928,0,0,28.518,28.388,0,0,0,0,0,0,0,0,18.5,5.9,25.829,0,0,-9.815,37.842
6,11.8,33.801,22.301,0,1/8/2013,372.981,44.326,14.43,39.971,0,06,,,7.202,14.218,0,30.307,0,0,0,0,0,0,0,0,0,9.742,32.193,0,0,28.218,28.998,0,0,0,0,0,0,0,0,18.7,5.6,25.773,0,0,-19.208,24.207
7,10.1,34.901,21.801,0,1/8/2013,391.405,50.69,16.502,35.743,0,07,,,4.761,13.32,0,27.312,7.725,0,0,0,0,0,0,0,0,9.639,31.662,0,0,27.938,28.618,0,0,0,0,0,0,0,0,18.3,5.6,25.857,0,0,-14.301,33.091
8,8.8,32.101,20.901,0,1/8/2013,417.117,52.466,16.576,27.511,0,08,,,8.179,13.32,0,31.305,8.75,9.694,15.655,0,0,0,0,0,0,9.705,30.484,0,0,28.498,28.488,0,0,0,0,0,0,0,0,18.2,5.36,25.634,0,0,-14.814,37.996
9,0.7,24.501,14.2,17.098,1/8/2013,428.674,53.132,16.65,20.871,0,09,,,13.672,13.32,0,17.595,11.457,12.442,16.188,15.586,0,0,0,0,0,9.742,29.836,0,0,28.828,28.637,0,0,0,0,0,0,0,0,18.2,5.2,25.996,0,0,-15.601,47.966
10,5.7,39.201,20.501,25.307,1/8/2013,450.093,44.474,14.134,42.012,0,10,,,16.236,13.32,0,33.248,8.108,0,16.557,0,0,0,0,0,0,9.763,30.838,0,0,28.597,28.129,0,0,0,0,0,0,0,0,19.4,5.36,25.996,0,10.034,-26.807,50.311
11,4.1,18.601,10.9,42.434,1/8/2013,457.595,52.096,16.28,25.699,0,11,,,5.86,13.455,0,16.491,13.768,14.561,17.924,16.844,0,0,0,0,0,9.632,30.248,0,0,28.588,27.918,0,0,0,0,0,0,0,0,19.4,4.96,26.135,0,0,-7.508,47.951
12,3.1,16.501,10.6,50.206,1/8/2013,451.934,52.17,16.428,19.763,0,12,,,6.714,13.275,0,13.55,13.959,14.916,17.788,16.872,0,0,0,0,0,9.632,30.219,0,0,28.498,28.508,0,0,0,0,0,0,0,0,19.9,5.12,25.857,0,0,-4.413,47.951
13,6,10.2,7.2,51.685,1/8/2013,452.756,52.022,16.354,17.317,0,13,,,-2.564,13.297,0,11.607,21.11,21.848,15.436,14.889,0,0,0,0,0,9.617,29.659,0,0,28.548,28.388,0,0,0,0,0,0,0,0,19.6,5.13,25.801,0,0,3.296,47.951
14,1,6.3,1.7,45.501,1/8/2013,467.529,51.726,16.428,3.374,0,14,,,-8.667,13.095,0,2.047,20.18,20.604,19.88,19.524,0,0,0,0,0,9.668,29.748,0,37.324,28.637,28.288,0,0,0,0,0,0,0,0,19.4,4.89,25.662,0,0,9.284,47.674
15,-3.2,4.2,2.2,45.905,1/8/2013,446.7,52.466,16.354,6.684,0,15,,,4.151,13.118,0,2.678,16.475,17.555,15.915,15.614,0,0,0,0,0,9.712,30.101,0,36.183,28.698,28.388,0,0,0,0,0,5.2,0,0,18.1,4.74,25.69,0,0,1.282,47.674
16,0.9,15.801,12.6,48.822,1/8/2013,445.881,52.392,16.354,24.849,0,16,,,15.015,12.826,0,13.077,6.44,7.328,15.668,14.848,0,0,0,0,0,9.485,29.158,0,20.596,28.538,28.259,0,0,0,0,0,0,0,0,17.7,4.89,25.189,0,0,-9.302,47.674
17,2.4,13.4,7.5,51.249,1/8/2013,419.615,52.096,16.354,23.506,0,17,,,8.911,13.342,0,6.458,13.631,14.711,15.709,15.272,0,0,0,0,0,9.551,30.101,0,0,28.467,28.238,0,0,0,0,0,0,0,0,19,5.04,25.773,0,0,-2.307,39.221
18,3,11.2,7.7,51.425,1/8/2013,426.054,52.614,16.428,20.391,0,18,,,10.987,13.32,0,15.179,12.743,13.727,16.229,0,0,0,0,0,0,9.822,32.045,0,26.942,28.608,27.529,0,0,0,0,0,0,0,0,18.7,5.07,25.718,0,0,-.403,34.248
19,2.4,31.501,19.201,52.148,1/8/2013,556.22,44.844,14.8,37.849,0,19,,,12.574,13.32,0,37.031,8.34,9.119,16.147,0,0,0,18.506,0,0,9.632,32.016,20.191,33.928,28.158,27.648,0,0,0,0,0,5.2,0,0,18.7,5.13,25.801,0,4.688,-25.507,41.165
20,1.3,11.7,10.4,52.288,1/8/2013,535.475,50.764,16.724,24.148,0,20,,,8.423,13.365,0,11.344,23.434,24.364,15.354,15.874,0,0,18.299,0,0,9.595,31.869,20.142,35.821,28.498,27.728,0,0,0,0,0,5.2,0,0,19,5.4,25.662,0,0,-4.614,40.352
21,-.7,8.3,7.9,49.993,1/8/2013,502.208,50.764,16.724,14.861,0,21,,,3.54,13.365,0,7.405,18.116,18.936,14.944,15.19,0,0,9.461,0,0,8.965,31.928,19.772,35.849,28.408,27.778,0,0,0,0,0,5.2,0,0,18.8,5.5,25.718,0,0,-1.3,41.082
22,-1.8,0.9,0.7,53.44,1/8/2013,420.494,51.8,17.168,3.613,0,22,,,12.085,13.634,0,0.944,23.831,24.214,15.217,0,0,0,0,0,0,8.152,32.134,5.704,36.016,28.658,28.048,0,0,0,0,0,0,0,0,19,5.7,25.885,0,0,1.593,37.614
23,-1.2,0,0.4,50.156,1/8/2013,393.092,52.244,17.094,2.836,0,23,,,2.808,13.634,0,0.997,19.784,20.659,16.885,0,0,0,0,0,0,9.727,32.988,3.207,0,28.458,27.788,0,0,0,0,0,0,0,0,18.6,5.8,25.551,0,0,6.299,44.431
0,-3.9,0,0,50.118,2/8/2013,364.622,51.874,17.094,0,0,00,,,8.423,13.567,0,6.459,19.251,20.03,0,0,0,0,0,0,0,9.558,33.724,0,0,28.597,27.498,0,0,0,0,0,0,0,0,18.7,5.6,25.94,0,0,0.183,41.318
1,-.7,0.2,0.6,50.003,2/8/2013,354.969,52.17,17.168,3.522,0,01,,,1.831,13.567,0,3.046,15.422,0,0,0,0,0,0,0,0,9.668,32.664,0,0,28.488,27.918,0,0,0,0,0,0,0,0,17.6,5.51,25.523,0,0,4.285,48.618
2,0.5,0.6,0,50.023,2/8/2013,347.838,52.096,17.02,4.121,0,02,,,3.174,13.567,0,7.352,7.287,0,0,0,0,0,0,0,0,9.588,33.666,0,0,28.528,28.058,0,0,0,0,0,0,0,0,17.5,5.6,25.718,0,0,6.189,48.618
3,0,6.4,5.2,27.533,2/8/2013,337.292,51.356,12.136,9.409,0,03,,,4.761,13.455,0,5.303,7.41,0,0,0,0,0,0,0,0,9.69,32.576,0,0,29.778,29.927,0,0,0,0,0,0,0,0,19.2,5.6,25.551,0,0,-2.911,48.618
4,2.2,10.7,8.3,22.036,2/8/2013,350.619,51.948,16.724,19.724,0,04,,,5.86,13.455,0,7.982,14.534,0,0,0,0,0,0,0,0,9.69,34.019,0,0,28.767,29.048,0,0,0,0,0,0,0,0,19,5.51,25.662,0,0,-5.603,31.39
5,7.8,16.001,10.1,37.202,2/8/2013,376.267,52.096,17.02,15.924,0,05,,,0,13.455,0,9.61,20.194,0,0,0,0,0,0,0,0,9.727,34.078,0,0,28.948,29.197,0,0,0,0,0,0,0,0,18.6,5.76,25.829,0,0,2.783,34.539
6,2.7,10.4,7.9,37.273,2/8/2013,377.758,43.66,14.43,21.525,0,06,,,0,13.881,0,17.647,12.278,0,0,0,0,0,0,0,0,9.646,33.636,0,0,28.848,29.048,0,0,0,0,0,0,0,0,19,5.6,25.773,0,0,-2.106,40.84
7,5.7,10.3,8.8,37.156,2/8/2013,393.427,52.17,16.872,23.246,0,07,,,0,13.32,0,11.449,18.335,0,0,0,0,0,0,0,0,9.514,33.548,0,0,28.868,29.018,0,0,0,0,0,0,0,0,19,5.6,25.439,0,0,3.882,50.37
8,5.4,22.501,13.5,45.256,2/8/2013,455.362,50.986,16.798,18.405,0,08,,,3.906,13.544,0,16.176,21.301,22.217,15.504,0,0,0,0,0,0,9.361,31.986,0,0,29.548,28.618,0,0,0,0,0,0,0,0,18.8,5.5,25.885,0,0,-3.607,48.089
9,5.4,24.801,17.301,46.982,2/8/2013,497.895,51.208,16.946,37.825,0,09,,,9.156,13.387,0,27.995,9.037,9.748,14.971,0,0,0,0,0,0,9.507,31.692,0,35.793,28.228,28.278,0,0,0,0,0,0,0,0,18.6,5.27,25.996,0,0,-10.401,48.485
10,6.5,25.001,16.201,53.038,2/8/2013,532.045,50.838,16.872,39.474,0,10,,,6.348,13.342,0,29.203,20.495,21.151,15.217,0,0,0,0,0,0,8.13,31.751,0,36.127,28.648,28.308,0,0,0,0,0,0,0,0,18.5,5.2,25.745,0,0,-13.404,48.248
11,13.4,37.601,18.501,53.181,2/8/2013,540.873,51.134,16.872,42.006,0,11,,,7.08,13.342,0,36.663,8.408,9.16,15.026,13.973,0,0,0,0,0,8.137,31.633,0,36.656,28.429,28.088,0,0,0,0,0,0,0,0,19.3,5.13,25.857,0,0,-14.008,48.248
12,-1.4,28.501,16.301,52.522,2/8/2013,522.769,51.356,16.724,34.165,0,12,,,28.199,13.342,0,22.059,15.573,16.735,22.012,21.083,0,0,0,0,0,8.24,31.456,0,39.077,28.248,28.058,0,0,0,0,0,0,0,0,19.3,4.95,25.773,0,18.714,-23.804,49.003
13,4.9,17.601,13,52.305,2/8/2013,519.731,51.208,16.798,37.735,0,13,,,0,13.342,0,16.965,14.192,15.012,15.682,14.875,0,0,0,0,0,7.852,30.366,0,37.296,28.278,28.729,0,0,0,0,0,0,0,0,19.3,4.91,25.662,0,0,-6.903,49.003
14,0.8,24.701,17.701,52.178,2/8/2013,530.602,50.616,16.872,36.227,0,14,,,9.4,12.983,0,22.217,15.122,16.188,15.928,15.327,0,0,0,0,0,8.123,32.487,0,37.825,28.637,27.978,0,0,0,0,0,0,0,0,19.2,5.02,25.94,0,4.486,-15.015,49.003
15,8.3,25.501,18.701,42.667,2/8/2013,529.246,51.43,16.946,37.84,0,15,,,10.376,13.297,0,19.591,19.934,20.631,16.01,14.329,0,0,0,0,0,7.984,31.78,0,38.075,28.478,28.259,0,0,0,0,0,0,0,0,19.2,5.35,25.328,0,0,-14.118,49.003
