,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,0,0.9,0,0,0,0,0,12,35.1,0,38.5,0,0,2,0.8,3,49.3,58.6,14.7,5.9,25.9,0,0,0,0,14.1,10.2,0,8.5,0,24.6,19.5,26,0,0,0,0,0,20.4,0,5.6,47,-71.3,-75,86.9,77.3,404.7,1/6/2014
1,1,2.8,0,0,0,0,0,12,35.6,0,38.4,0,0,2.1,2.2,6.4,33.2,51.9,17.3,6.6,25.7,0,0,0,0,14.1,10.7,0,8.2,0,24.4,0,32.7,0,0,0,0,0,20.4,0,5.6,40.6,-67.6,-74.4,86.7,77.1,369.1,1/6/2014
2,2,0.6,0,0,0,0,0,11.8,35.3,0,38.8,0,0,0.4,1,0,21.7,51.53,17.18,4.8,25.7,0,0,0,0,14.1,10.3,0,14.2,0,24.3,0,34.6,0,0,0,0,0,20.4,0,5.6,50.6,-70.1,-76.9,89.1,81.4,359.41,1/6/2014
3,3,0,0,0,0,0,0,11.9,35.5,0,38.7,0,0,0,0,0,21.4,51.6,17.2,0,25.9,0,0,0,0,14.1,10.2,0,15.1,0,24.3,0,33.8,0,0,0,0,0,20.4,0,5.6,50.6,-70.2,-76.6,86.9,82,354.2,1/6/2014
4,4,0,0,0,0,0,0,11.9,33.4,0,38.7,0,0,0,0,0,26.9,51.45,17.15,0,25.9,0,0,0,0,14.1,10.2,0,10.1,0,24.4,0,34.1,0,0,0,0,0,20.4,0,5.8,50.6,-73.5,-80.3,90.4,83.7,354.8,1/6/2014
5,5,0.2,0,0,0,0,0,11.8,33.8,0,36.9,0,0,0.1,0.1,0,46.5,51.68,17.23,0,25.9,0,0,0,0,14.1,10.2,0,25.2,0,24.4,0,34.1,0,0,0,0,0,20.4,0,6,50.6,-52.5,-59.9,81.4,76.9,363.31,1/6/2014
6,6,1.4,0,0,0,0,0,12.1,33.8,24,34.4,0,0,0,0,0,1.7,51.15,17.05,1.3,26,0,0,0,0,14.4,10.3,0,23.4,0,24.6,0,37.1,0,0,0,0,0,20.3,0,5.9,50.6,-51.3,-63.1,85.3,79.9,338.7,1/6/2014
7,7,2.2,0,0,0,0,0,11.8,34.9,23,34.4,0,0,0.4,0.5,5.5,0,51.15,17.05,3.2,25.9,0,0,0,0,14.1,10.3,0,6.8,0,24.1,0,37.5,0,0,0,5.2,5.2,20.3,0,5.8,50.6,0,-144.3,94.9,86.7,352.6,1/6/2014
8,8,1.7,0,18.5,0,0,0,11.8,34.7,22.4,34,0,0,0.1,0,0,0,51.15,17.05,0,25.9,0,0,0,0,14.1,9.8,12.9,13.9,0,24.7,0,36.9,0,0,0,5.2,5.2,20.3,0,5.7,42.2,0,-105.9,71.8,88.2,354.1,1/6/2014
9,9,4.6,0,18.6,16.6,0,0,11.9,32.1,22.5,34,0,0,0.1,0.1,2.9,0,51.3,17.1,3.5,25.9,0,0,0,0,14.1,10.2,7.1,7.9,0,24.7,0,36.9,0,0,0,5.2,5.2,20.7,0,5.5,41.4,0,-98.6,82,72.2,364.5,1/6/2014
10,10,4,0,18.4,18.1,0,0,11.9,31.8,22.6,34.1,0,0,0,0,0.7,0,51.15,17.05,2,26.2,0,0,0,0,14.1,10,7.6,8.3,0,21,0,36.9,0,0,0,5.2,5.2,20.7,0,5.4,45.3,0,-122.3,85.4,79.3,375.3,1/6/2014
11,11,9.5,0,3,18.2,0,0,12,32.1,22.7,38.5,0,0,0.8,8,6.9,0,51.75,17.25,6.3,25.6,0,0,0,0,14.1,10.6,8.3,9.1,0,20.3,0,37.1,0,0,0,5.2,5.2,20.7,0,5.6,47.9,0,-127.9,94.4,79.8,390.4,1/6/2014
