,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HEM,HPA1,HPA2,PHD,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,0,35.652,0,0,0,0,0,0,0,0,0,0,0,32.201,16.301,36.78,3.532,27.561,0,43.727,0,25.801,0,0,5.278,0,0,25.988,31.548,0,0,0,0,27.177,26.658,0,0,0,0,0,0,0,19,0,5.54,29.549,32.594,19.218,-14.7,-56.417,411.61,1/12/2015
1,1,31.789,0,0,0,0,0,0,0,0,0,0,0,31.101,16.501,28.15,0,27.738,0,40.72,0,25.606,0,0,5.249,0,0,30.413,28.512,0,0,0,0,27.948,26.898,0,0,0,0,0,0,0,19,0,5.62,28.669,29.054,19.538,-19.901,-53.212,398.44,1/12/2015
2,2,33.855,0,0,0,0,0,0,0,0,0,0,0,31.401,15.501,29.78,0,27.898,0,40.829,0,25.69,0,0,0.98,0,0,30.525,28.248,0,0,0,0,27.758,27.218,0,0,0,0,0,0,0,19,0,5.7,22.659,34.181,19.126,-18.501,-55.318,387.57,1/12/2015
3,3,29.078,0,0,0,0,0,0,0,0,0,0,0,29.001,15.701,24.43,0,35.586,0,31.696,0,25.718,0,0,0,0,0,10.714,30.756,0,0,0,0,28.538,27.607,0,0,0,0,0,0,0,19,0,5.8,29.995,26.856,17.853,-26.701,-54.311,379.94,1/12/2015
4,4,28.196,0,0,0,0,0,0,0,0,0,0,0,30.901,15,26.19,0,30.463,0,31.813,0,25.773,0,0,5.915,0,0,30.885,30.096,0,0,0,0,28.238,27.468,0,0,0,0,0,0,0,19.3,0,5.8,37.524,40.407,25.91,-23.901,-52.919,384.07,1/12/2015
5,5,28.795,0,0,0,0,0,0,19.555,0,0,0,0,23.901,12.6,16.72,0,47.567,0,29.155,0,25.634,0,0,6.618,0,0,31.806,22.572,0,0,0,0,27.788,27.368,0,0,0,0,0,0,0,19,0,5.9,41.177,37.111,23.319,-32.301,-52.004,410.05,1/12/2015
6,6,20.564,0,0,0,0,0,10.657,32.517,0,0,0,0,21.201,10.5,14.4,0,34.216,0,26.391,0,25.69,0,0,6.611,0,0,31.648,23.76,0,0,0,0,27.118,27.218,0,0,0,0,0,0,0,19,0,5.8,34.363,40.04,26.203,-43.601,-54.018,403.04,1/12/2015
7,7,33.706,0,0,0,0,0,10.533,31.957,0,0,0,0,17.701,9.7,13.56,0,46.013,14.261,26.49,0,25.718,0,0,6.605,0,0,28.661,31.152,0,0,0,0,27.718,27.638,0,0,0,0,0,0,0,18.8,0,5.7,39.159,38.209,24.784,-32.501,-46.602,431.19,1/12/2015
8,8,30.372,0,18.592,0,0,0,9.192,31.78,0,0,0,0,13.2,8.9,21.82,29.648,49.266,15.77,32.52,0,25.634,0,0,6.584,0,0,28.414,25.08,0,0,0,0,27.408,27.318,0,0,0,0,0,0,0,18.8,0,5.7,46.671,19.776,21.964,-23.301,-40.815,495.04,1/12/2015
9,9,27.872,0,18.458,0,7.373,0,8.841,32.104,0,24.743,0,0,12.7,7.7,16.33,54.206,51.136,16.558,33.708,0,25.745,0,0,6.59,0,0,28.998,30.228,0,0,0,0,28.118,27.518,0,0,0,0,0,0,0,18.9,0,5.62,49.341,28.443,23.466,-22.001,-37.904,540.79,1/12/2015
