,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,39.325,0,0,0,0,0,0,29.276,0,0,0,0,38.501,16.301,36.033,0,36.08,0,43.71,25.94,0,0,0,0,26.976,29.964,12.537,13.495,0,0,30.158,29.828,0,0,0,0,0,0,0,17.089,0,5.68,33.708,-52.126,-56.078,104.003,33.784,435.05,1/4/2015
1,01,25.157,0,0,0,0,0,0,29.099,0,0,0,0,38.801,16.401,34.299,0,36.443,0,42.884,25.718,0,0,0,0,23.697,28.908,11.963,12.784,0,0,30.548,30.208,0,0,0,0,0,0,0,17.089,0,5.85,34.09,-26.368,-33.354,72.302,13.294,418.07,1/4/2015
2,02,25.122,0,0,0,0,0,0,28.569,0,0,0,0,35.101,15.901,30.569,0,34.017,0,43.597,25.857,0,0,0,0,27.044,32.736,10.104,10.897,0,0,30.208,29.738,0,0,0,0,0,0,0,17.089,0,5.84,35.109,-28.321,-34.791,72.202,15.198,413.22,1/4/2015
3,03,25.195,0,0,0,0,0,0,27.951,0,0,0,0,37.701,16.101,29.886,0,37.134,0,43.12,25.829,0,0,0,0,28.886,32.472,8.395,9.229,0,0,30.338,30.038,0,0,0,0,0,0,0,17.089,0,5.85,32.698,-29.908,-34.69,78.502,20.893,403.14,1/4/2015
4,04,25.418,0,0,0,0,0,0,27.921,0,0,0,0,38.301,16.201,31.567,0,36.383,8.422,43.44,25.801,0,0,0,0,28.863,31.416,8.217,9.037,0,0,30.078,29.338,0,0,0,0,0,0,0,17.089,0,5.92,36.992,-22.462,-30.451,71.402,16.7,415.22,1/4/2015
5,05,25.166,0,0,0,0,0,0,27.921,0,0,0,0,37.901,16.301,29.886,0,36.615,9.681,43.544,25.773,0,0,0,0,26.325,31.284,10.815,11.813,0,0,28.897,28.888,0,0,0,0,0,0,0,17.089,0,5.92,44.007,-28.565,-33.601,74.902,17.194,427.92,1/4/2015
6,06,10.085,0,0,0,0,0,0,27.892,0,0,0,0,37.501,16.301,32.25,0,33.798,8.125,43.855,25.801,0,0,0,0,27.942,33.66,6.59,7.424,0,0,28.818,28.268,0,0,0,0,0,0,0,17.089,0,5.92,42.6,-49.806,-53.45,101.103,43.8,392.29,1/4/2015
7,07,9.992,0,0,0,0,0,0,27.892,0,0,0,0,36.501,16.301,33.038,0,44.626,13.696,43.66,25.718,0,0,0,0,24.64,29.7,17.2,18.28,0,0,29.927,29.858,0,0,0,0,0,0,0,17.089,0,5.85,35.072,-53.713,-59.493,100.203,43.086,428.96,1/4/2015
8,08,20.276,0,0,0,0,0,5.72,26.301,0,0,0,0,35.601,16.001,34.929,0,46.842,14.788,43.933,25.745,0,0,0,0,27.74,27.588,19.551,20.467,0,0,30.397,30.348,0,0,0,0,0,0,0,17.089,0,5.9,47.703,-72.268,-76.357,121.004,52.699,471.86,1/4/2015
9,09,38.368,0,0,0,0,0,11.807,26.301,0,0,0,0,34.901,14.9,29.151,42.637,42.362,12.587,42.439,25.467,0,0,0,0,29.851,29.04,9.16,10.022,0,0,31.748,31.248,0,0,0,0,0,0,0,17.089,0,5.8,42.648,-54.567,-61.278,106.503,38.289,498.6,1/4/2015
10,10,35.222,0,0,0,0,0,11.712,27.656,0,0,0,0,31.801,15.601,33.248,35.4,39.229,11.018,43.178,25.773,0,0,0,0,30.48,29.172,7.588,8.449,0,0,31.538,31.087,0,0,0,0,0,0,0,17.089,0,5.7,44.162,-47.609,-55.666,90.103,27.595,500.69,1/4/2015
11,11,20.097,0,0,0,0,0,11.675,27.774,0,0,0,0,26.701,13.6,30.202,36.495,40.477,11,37.292,25.94,0,0,0,0,27.74,25.74,19.921,20.973,0,0,30.518,30.628,0,0,0,0,0,0,0,17.071,0,5.6,49.952,-46.999,-52.754,73.002,24.885,511.26,1/4/2015
12,12,35.105,0,0,0,0,0,11.69,29.129,0,0,0,0,20.601,11,26.052,39.038,43.823,12.878,33.492,25.885,0,0,0,0,26.46,31.02,13.7,14.821,0,0,31.058,30.827,0,0,0,0,0,0,0,17.071,0,5.4,48.699,-48.952,-57.744,78.402,29.884,506.17,1/4/2015
13,13,14.967,0,0,0,0,0,11.448,28.746,0,0,0,0,15.501,9.1,21.272,39.038,48.714,15.539,32.126,25.912,0,0,5.969,0,28.571,32.34,18.102,19.1,0,0,30.898,30.548,0,0,0,0,0,0,0,17.071,0,5.21,49.147,-46.754,-52.782,73.502,31.697,493.66,1/4/2015
14,14,27.471,0,0,0,0,0,11.36,28.716,0,0,0,0,18.301,10,23.111,39.023,42.286,12.519,31.611,25.801,0,0,6.603,0,27.807,33.66,13.713,14.465,0,0,30.628,30.438,0,0,0,0,0,0,0,17.906,0,5.3,43.894,-56.032,-67.879,83.803,39.296,495.43,1/4/2015
15,15,10.286,0,0,0,0,0,11.265,29.777,0,0,0,0,26.401,12.3,28.994,39.175,41.617,11.849,38.763,25.801,0,0,6.578,0,24.955,29.172,7.957,8.819,0,0,30.608,30.097,0,0,0,0,0,0,0,17.906,0,5.2,44.93,-54.689,-59.511,82.103,29.389,485.19,1/4/2015
16,16,10.269,0,0,0,0,0,0,30.131,0,0,0,0,26.001,10.1,30.727,36.094,38.93,10.792,36.453,25.69,0,0,6.594,0,26.482,31.68,14.151,15.108,0,0,30.458,30.628,0,0,0,0,0,0,0,17.906,0,5.2,43.609,-50.172,-56.069,67.502,25.398,490.34,1/4/2015
17,17,28.547,0,0,0,0,0,0,30.072,0,0,0,0,32.001,15.501,29.046,22.753,34.645,8.352,38.547,25.773,0,0,6.608,0,26.842,30.096,11.854,12.797,0,0,30.548,30.097,0,0,0,0,0,0,0,17.145,0,5.4,43.465,-55.788,-61.461,99.603,40.999,456.76,1/4/2015
18,18,29.925,0,0,0,0,0,0,29.011,0,0,0,0,27.501,13.6,33.353,29.287,45.118,13.371,34.464,25.69,0,0,6.594,0,25.314,27.852,15.04,15.983,0,0,30.397,29.878,0,0,0,0,0,0,0,17.219,0,5.5,43.465,-59.694,-65.307,95.003,42.299,486.26,1/4/2015
19,19,32.904,18.39,0,12.183,0,0,11.719,29.041,22.269,38.938,0,0,25.401,13,29.781,41.501,37.175,9.592,34.496,25.745,0,0,6.593,0,26.055,30.228,16.311,17.241,0,0,30.208,30.268,0,0,0,0,0,4.9,4.9,17.219,0,5.7,43.663,-38.82,-48.085,76.102,25.398,600.84,1/4/2015
20,20,32.627,0,0,0,0,0,11.712,29.276,9.749,38.437,0,0,31.101,14.6,31.147,46.579,41.776,12.025,38.47,25.69,0,0,0,0,25.651,28.644,15.86,16.803,0,0,30.187,29.998,0,0,0,0,0,0,4.9,17.219,0,5.7,44.634,-54.567,-56.481,71.002,21.992,600.86,1/4/2015
21,21,25.32,0,0,0,0,0,11.573,29.158,2.723,38.409,0,0,39.201,16.301,38.397,44.847,41.232,11.436,46.39,25.662,0,0,0,0,26.662,29.568,13.125,14.465,0,0,31.208,30.598,0,0,0,0,0,0,4.9,17.219,0,5.9,42.634,-34.059,-36.842,77.102,16.297,564.44,1/4/2015
22,22,39.234,0,0,0,0,0,6.314,29.011,0,0,0,0,34.58,16.001,35.349,40.447,32.121,7.316,43.63,25.745,0,0,0,0,25.921,28.908,12.319,13.276,0,0,31.007,30.568,0,0,0,0,0,0,4.9,17.219,0,5.77,42.757,-55.177,-55.812,102.503,34.791,496.11,1/4/2015
23,23,37.192,0,0,0,0,0,0,29.306,0,0,0,0,37.501,16.501,36.926,0,40.641,11.425,43.125,25.829,0,0,0,0,29.2,31.284,10.746,11.471,0,0,31.148,30.458,0,0,0,0,0,0,0,17.219,0,5.84,43.21,-48.341,-52.068,98.503,29.682,461.27,1/4/2015
0,00,25.367,0,0,0,0,0,0,11.071,0,0,0,0,36.701,14.4,35.192,0,36.569,9.481,43.423,25.523,0,0,0,0,29.065,26.136,8.778,9.379,0,0,30.818,30.498,0,0,0,0,0,0,0,17.219,0,5.92,43.21,-15.748,-19.126,53.602,-1.502,421.54,2/4/2015
1,01,9.97,0,0,0,0,0,0,0,0,0,0,0,29.601,15.701,36.716,0,39.832,11.309,43.13,25.69,0,0,0,0,25.921,31.152,9.912,10.815,0,0,31.368,30.638,0,0,0,0,0,0,0,17.219,0,5.96,39.183,5.371,-3.259,21.201,-21.406,412.22,2/4/2015
2,02,0,0,0,0,0,0,0,0,0,0,0,0,33.101,14.8,35.349,0,44.001,13.359,41.542,25.968,0,0,0,0,29.402,29.172,7.246,8.08,0,0,30.868,30.778,0,0,0,0,0,0,0,17.219,0,6,39.072,5.493,-3.25,21.601,-18.403,400.52,2/4/2015
3,03,0,0,0,0,0,0,0,0,0,0,0,0,33.501,15,32.407,0,45.866,14.05,42.802,25.801,0,0,0,0,28.728,33.396,6.576,7.52,0,0,30.458,30.298,0,0,0,0,0,0,0,17.219,0,6.08,39.072,8.423,0,21.701,-18.11,396.78,2/4/2015
4,04,0,0,0,0,0,0,0,0,0,0,0,0,30.901,15.201,27.365,0,37.087,9.886,38.147,25.857,0,0,0,0,28.549,28.38,14.151,15.19,0,0,30.778,30.478,0,0,0,0,0,0,0,17.219,0,6.08,31.345,2.564,-6.336,21.001,-15.51,384.93,2/4/2015
5,05,0,0,0,0,0,0,0,0,0,0,0,0,25.301,14.1,28.574,0,41.292,11.579,41.887,25.912,0,0,0,0,28.144,28.512,13.153,14.164,0,0,30.158,30.608,0,0,0,0,0,0,0,18.036,0,6.08,43.339,4.883,-7.004,17.001,-15.308,401.26,2/4/2015
