,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,MTL,GSR,HEM,HPA1,HPA2,PHD,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,00,32.42,0,0,0,0,0,0,0,0,0,0,0,28.301,20.101,36.82,0,42.231,13.557,42.347,25.773,0,22.7,0,0,0,0,0,28.571,28.512,8.723,0,0,0,29.838,27.818,3.529,3.524,0,0,0,0,4.9,18.7,0,5.3,31.065,31.617,18.815,3.8,-43.709,444.2,1/3/2016
1,01,31.326,0,0,0,0,0,0,0,0,0,0,0,29.901,21.301,34.51,0,45.222,0,41.715,25.69,0,22.999,0,0,0,0,0,29.896,33.264,7.465,0,0,0,29.887,27.678,3.481,0,0,0,0,0,0,18.5,0,5.4,30.105,20.02,9.705,6.2,-37.812,440.24,1/3/2016
2,02,33.229,0,0,0,0,0,0,0,0,0,0,0,28.101,20.601,30.307,0,49.766,0,29.778,25.773,0,22.599,0,0,0,0,0,25.674,31.416,8.285,0,0,0,29.558,27.309,3.481,0,0,0,0,0,0,18.4,0,5.37,31.646,20.264,6.986,3.1,-33.216,424.18,1/3/2016
3,03,25.881,0,0,0,0,0,0,0,0,0,0,0,28.201,21.401,26.21,0,46.377,0,30.148,25.69,0,23.3,0,0,0,0,0,30.683,33.66,7.998,0,0,0,29.698,28.808,3.508,0,0,0,0,0,0,18.5,0,5.43,30.603,22.584,11.911,-.2,-33.601,415.41,1/3/2016
4,04,28.304,0,0,0,0,0,0,0,0,0,0,0,27.101,20.701,22.848,0,49.301,0,28.886,25.718,0,22.999,0,0,0,0,0,31.873,28.38,13.303,0,0,0,29.438,28.458,3.508,0,0,0,0,0,0,18.9,0,5.53,33.188,15.503,3.864,2.1,-26.112,423.09,1/3/2016
5,05,30.636,0,0,0,0,0,0,0,0,0,0,0,22.501,15.701,20.642,0,52.538,0,37.942,25.69,0,22.599,0,0,0,0,0,30.188,31.152,24.624,0,0,0,29.268,28.238,3.508,0,0,0,0,0,0,18.9,0,5.3,40.425,17.09,3.708,3.1,-32.502,448.46,1/3/2016
6,06,33.127,0,0,0,0,0,0,30.278,0,0,0,0,20.301,16.401,26.578,0,40.729,13.06,37.824,25.634,0,22.9,0,0,0,0,0,30.121,30.756,8.6,0,0,0,29.118,28.278,8.008,0,0,0,0,0,0,18.7,0,5.53,35.657,15.992,0,10,-25.416,461.04,1/3/2016
7,07,10.32,0,0,0,0,0,0,33.548,0,0,0,0,31.301,21.401,30.097,0,41.927,13.259,25.108,25.773,0,22.999,0,0,0,0,0,31.94,27.72,12.045,0,0,0,29.808,28.668,8,0,0,0,0,0,0,18.4,0,5.52,35.846,8.301,5.905,9.6,-22.706,452.6,1/3/2016
8,08,32.56,0,0,0,0,0,5.237,31.81,0,0,0,0,30.101,22.201,27.838,7.095,46.689,14.891,31.148,24.938,0,22.9,0,0,0,0,0,30.188,31.284,18.239,0,0,0,28.948,28.678,7.956,0,0,0,0,0,4.9,18.7,0,5.4,35.841,0,4.596,15.1,-27.412,515.27,1/3/2016
9,09,31.25,0,0,0,0,0,8.987,31.839,0,0,0,0,29.701,21.801,31.147,52.118,49.548,16.316,43.61,25.523,0,24.199,0,0,0,0,0,30.121,20.724,7.643,8.969,0,0,28.478,28.508,3.516,0,0,0,0,0,4.9,18.6,0,5.22,37.392,4.395,12.342,21.401,-27.302,549.28,1/3/2016
10,10,34.523,0,0,0,0,0,8.943,31.869,0,11.467,0,0,29.001,22.101,30.517,51.772,48.022,15.449,40.098,25.662,0,27.599,0,0,0,0,0,29.043,25.212,13.508,14.944,0,0,28.548,28.548,8.718,0,0,0,0,0,4.9,18.5,0,5.14,35.97,20.631,24.519,3.1,-37.812,579.61,1/3/2016
11,11,34.046,0,0,0,0,0,8.994,31.869,0,37.38,0,0,24.701,20.801,33.406,52.191,53.058,16.671,39.543,25.272,0,24.6,0,0,0,0,0,30.975,22.176,8.408,9.844,0,0,28.918,28.637,9.095,0,0,0,0,0,4.9,18.4,0,4.9,39.215,16.236,15.885,1.8,-37.318,611.41,1/3/2016
12,12,34.371,0,0,0,0,0,8.972,31.662,0,35.348,0,0,22.801,17.201,29.204,45.131,47.04,14.331,36.368,25.356,0,24.9,0,0,6.588,0,0,29.829,17.82,9.871,11.293,0,15.34,28.508,28.878,3.521,3.415,0,0,0,0,4.9,18.6,0,4.9,35.801,-8.789,0,27.401,-13.715,587.06,1/3/2016
13,13,31.737,0,0,0,0,0,8.965,31.721,0,35.348,0,0,17.601,14.7,22.638,28.58,49.844,15.64,29.256,25.244,0,24.699,0,0,6.542,0,0,29.29,30.624,14.834,16.215,0,16.12,28.888,28.758,8.776,8.756,0,0,0,0,4.9,18.3,0,4.75,35.74,2.564,-6.024,13.6,-20.71,599.05,1/3/2016
14,14,23.429,0,0,0,0,0,8.819,31.545,1.627,35.96,0,0,12.7,12.9,20.274,47.89,52.481,17.088,23.516,40.246,0,8.599,0,0,6.598,0,0,32.457,32.604,23.667,24.651,0,21.26,28.878,28.908,8.777,8.722,0,0,0,4.9,4.9,18.3,0,4.7,39.887,17.701,18.22,-8,-30.818,629.21,1/3/2016
15,15,26.231,0,0,17.371,0,0,8.709,31.279,19.24,35.737,0,0,13.7,10.8,19.644,39.697,51.971,16.647,22.505,47.594,0,0,0,0,6.588,0,0,29.133,31.68,19.524,20.727,0,15.709,28.368,28.218,8.777,8.722,0,0,0,4.9,4.9,18.3,0,4.75,37.221,-4.883,-9.76,21.301,-3.003,624.99,1/3/2016
16,16,32.029,0,0,0,0,0,9.969,31.486,19.095,35.153,0,0,18.501,15.801,31.042,42.649,39.968,12.787,29.06,47.678,0,0,0,0,6.6,0,0,30.435,33.132,11.034,12.168,0,14.301,27.968,28.108,3.486,3.499,0,0,0,4.9,4.9,18.3,0,4.67,37.947,10.987,5.741,15.2,-29.408,604.167,1/3/2016
17,17,27.35,0,0,0,0,0,10.313,31.486,0,13.471,0,0,19.301,17.401,25.106,47.991,50.6,15.547,30.375,26.079,0,0,0,0,6.584,0,0,29.245,30.492,13.207,14.534,0,16.024,28.398,27.788,5.516,5.515,0,0,0,0,4.9,18.3,0,4.83,37.83,24.293,9.302,-.5,-31.111,556.22,1/3/2016
18,18,33.922,0,0,0,0,0,10.445,31.751,0,6.068,0,0,30.101,22.001,33.091,49.598,32.215,10.691,42.731,25.133,0,0,0,0,6.613,0,0,30.772,33,11.909,13.125,0,0,28.028,27.988,5.516,5.49,0,0,0,0,4.9,18.3,0,4.95,30.217,33.204,19.556,-3.1,-43.709,542.62,1/3/2016
19,19,34.799,0,0,0,0,0,9.112,33.076,0,37.435,0,0,33.601,22.501,35.402,46.998,48.08,14.73,43.53,25.411,0,3.799,0,0,6.581,0,0,31.222,29.568,19.182,20.426,0,15.805,28.878,28.129,6.003,6.038,0,0,0,4.9,4.9,18.4,0,5.05,38.217,38.331,31.669,-10.8,-54.805,647.4,1/3/2016
20,20,32.029,0,0,0,0,0,9.251,33.783,0,36.906,0,0,33.301,22.401,32.881,49.806,47.752,14.593,43.117,25.467,0,15.9,0,0,6.581,0,0,31.334,32.604,10.664,11.95,0,15.094,29.289,28.808,6.01,6.006,0,0,0,0,4.9,18.6,0,5.22,38.305,22.34,16.416,1.5,-42.116,644.405,1/3/2016
21,21,33.711,0,0,0,0,0,9.258,33.813,0,0,0,0,31.801,21.801,33.459,49.647,47.523,14.871,43.182,25.662,0,20.699,0,0,0,0,0,28.032,30.756,15.874,17.323,0,0,28.478,28.098,6.004,6.017,0,0,0,0,4.9,18.5,0,5.22,38.35,24.537,12.488,6.9,-36.805,585.85,1/3/2016
22,22,33.99,0,0,0,0,0,9.405,6.004,0,0,0,0,33.801,21.801,39.552,1.931,42.069,13.205,43.935,25.578,0,24.299,0,0,0,0,0,29.335,32.868,6.973,8.094,0,0,28.368,28.429,6.497,6.533,0,0,0,0,4.9,18.6,0,5.22,38.27,32.105,14.942,0.4,-49.513,511.73,1/3/2016
23,23,29.154,0,0,0,0,0,0,0,0,0,0,0,34.501,22.501,34.614,0,41.9,13.629,43.632,25.578,0,24.4,0,0,0,0,0,30.75,33.66,6.918,8.231,0,0,28.458,28.178,5.007,5.016,0,0,0,0,0,18.3,0,5.26,38.27,27.711,17.982,3.5,-40.907,469.68,1/3/2016
