,ABR,AMY-L9030,AMY1,AMY2,CEN,Date,Demanda,EEC,EEC20,EOL,GSR,HORA,HPA1,HPA2,LNI-L9040,MTR,NSL,PBP,PCA1,PCA2,PCF1,PCF2,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PEN3,PEN4,PHC1,PHC2,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,PNI1,PNI2,SND-L9090,TCPI-L9150,TPC
0,255 180 118,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,204 153 204,204 255 204,255 255 153,00,166 202 240,166 202 240,0 0 0,166 202 240,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
1,255 180 118,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,204 153 204,204 255 204,255 255 153,01,166 202 240,166 202 240,0 0 0,166 202 240,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
2,255 180 118,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,204 153 204,204 255 204,255 255 153,02,166 202 240,166 202 240,0 0 0,166 202 240,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
3,255 180 118,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,204 153 204,204 255 204,255 255 153,03,166 202 240,166 202 240,0 0 0,166 202 240,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
4,255 180 118,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,204 153 204,204 255 204,255 255 153,04,166 202 240,166 202 240,0 0 0,166 202 240,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
5,255 180 118,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,204 153 204,204 255 204,255 255 153,05,166 202 240,166 202 240,0 0 0,166 202 240,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
6,255 180 118,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,204 153 204,204 255 204,255 255 153,06,166 202 240,166 202 240,0 0 0,0 0 0,0 0 0,204 255 204,204 153 204,204 153 204,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
7,255 180 118,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,204 153 204,204 255 204,255 255 153,07,166 202 240,166 202 240,0 0 0,0 0 0,0 0 0,204 255 204,204 153 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,255 255 153,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
8,255 180 118,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,204 153 204,204 255 204,255 255 153,08,166 202 240,166 202 240,0 0 0,0 0 0,0 0 0,204 255 204,204 153 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,255 255 153,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
9,204 255 204,0 0 0,204 255 204,204 255 204,166 202 240,22/3/2015,0 0 0,0 0 0,255 255 153,204 255 204,255 255 153,09,166 202 240,166 202 240,255 255 153,0 0 0,166 202 240,204 255 204,204 153 204,255 255 153,255 255 153,255 255 153,0 0 0,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,255 255 153,204 255 204,204 255 204,166 202 240,166 202 240,,,0 0 0,255 255 153,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,255 255 153,0 0 0,0 0 0,0 0 0,166 202 240
