,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,158.5919,160.335,,162.3026,,,,,,161.307,,,,198.2355,208.8749,,,,,,,,,64.199,,,,,161.031,,65.595,65.595,148.703,155.507,1/11/2012
1,1,,,,,,158.5869,160.3036,,162.2935,,,,,,161.307,,,,198.3083,208.9916,,,,,,,,,64.199,,,,,161.031,,65.595,65.595,149.1488,155.9711,1/11/2012
2,2,,,,,,158.5932,160.3849,,166.3831,,,,,,161.307,,,,198.2964,209.0475,,,,165.49,,,,,64.199,,,,,,,65.595,65.595,151.1512,155.4715,1/11/2012
3,3,,,,,,158.5901,160.5711,,,,,,,,161.307,,,,198.1003,209.0926,,,,165.49,,,,,64.199,,,,,,,65.595,65.595,148.9043,155.5295,1/11/2012
4,4,,,,,,158.5867,160.7826,,,,,,,,161.307,,,,198.1003,209.0722,,,,,,,,,64.199,,,,,,,65.595,65.595,148.7654,154.5516,1/11/2012
5,5,,,,,,158.5826,160.5988,,,,,,,,161.307,,,,198.1251,209.1544,,,,,,,,,64.199,,,,162.447,,,65.595,65.595,148.7481,155.4888,1/11/2012
6,6,,,,,,158.5758,160.5546,,,,,,,,161.307,,,,198.5301,209.2685,,,,,,,,,64.199,,,,162.447,,,65.595,65.595,148.7449,155.5346,1/11/2012
7,7,,,,,,158.6187,160.7363,162.587,174.1772,,,,,,161.307,,,,198.2498,209.0666,,,,165.49,,,,,64.199,,,,162.447,,,65.595,65.595,148.7537,154.7135,1/11/2012
8,8,185.1124,,,,,159.1811,160.8311,163.1442,163.7248,,,,,,161.307,,,,198.2129,209.1295,,,,165.49,,165.49,,,64.199,,,,162.447,,,65.595,65.595,148.7686,154.9677,1/11/2012
9,9,171.4702,173.0299,173.3872,,,159.2115,160.8437,163.2358,163.3604,,,,,,161.307,,,,198.3779,209.165,,,,165.49,,165.49,,,64.199,,,,162.447,,,65.595,65.595,148.784,154.6647,1/11/2012
10,10,169.1073,168.8013,169.1873,178.4221,177.6109,159.1935,160.8345,163.2172,163.4131,,,,,,161.307,,,,198.5857,209.2844,171.499,,,165.49,,165.49,165.49,,64.199,,,,162.447,,,65.595,,148.7394,154.6446,1/11/2012
11,11,169.1125,168.8296,169.339,171.3076,171.3332,159.0085,160.5693,163.2113,163.4104,,,,,,161.307,,,,198.5635,209.0857,171.499,,,165.49,,165.49,,,64.199,,,,162.447,,,65.595,,148.7715,154.6994,1/11/2012
12,12,169.1756,168.8132,170.3223,171.2786,171.4101,158.6137,160.5039,163.2697,163.4245,,,,,,161.307,,,,198.5147,209.0869,171.499,,,165.49,,165.49,,,64.199,,,,162.447,,,65.595,,148.7331,154.7896,1/11/2012
13,13,169.1952,168.853,170.7144,171.3595,171.4204,158.6504,160.6796,163.2228,163.1013,,,,,,161.307,,,,197.7958,208.9896,171.499,,,165.49,,165.49,,,64.199,,,,162.447,,,65.595,,148.7764,154.4132,1/11/2012
14,14,169.1264,168.8998,170.7316,171.3325,171.3665,158.6525,160.7377,163.2124,163.3046,,,,,,161.307,,,,191.4605,209.2683,171.499,,,165.49,,165.49,,,64.199,,,,162.447,161.031,,65.595,,148.7932,155.0428,1/11/2012
15,15,169.0974,168.9849,170.7626,171.3126,171.3524,158.6459,160.6017,163.2162,163.3246,,,,,,161.307,,,,191.3972,209.1638,171.499,,,165.49,,165.49,,,64.199,,,,162.447,161.031,,65.595,,148.7593,154.5337,1/11/2012
16,16,169.7512,169.5933,169.6073,174.4479,174.0212,158.647,160.5454,163.2136,163.3002,,,,,,161.307,,,,197.2726,209.1817,171.499,,,165.49,,165.49,,,64.199,,,,162.447,161.031,,65.595,,148.9489,154.8066,1/11/2012
17,17,170.9652,169.6046,169.3988,175.1704,173.852,158.65,160.3691,163.232,162.5815,,,,,,161.307,,,,196.0604,209.0833,171.499,,,165.49,165.49,165.49,,,64.199,,,,162.447,161.031,,65.595,65.595,148.69,154.7102,1/11/2012
18,18,170.3468,168.7866,169.4026,171.2217,171.2239,158.6677,160.3456,163.2743,162.4303,,,,,,161.307,,,,193.0151,209.2197,171.499,,,165.49,165.49,165.49,,,64.199,,,,162.447,161.031,,65.595,65.595,148.6904,154.75,1/11/2012
