,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,CEN,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,,,,,,,,,173.568,,225.2938,237.8414,,50,33.151,165.89,165.89,,,63.371,63.371,,,,,,,61.885,61.885,168.7973,174.999,1/3/2012
1,01,,,,,,,,,,,,,,,,,225.4002,237.8073,,50,33.151,165.89,165.89,,,63.371,63.371,,,,,,,61.885,61.885,168.9623,175.0009,1/3/2012
2,02,,,,,,,,,,,,,,,173.568,,225.5076,237.5179,,50,33.151,165.89,165.89,174.94,,63.371,63.371,,,,,,,61.885,61.885,169.1703,178.3066,1/3/2012
3,03,,,,,,,,,,,,,,,173.568,,225.2063,237.6805,,50,33.151,165.89,165.89,174.94,,63.371,63.371,,,,,,,61.885,61.885,168.723,,1/3/2012
4,04,,,,,,,,,,,,,,,173.568,,225.1665,237.5679,,50,33.151,165.89,165.89,174.94,,63.371,63.371,,,,,,,61.885,61.885,169.1296,177.1713,1/3/2012
5,05,,,,,,,,,,,,,,,173.568,,225.1665,237.78,,50,33.151,165.89,165.89,174.94,,63.371,63.371,,,,,,,61.885,61.885,169.3113,175.0226,1/3/2012
6,06,,,,,,,,,,,,,,180.862,173.568,,225.1665,237.7119,,50,33.151,165.89,165.89,174.94,,63.371,63.371,,,,,,,61.885,61.885,168.7256,174.3959,1/3/2012
7,07,,,,,,,,,,,,,,180.862,173.568,,225.4451,237.4799,,50,33.151,165.89,165.89,174.94,,63.371,63.371,,,,,,,61.885,61.885,168.7239,174.0329,1/3/2012
8,08,,,,,,179.4055,,,187.8576,,,,,180.862,173.568,,225.5076,237.491,,50,33.151,165.89,165.89,174.94,,63.371,63.371,,,,,,,61.885,61.885,168.7241,174.0094,1/3/2012
9,09,,,,,,178.7121,,,181.2099,,,,,180.862,173.568,,225.4512,237.6506,,50,33.151,165.89,165.89,174.94,,63.371,63.371,,,,,,,61.885,61.885,168.723,174.0153,1/3/2012
10,10,,,,,,178.7093,,,181.209,,,,,180.862,173.568,,225.4505,237.6908,,50,33.151,165.89,165.89,174.94,174.94,63.371,63.371,,,,,,,61.885,61.885,168.7235,174.0153,1/3/2012
11,11,,,,,,178.7248,,,181.1493,,,,,180.862,173.568,,225.3786,237.6882,,50,33.151,165.89,165.89,174.94,174.94,63.371,63.371,,,,,,,61.885,61.885,168.723,174.0153,1/3/2012
12,12,,,,,,178.7836,188.2299,,181.1432,,,,,180.862,173.568,,225.3786,237.6882,,50,33.151,165.89,165.89,174.94,174.94,63.371,63.371,,,,,,,61.885,61.885,168.7235,175.639,1/3/2012
13,13,,,,,,178.8784,181.1355,,181.4952,,,,,180.862,173.568,,225.5814,237.8752,,50,33.151,165.89,165.89,174.94,,63.371,63.371,,,,,,,61.885,61.885,168.7236,175.8205,1/3/2012
14,14,,,,,,178.9397,181.1636,,181.4451,,,,,180.862,173.568,,225.6023,238.1876,,50,33.151,165.89,165.89,174.94,174.94,63.371,63.371,,,,,,,61.885,61.885,168.723,174.4037,1/3/2012
15,15,,,,,,178.904,181.2515,,181.2113,,,,,180.862,173.568,,225.4157,237.7778,,50,33.151,165.89,165.89,174.94,174.94,63.371,63.371,,,,,,,61.885,61.885,168.723,173.9756,1/3/2012
16,16,,,,,,178.886,181.1335,,180.9785,,,,,180.862,173.568,,225.2758,237.4014,,50,33.151,165.89,165.89,174.94,174.94,63.371,63.371,,,,,,,61.885,61.885,168.7249,173.9756,1/3/2012
17,17,,,,,,178.74,181.1177,,180.5808,,,,,180.862,173.568,,225.2495,237.7266,,50,33.151,165.89,165.89,,,63.371,63.371,,,,,,,61.885,61.885,169.5767,174.6155,1/3/2012
