,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,168.4404,174.1676,,,,,,,,,162.739,,210.5981,222.1323,,,,162.739,162.739,165.39,165.39,,63.371,,,,,,,,65.595,157.842,165.1144,1/9/2012
1,01,,,,,,168.4376,198.6144,,,,,,,,,162.739,,210.5411,222.0518,,,,162.739,162.739,,165.39,,63.371,,,,,,,,65.595,157.842,165.1376,1/9/2012
2,02,,,,,,168.9798,198.889,,,,,,,,,162.739,,210.5963,222.0496,,,,162.739,162.739,165.39,165.39,,63.371,,,,,,,,65.595,157.9247,165.1435,1/9/2012
3,03,,,,,,172.7394,198.889,,,,,,,,,162.739,,210.6358,222.1819,,,,162.739,162.739,165.39,165.39,,63.371,,,,,,,,65.595,158.9213,165.2896,1/9/2012
4,04,,,,,,172.6786,198.889,,,,,,,,,162.739,,210.6277,222.1614,,,,162.739,162.739,165.39,165.39,,63.371,,,,,,,,65.595,157.842,165.2684,1/9/2012
5,05,,,,,,168.4291,178.3524,,,,,,,,,162.739,,210.5443,221.9495,,,,162.739,162.739,165.39,165.39,,63.371,,,,,,,,65.595,157.842,165.1205,1/9/2012
6,06,,,,,,168.3828,169.7234,,,,,,,,,162.739,,210.311,222.2333,,,,162.739,162.739,165.39,,,63.371,,,,,,,,65.595,157.842,165.1632,1/9/2012
7,07,,,,,,168.3859,169.7566,,183.4525,,,,,,170.445,162.739,,210.4769,222.2677,,,,162.739,162.739,165.39,,,63.371,,,,,,,,65.595,157.842,165.364,1/9/2012
8,08,,,,,,168.3878,169.7598,172.0805,171.6599,,,,,,170.445,162.739,,210.6221,221.9566,,,,162.739,162.739,165.39,,,63.371,,,,,170.704,,,65.595,157.842,165.5109,1/9/2012
9,09,,,,,,168.4147,169.7722,171.0403,171.0436,,,,,,170.445,162.739,,210.4497,221.871,,,,162.739,162.739,165.39,,,63.371,,,,,170.704,,,65.595,157.842,165.5162,1/9/2012
10,10,,,192.2064,,,168.427,169.7741,171.1125,171.0476,,,,,,170.445,162.739,,210.2628,221.9231,,,,162.739,162.739,165.39,,,63.371,,,,,170.704,,,65.595,157.842,165.4356,1/9/2012
11,11,,,178.6325,,,168.3906,169.6858,171.0854,171.037,,,,,,170.445,162.739,,210.2628,221.8688,,,,162.739,162.739,165.39,,,63.371,,,,,170.704,,,65.595,157.842,165.5092,1/9/2012
12,12,,,184.9454,,,168.3466,169.644,171.1275,171.0637,,,,,,170.445,162.739,,210.2628,221.8523,,,,162.739,162.739,165.39,,,63.371,,,,,170.704,,,65.595,157.842,166.1265,1/9/2012
13,13,,,,,,168.3531,169.7526,171.275,171.4142,,,,,,170.445,162.739,,210.2628,222.3098,,,,162.739,162.739,165.39,,,63.371,,,,,170.704,,,65.595,157.842,166.5278,1/9/2012
14,14,,,,,,168.3518,169.7762,172.3043,171.5691,,,,,,170.445,162.739,,210.2628,222.1498,,,,162.739,162.739,165.39,165.39,,63.371,,,,,170.704,,,65.595,157.9517,165.3938,1/9/2012
15,15,,,,,,168.3528,169.7855,,171.3115,,,,,,170.445,162.739,,210.2907,222.0201,,,,162.739,162.739,165.39,165.39,,63.371,,,,,170.704,,,65.595,158.2283,165.7639,1/9/2012
16,16,,,,,,168.3546,169.6723,,173.9756,,,,,,170.445,162.739,,210.3473,222.0053,,,,162.739,162.739,165.39,165.39,,63.371,,,,,170.704,,,65.595,157.842,165.1755,1/9/2012
