,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,157.4318,158.6072,,,,,,,,,151.556,,,195.5207,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.89,154.053,1/10/2013
1,01,,,,,,157.4177,158.5849,,,,,,,,,151.556,,,195.523,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.89,154.3749,1/10/2013
2,02,,,,,,157.4067,158.5528,,,,,,,,,151.556,,,195.4576,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,147.063,153.7706,1/10/2013
3,03,,,,,,157.4062,158.5575,,,,,,,,,151.556,,,195.3838,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,147.6443,153.5851,1/10/2013
4,04,,,,,,157.4277,158.5761,,,,,,,,159.605,151.556,,,195.4324,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.89,153.3993,1/10/2013
5,05,,,,,,157.4233,158.5733,,,,,,,,159.605,151.556,,,195.435,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.89,153.1829,1/10/2013
6,06,,,,,,157.422,158.5866,,,,,,,,159.605,151.556,,,195.4043,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.89,153.3203,1/10/2013
7,07,,,,,,157.7744,158.6998,,167.8864,,,,,,159.605,151.556,,,195.3721,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.89,152.9918,1/10/2013
8,08,,172.8414,170.095,,,158.4414,159.4789,163.1767,159.1389,,,,,,159.605,151.556,,,195.4165,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,152.712,1/10/2013
9,09,174.7718,166.8204,167.0266,173.4541,,158.0397,159.3331,163.4209,159.5733,,,,,,159.605,151.556,,,195.5659,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,152.6825,1/10/2013
10,10,168.5366,166.8906,167.0972,168.0401,,157.4318,159.2633,163.6658,159.5118,,,,,,159.605,151.556,,,195.5889,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,152.9794,1/10/2013
11,11,168.1611,166.8595,167.1514,169.1622,,158.0838,159.3274,163.6435,159.1819,,230.078,,,,159.605,151.556,,,195.5505,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,152.9135,1/10/2013
12,12,168.1927,166.8458,167.1393,167.9603,,158.2675,159.0753,163.5652,158.9841,,230.078,,,,159.605,151.556,,,196.117,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,153.3558,1/10/2013
13,13,168.2068,166.9415,167.3204,167.9935,,158.1715,158.8945,163.5655,159.026,,230.078,,,,159.605,151.556,,,195.6905,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,153.3987,1/10/2013
14,14,168.2355,167.0801,167.3573,167.9964,,158.0895,158.8949,163.6462,159.0619,,230.078,,,,159.605,151.556,,,195.4151,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,153.5047,1/10/2013
15,15,169.8573,169.2964,167.3729,170.942,,158.4041,158.8997,163.4313,159.0698,,230.078,,,,159.605,151.556,,,195.5878,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,154.3661,1/10/2013
16,16,,182.911,171.67,,,158.4479,158.6229,163.0403,158.9172,,230.078,,,,159.605,151.556,,,195.617,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,154.5152,1/10/2013
17,17,178.735,172.008,171.7224,174.0773,,158.1431,158.4394,163.2595,158.5872,,,,,,159.605,151.556,,,195.5692,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.9624,154.09,1/10/2013
18,18,168.5477,166.7888,167.0767,167.9118,175.3081,157.432,158.2921,162.9565,158.5501,,,,,,159.605,151.556,,,195.5598,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,147.7244,153.1351,1/10/2013
19,19,168.3481,166.8145,167.1657,172.5645,175.2628,157.44,158.2165,162.8796,158.5671,,,,,,159.605,151.556,,,195.6315,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.9092,153.6168,1/10/2013
20,20,177.5227,171.4934,169.9832,,,157.4066,158.1575,162.439,158.5642,,,,,,159.605,151.556,,,195.6938,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,153.4167,1/10/2013
21,21,,,,,,157.4327,158.1893,163.2127,161.0283,,,,,,159.605,151.556,,,195.8468,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,154.5052,1/10/2013
22,22,,,,,,157.4328,158.2863,163.3409,,,,,,,159.605,151.556,,,195.8379,,,92.54,92.54,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.8905,154.3645,1/10/2013
23,23,,,,,,157.4214,158.3204,163.2801,,,,,,,159.605,151.556,,,195.6985,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.8944,153.2488,1/10/2013
0,00,,,,,,157.4086,158.1181,,,,,,,,,151.556,,,195.7296,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.8902,154.2374,2/10/2013
1,01,,,,,,157.4149,158.3313,,,,,,,,,151.556,,,195.6426,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.9842,154.141,2/10/2013
2,02,,,,,,157.4098,158.3272,,,,,,,,,,,,195.4851,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.89,154.4944,2/10/2013
3,03,,,,,,157.4058,158.3159,,,,,,,,,,,,195.4603,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.89,153.2841,2/10/2013
4,04,,,,,,157.4264,158.187,,,,,,,,,,,,195.4732,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.8919,153.2438,2/10/2013
5,05,,,,,,157.4235,158.159,,,,,,,,159.605,,,,195.4287,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.8955,153.5588,2/10/2013
6,06,,,,,,157.4104,158.1337,,,,,,,,159.605,,,,195.3992,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.8971,154.0824,2/10/2013
7,07,,,,,,157.4179,158.1308,,170.1774,,,,,,159.605,,,,195.4224,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.8933,153.1119,2/10/2013
8,08,,,180.1823,,,157.436,158.4869,163.4672,160.0926,,230.078,,,,159.605,,,,195.4562,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.8974,152.8778,2/10/2013
9,09,171.7635,171.2857,168.8265,,,157.4522,158.6958,163.6962,159.5054,,230.078,,,,159.605,,,,195.5055,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.8917,153.0358,2/10/2013
10,10,168.1198,168.106,168.2111,170.6104,181.5769,157.8699,158.8848,163.6982,159.5047,,,,,,159.605,,,,195.1338,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,,,,66.857,66.857,146.8968,152.8292,2/10/2013
11,11,168.1574,167.965,168.2379,167.9577,170.288,158.4561,158.9027,163.6982,159.2094,,,,,,159.605,151.556,,,193.6871,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,153.867,2/10/2013
12,12,168.1848,168.032,168.4439,167.9994,173.8248,157.5514,158.9985,163.3904,159.0982,,,,,,159.605,151.556,,,195.6192,,,92.54,,,,152.484,152.484,,23.45,,65.006,65.006,,,,160.807,,,66.857,66.857,146.89,153.3961,2/10/2013
