,HORA,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,,,,,,,,,,160.302,,,207.3681,218.5435,,50,33.486,155.4,155.4,,,,64.199,64.199,,,,,,,65.595,65.595,155.5769,,1/3/2013
1,1,,,,,,,,,,,,,,,,,,,207.3025,218.5271,,50,33.486,155.4,155.4,,,,64.199,64.199,,,,,,,65.595,65.595,156.9082,,1/3/2013
2,2,,,,,,,,,,,,,,,,,,,207.3042,218.4771,,50,33.486,155.4,155.4,,,,64.199,64.199,,,,,,,65.595,65.595,172.0135,,1/3/2013
3,3,,,,,,,,,,,,,,,,,,,207.2815,218.507,,50,33.486,155.4,155.4,,,,64.199,64.199,,,,,,,65.595,65.595,165.5391,,1/3/2013
4,4,,,,,,,,,,,,,,,,160.302,,,207.2803,218.5435,,50,33.486,155.4,155.4,,,,64.199,64.199,,,,,,,65.595,65.595,156.9958,174.789,1/3/2013
5,5,,,,,,,,,,,,,,,,160.302,,,207.2669,218.6225,,50,33.486,155.4,155.4,,,,64.199,64.199,,,,,,,65.595,65.595,155.4201,165.358,1/3/2013
6,6,,,,,,,,,,,,,,,,160.302,,,207.272,218.5338,,50,33.486,155.4,155.4,,,,64.199,64.199,,,,,,,65.595,65.595,155.414,164.3152,1/3/2013
7,7,,,,,,,,,,,,,,,,,,,207.2504,218.5397,,50,33.486,155.4,155.4,160.7,,,64.199,64.199,,,,,,,65.595,65.595,155.4175,161.9104,1/3/2013
8,8,,,,,,166.3653,,,,,,,,,168.021,,,,207.2422,218.6117,,50,33.486,155.4,155.4,160.7,160.7,,64.199,64.199,,,,,,,65.595,65.595,155.4398,161.1775,1/3/2013
9,9,,,,,,166.0608,,,172.619,,,,,,168.021,,,,207.241,218.646,,50,33.486,155.4,155.4,160.7,160.7,,64.199,64.199,,,,,,,65.595,65.595,155.416,161.2931,1/3/2013
10,10,,,,,,166.732,,169.5966,168.0141,,,,,,168.021,,,,207.3061,218.5947,,50,33.486,155.4,155.4,160.7,160.7,,64.199,64.199,,,,,168.616,,65.595,65.595,155.4176,161.2223,1/3/2013
11,11,,,,,,167.0196,189.1491,168.7082,168.0097,,,,,,168.021,,,,207.2736,218.2893,,50,33.486,155.4,155.4,160.7,160.7,,64.199,64.199,,,,170.101,168.616,,65.595,65.595,155.4174,160.9661,1/3/2013
12,12,,,,193.149,,167.001,168.5887,169.5561,168.0088,,,,,,168.021,160.302,,,207.1832,218.1786,,50,33.486,155.4,155.4,160.7,160.7,,64.199,64.199,,,,,168.616,,65.595,65.595,155.414,161.744,1/3/2013
13,13,,,,193.0701,,167.1267,167.0068,169.6784,168.0549,,,,,,168.021,160.302,,,207.1102,218.0662,,50,33.486,155.4,155.4,160.7,160.7,,64.199,64.199,,,,,168.616,,65.595,65.595,155.414,161.7882,1/3/2013
