,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,153.6059,154.8259,,,,,,,,155.4903,148.4866,,,191.495,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.958,149.809,1/5/2014
1,01,,,,,,,153.5831,154.8005,,,,,,,,155.4903,148.4866,,,191.4863,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.958,149.8921,1/5/2014
2,02,,,,,,,153.6259,154.8235,,,,,,,,155.4903,148.4866,,,191.5174,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.0893,149.561,1/5/2014
3,03,,,,,,,153.5899,155.4395,,,,,,,,155.4903,148.4866,,,191.5153,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.7023,149.8731,1/5/2014
4,04,,,,,,,153.5887,166.0946,,,,,,,,,148.4866,,,191.4849,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.1571,149.2964,1/5/2014
5,05,,,,,,,153.6276,157.2,,,,,,,,,148.4866,,,191.4234,,,,,50,33.8242,,,,,,65.006,65.006,,,,,,67.701,,67.701,144.9288,149.6057,1/5/2014
6,06,,,,,,,153.8996,161.0511,,,,,,,,,148.4866,,,191.4136,,,,,50,33.8242,,,,,,65.006,65.006,,,,,,67.701,,67.701,144.9816,149.9318,1/5/2014
7,07,,,,,,,153.5349,167.4955,,,,,,,,,148.4866,,,191.4551,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.1513,149.4184,1/5/2014
8,08,,,,,,,153.5508,154.7462,,,,,,,,155.4903,148.4866,,,191.4623,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.958,149.67,1/5/2014
9,09,,,,,,,154.1079,154.7536,,,,,,,,155.4903,148.4866,,,191.4536,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.958,149.4188,1/5/2014
10,10,,,,,,,154.204,154.8938,160.0893,161.4307,,234.419,,,,155.4903,148.4866,,,191.7189,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,143.958,149.5855,1/5/2014
11,11,,,,172.1236,,,154.3041,155.0683,160.5257,156.8216,,,,,,155.4903,148.4866,,,191.8728,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,143.958,149.7124,1/5/2014
12,12,,,,163.891,,,154.3136,154.939,160.5051,156.8601,,,,,,155.4903,148.4866,,,191.7792,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,143.958,149.6155,1/5/2014
13,13,,,,163.9633,,,154.3124,154.9893,160.5126,156.8923,,,,,,155.4903,148.4866,,,191.7124,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,144.485,150.0756,1/5/2014
14,14,,,,170.5584,,,154.3248,155.0248,160.5191,156.9818,,,,,,155.4903,148.4866,,,191.6789,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,144.3687,149.3925,1/5/2014
15,15,,,,176.138,,,154.3345,155.1003,160.5222,157.0493,,,,,,155.4903,148.4866,,,191.6702,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,144.4352,149.4406,1/5/2014
16,16,,,,164.5209,,,154.411,155.0324,160.508,157.0724,,,,,,155.4903,148.4866,,,191.6167,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,144.5265,149.7285,1/5/2014
17,17,,,,175.2206,,,154.3531,155.007,159.9558,157.0449,,,,,,155.4903,148.4866,,,191.7494,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.9826,150.0492,1/5/2014
18,18,,,167.0163,165.3939,,,154.1994,154.9249,160.3942,156.7146,,234.419,,,,155.4903,148.4866,,,191.712,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,143.958,149.4497,1/5/2014
19,19,,,163.7366,163.9757,,,154.1534,154.8248,160.4303,156.4607,,,,,,155.4903,148.4866,,,191.6899,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,143.958,149.8233,1/5/2014
20,20,,,167.5582,167.1239,,,154.1438,154.8308,159.9522,156.1592,,,,,,155.4903,148.4866,,,191.7769,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,143.958,149.9615,1/5/2014
21,21,,,,,,,153.6392,154.8607,160.0107,156.1854,,,,,,155.4903,148.4866,,,191.7907,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,163.539,161.594,67.701,,67.701,144.1096,150.044,1/5/2014
22,22,,,,,,,153.5677,154.823,160.0365,156.1342,,,,,,155.4903,148.4866,,,191.8648,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.9887,149.6771,1/5/2014
23,23,,,,,,,153.5564,154.8166,,156.158,,,,,,155.4903,148.4866,,,191.9904,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.958,149.495,1/5/2014
0,00,,,,,,,153.5624,154.8299,,156.2017,,,,,,155.4903,148.4866,,,191.8616,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.5889,149.9977,2/5/2014
1,01,,,,,,,153.566,154.9387,,164.7016,,,,,,155.4903,148.4866,,,191.8717,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.0175,149.5987,2/5/2014
2,02,,,,,,,153.5657,155.0662,,,,,,,,155.4903,148.4866,,,191.8378,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.6631,150.07,2/5/2014
3,03,,,,,,,153.5515,155.0641,,,,,,,,155.4903,148.4866,,,191.7871,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.9611,150.191,2/5/2014
4,04,,,,,,,153.5347,161.4,,,,,,,,,148.4866,,,191.7809,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.6702,149.7866,2/5/2014
5,05,,,,,,,153.5338,,,,,,,,,,148.4866,,,191.7563,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.4591,149.7357,2/5/2014
6,06,,,,,,,153.5413,165.5385,,,,,,,,,148.4866,,,191.7628,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.958,149.5297,2/5/2014
7,07,,,,,,,153.5341,155.0445,,,,,,,,155.4903,148.4866,,,191.737,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.958,149.4968,2/5/2014
8,08,,,,,,,153.5476,155.0512,,166.2354,,,,,,155.4903,148.4866,,,191.738,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.958,149.4928,2/5/2014
9,09,,,,,,,153.6142,155.1377,,156.864,,,,,,155.4903,148.4866,,,191.7204,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,144.6346,149.7722,2/5/2014
10,10,,,,,,,153.6161,155.1516,159.956,156.633,,,,,,155.4903,148.4866,,,191.6481,,,,,50,33.8242,,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.958,149.507,2/5/2014
11,11,,,,,,,153.6967,155.1741,159.9757,156.7918,,,,,,155.4903,148.4866,,,191.5766,,,,,50,33.8242,155.49,155.49,,,,65.006,65.006,,,,,,67.701,,67.701,143.958,149.5533,2/5/2014
