,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,00,,,,,,,,,,,,,,,,,86.7762,,,102.9332,,,88.43,88.43,,,50,34.1659,81.071,81.071,87.81,,,85.0605,82.583,,,,,,89.5,,89.5,83.3808,83.6663,1/1/2015
1,01,,,,,,,,,,,,,,,,,86.7762,,,102.9862,,,,,,,50,34.1659,81.071,81.071,,,,85.0605,82.583,,,,,,89.5,,89.5,83.2187,83.9781,1/1/2015
2,02,,,,,,,,,,,,,,,,,,,,103.0433,,,,,,,50,34.1659,81.071,81.071,,,,85.0605,82.583,,,,,,89.5,,89.5,83.1083,84.7383,1/1/2015
3,03,,,,,,,,,,,,,,,,,,,,103.0638,,,,,,,50,34.1659,81.071,81.071,,,,85.0605,82.583,,,,,,89.5,,89.5,82.9629,,1/1/2015
4,04,,,,,,,,,,,,,,,,,,,,103.0468,,,,,,,50,34.1659,81.071,81.071,,,,85.0605,82.583,,,,,,89.5,,89.5,82.9448,,1/1/2015
5,05,,,,,,,,,,,,,,,,,,,,103.0739,,,,,,,50,34.1659,81.071,81.071,,,,85.0605,82.583,,,,,,89.5,,89.5,82.9207,,1/1/2015
6,06,,,,,,,,,,,,,,,,,,,,103.017,,,,,,,50,34.1659,81.071,81.071,,,,85.0605,82.583,,,,,,89.5,,89.5,82.9178,,1/1/2015
7,07,,,,,,,,,,,,,,,,,,,,102.8442,,,,,,,50,34.1659,81.071,81.071,,,,85.0605,82.583,,,,,,89.5,,89.5,83.2121,,1/1/2015
8,08,,,,,,,,,,,,,,,,,,,,103.2191,,,,,,,50,34.1659,81.071,81.071,87.81,,,85.0605,82.583,,,,,,89.5,,89.5,82.9552,,1/1/2015
9,09,,,,,,,,,,,,,,,,,,,,,,,,,,,50,34.1659,81.071,81.071,87.81,,,85.0605,82.583,,,,,,89.5,,89.5,83.1308,,1/1/2015
10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,50,34.1659,81.071,81.071,87.81,,,85.0605,82.583,,,,,,89.5,,89.5,83.802,,1/1/2015
11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,50,34.1659,81.071,81.071,87.81,,,85.0605,82.583,,,,,,89.5,,89.5,82.8712,,1/1/2015
12,12,,,,,,,,,,,,,,,,,,,,,108.859,,,,,,50,34.1659,81.071,81.071,87.81,,,85.0605,82.583,,,,,,89.5,,89.5,83.4058,,1/1/2015
13,13,,,,,,,,,,,,,,,,,,,,,108.5737,,,,,,50,34.1659,81.071,81.071,87.81,,,85.0605,82.583,,,,,,89.5,,89.5,83.2853,,1/1/2015
