,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,,,,,,,,,,94.4319,,,,110.6963,,,,,,,50,34.1659,87.92,87.92,,87.92,,85.0605,82.583,,,,,,,,89.5,,89.5,93.5009,93.5402,1/3/2015
1,1,,,,,,,,,,,,,,,,94.4319,92.8097,,,110.7041,,,,,,,50,34.1659,87.92,87.92,,87.92,,85.0605,82.583,,,,,,,,89.5,,89.5,93.2557,93.5402,1/3/2015
2,2,,,,,,,,,,,,,,,,94.4319,,,,110.7681,,,,,,,50,34.1659,87.92,87.92,,87.92,,85.0605,82.583,,,,,,,,89.5,,89.5,93.4842,93.5402,1/3/2015
3,3,,,,,,,,,,,,,,,,94.4319,,,,110.7535,,,,,,,50,34.1659,87.92,87.92,,87.92,,85.0605,82.583,,,,,,,,89.5,,89.5,93.6957,93.5402,1/3/2015
4,4,,,,,,,,,,,,,,,,94.4319,,,,110.7439,,,,,,,50,34.1659,87.92,87.92,,87.92,,85.0605,82.583,,,,,,,,89.5,,89.5,93.7046,93.5402,1/3/2015
5,5,,,,,,,,,,,,,,,,94.4319,,,,110.7435,,,,,,,50,34.1659,87.92,87.92,,87.92,,85.0605,82.583,,,,,,,,89.5,,89.5,93.7667,93.5402,1/3/2015
6,6,,,,,,,,,,,,,,,,94.4319,,,,110.756,,,,,,,50,34.1659,87.92,87.92,,87.92,,85.0605,82.583,,,,,,,,89.5,,89.5,93.504,93.5402,1/3/2015
7,7,,,,,,,,,,,,,,,,94.4319,,,,110.7948,,,,,,,50,34.1659,87.92,87.92,,87.92,,85.0605,82.583,,,,,,,,89.5,,89.5,93.4746,93.4217,1/3/2015
8,8,,,,,,,,,,,,,,,,94.4319,,,,110.7721,,,,,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.5128,93.4236,1/3/2015
9,9,,,,,,,,,,,,,,,,94.4319,,,,110.8311,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.7142,93.4672,1/3/2015
10,10,,,,,,,,,,,,,,,,94.4319,,,,110.8342,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.7383,93.4544,1/3/2015
11,11,,,,,,,,,,,,,,,,94.4319,,,,110.8005,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.6906,93.4026,1/3/2015
12,12,,,,,,,,,,,,,,,,94.4319,,,,110.8121,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,92.5775,93.4587,1/3/2015
13,13,,,,,,,,,,,,,,,,94.4319,,,,110.8224,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.5098,93.3849,1/3/2015
14,14,,,,,,,,,,,,,,,,94.4319,,,,110.8263,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.6181,93.3686,1/3/2015
15,15,,,,,,,,,,,,,,,,94.4319,,,,110.8568,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.4724,93.5931,1/3/2015
16,16,,,,,,,,,,,,,,,,94.4319,,,,110.8238,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.5861,93.6164,1/3/2015
17,17,,,,,,,,,,,,,,,,94.4319,,,,110.8071,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,94.1349,92.2208,1/3/2015
18,18,,,,,,,93.6562,97.3233,,99.9565,,,,,,94.4319,,,,110.8009,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,98.32,96.965,89.5,,89.5,93.0293,90.9556,1/3/2015
19,19,,,,,,,93.0316,94.3115,,98.8413,,,,,,94.4319,,,,110.7802,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,98.32,96.965,89.5,,89.5,93.4002,91.0664,1/3/2015
20,20,,,,,,,93.1928,94.3811,,100.5363,,,,,,94.4319,,,,110.814,,,,94.43,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,98.32,96.965,89.5,,89.5,93.243,91.0016,1/3/2015
21,21,,,,,,,95.0379,96.4358,,,,,,,,94.4319,,,,110.7842,,,,,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.1048,91.0675,1/3/2015
22,22,,,,,,,,105.9629,,,,,,,,94.4319,,,,110.7823,,,,,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.3071,91.3013,1/3/2015
23,23,,,,,,,,,,,,,,,,94.4319,,,,110.8203,,,,,,,50,34.1659,87.92,87.92,,,,85.0605,82.583,,,,,,,,89.5,,89.5,93.4636,93.2583,1/3/2015
0,0,,,,,,,,,,,,,,,,93.128,,,,109.1324,,,,,,,50,34.166,91.42,91.42,,,,85.06,82.583,,,,,,,,89.5,,89.5,92.4085,91.9156,2/3/2015
1,1,,,,,,,,,,,,,,,,93.128,,,,109.1427,,,,,,,50,34.166,91.42,91.42,,,,85.06,82.583,,,,,,,,89.5,,89.5,92.4872,91.9156,2/3/2015
2,2,,,,,,,,,,,,,,,,93.128,,,,109.1506,,,,,,,50,34.166,91.42,91.42,,,,85.06,82.583,,,,,,,,89.5,,89.5,92.4575,91.9965,2/3/2015
3,3,,,,,,,,,,,,,,,,93.128,,,,109.1595,,,,,,,50,34.166,91.42,91.42,,,,85.06,82.583,,,,,,,,89.5,,89.5,92.4207,92.0195,2/3/2015
4,4,,,,,,,,,,,,,,,,93.128,,,,109.1544,,,,,,,50,34.166,91.42,91.42,,,,85.06,82.583,,,,,,,,89.5,,89.5,92.539,92.0411,2/3/2015
5,5,,,,,,,,,,,,,,,,93.128,,,,109.1704,,,,,,,50,34.166,91.42,91.42,,,,85.06,82.583,,,,,,,,89.5,,89.5,92.2854,92.0482,2/3/2015
6,6,,,,,,,,,,,,,,,,93.128,,,,109.1745,,,,,,,50,34.166,91.42,91.42,,,,85.06,82.583,,,,,,,,89.5,,89.5,92.1713,91.8834,2/3/2015
7,7,,,,,,,,96.3781,,,,,,,,93.128,,,,109.0913,,,,,,,50,34.166,91.42,91.42,,,,85.06,82.583,,,,,,,,89.5,,89.5,92.9953,90.1219,2/3/2015
