,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC20,EOL,PCHN,PNI1,PNI2,MTL,GSR,HPA1,HPA2,C.CONT,C.OPOR,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN1 y 2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,EEC,TPC,Date
0,0,,,,,,,49.4142,,,,,,,,,50.1239,,,,51.8381,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,50.56,,,,,,,94.9506,,94.9506,47.8982,45.8349,1/2/2016
1,1,,,,,,,,,,,,,,,,,,,,51.8727,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,,,,,,,94.9506,,94.9506,47.5971,45.8981,1/2/2016
2,2,,,,,,,,,,,,,,,,,,,,51.8506,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,,,94.9506,,94.9506,47.6417,45.8252,1/2/2016
3,3,,,,,,,,,,,,,,,,,,,,51.8719,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,,,94.9506,,94.9506,47.6705,45.7208,1/2/2016
4,4,,,,,,,,56.889,,,,,,,,,,,,51.8584,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,,49.66,94.9506,,94.9506,47.6661,45.8057,1/2/2016
5,5,,,,,,,49.4542,55.28,,,,90.301,,,,50.1239,,,,51.8457,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,50.583,49.66,94.9506,,94.9506,47.5005,45.6916,1/2/2016
6,6,,,,,,,48.673,,,,,90.301,,,,50.1239,,,,50.299,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,50.583,49.66,94.9506,,94.9506,47.6999,45.8794,1/2/2016
7,7,,,,,,,48.7002,,,51.8565,,,,,,50.1239,,,,50.0998,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,50.583,49.66,94.9506,,94.9506,47.6011,45.8698,1/2/2016
8,8,,,,,,,48.803,,51.9721,49.942,,,,,,50.1239,,,,50.1656,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,,,92.9479,87.6123,,50.56,,,,50.583,49.66,94.9506,,94.9506,47.496,45.8587,1/2/2016
9,9,,,,,,,48.6907,,51.9828,49.8973,,,,,,50.1239,,,,50.1632,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,,,92.9479,87.6123,,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4916,45.8502,1/2/2016
10,10,,,,,,,48.7042,,52.0578,50.0029,,,,,,50.1239,,,,50.1644,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.465,45.8418,1/2/2016
11,11,,57.0675,56.6989,,,,48.7127,,52.0541,50.0174,,,,,,50.1239,,,,50.1636,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4439,45.8387,1/2/2016
12,12,,56.0094,55.8882,,,,48.7401,,52.0454,50.055,,,,,,50.1239,,,,50.1626,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4619,45.8387,1/2/2016
13,13,,56.0702,55.8985,58.9907,59.2385,,48.7476,,52.0456,50.051,,,,,,50.1239,,,,50.1564,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.5248,45.8432,1/2/2016
14,14,,56.0884,55.9078,57.4229,58.508,,48.738,,52.0493,50.0825,,,,,,50.1239,,,,50.1493,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4846,45.8401,1/2/2016
15,15,,56.0968,55.9145,57.4355,58.7617,,48.7407,,52.0533,50.0653,,,,,,50.1239,,,,50.1544,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4696,45.8391,1/2/2016
16,16,,56.1072,56.7279,57.9023,62.3272,,48.7374,,52.0302,50.0523,,,,,,50.1239,,,,50.1518,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.467,45.8426,1/2/2016
17,17,,58.2067,,58.6654,,,48.732,,52.028,49.9377,,,,,,50.1239,,,,50.1602,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4649,45.8414,1/2/2016
18,18,,56.5739,56.7978,56.3451,,,48.7182,,51.7935,49.8233,,,,,,50.1239,,,,50.169,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,51.7,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.5032,45.8482,1/2/2016
19,19,,56.8591,59.9076,55.8705,,,48.7115,,51.745,49.818,,,,,,50.1239,,,,50.1668,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.5215,45.8667,1/2/2016
20,20,,60.106,,57.78,,,48.7016,,51.8441,49.818,,,,,,50.1239,,,,50.1648,,,,51.82,51.82,,,116.9836,114.7363,50.124,50.124,,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.6107,45.8685,1/2/2016
21,21,,,,,,,48.6986,51.0085,,50.0517,,,,,,50.1239,,,,50.428,,,,51.82,,,,116.9836,114.7363,50.124,50.124,,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.5566,45.8698,1/2/2016
22,22,,,,,,,48.6771,49.6241,,52.7113,,,,,,50.1239,,,,51.8507,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,50.56,50.56,,,,,49.66,94.9506,,94.9506,47.4484,45.8436,1/2/2016
23,23,,,,,,,48.6756,49.6273,,,,,,,,50.1239,,,,50.7643,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4472,45.8493,1/2/2016
0,0,,,,,,,48.6726,49.6245,,,,,,,,50.1239,,,,51.6473,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,50.583,49.66,94.9506,,94.9506,47.5584,45.8599,2/2/2016
1,1,,,,,,,48.6765,49.6237,,,,,,,,50.1239,,,,51.8253,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,,49.66,94.9506,,94.9506,47.4833,45.9833,2/2/2016
2,2,,,,,,,48.6742,49.6213,,,,,,,,50.1239,,,,51.8598,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,,49.66,94.9506,,94.9506,47.7189,46.0557,2/2/2016
3,3,,,,,,,48.6733,49.6223,,,,,,,,50.1239,,,,51.8831,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,,49.66,94.9506,,94.9506,47.6531,46.0426,2/2/2016
4,4,,,,,,,48.6801,49.6221,,53.0483,,,,,,50.1239,,,,51.8876,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,,49.66,94.9506,,94.9506,47.5758,46.0422,2/2/2016
5,5,,,,,,,48.6754,49.6244,,50.1626,,,,,,,,,,51.8847,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,,49.66,94.9506,,94.9506,47.8111,46.0351,2/2/2016
6,6,,,,,,,48.6679,49.616,,49.8608,,,,,,,,,,51.8729,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,,49.66,94.9506,,94.9506,47.7734,46.0885,2/2/2016
7,7,,,,,,,48.6756,49.6319,,49.886,,,,,,50.1239,,,,50.2876,,,,,,,,116.9836,114.7363,50.124,,,,,92.9479,87.6123,,50.56,,,,,49.66,94.9506,,94.9506,47.5019,46.0265,2/2/2016
8,8,,,,,,,48.6774,49.6399,51.9879,49.989,,,,,,50.1239,,,,50.1603,,,,51.82,,,,116.9836,114.7363,50.124,50.124,,51.7,,92.9479,87.6123,,50.56,,,,50.583,49.66,94.9506,,94.9506,47.5278,45.9565,2/2/2016
9,9,,,,,,,48.6885,49.6425,52.0304,49.908,,,,,,50.1239,,,,50.1584,,,,51.82,,,,116.9836,114.7363,50.124,50.124,,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.522,45.8798,2/2/2016
10,10,,,,,,,48.7052,49.6568,52.0494,49.8773,,,,,,50.1239,,,,50.1615,,,,51.82,,,,116.9836,114.7363,50.124,50.124,51.7,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4452,45.8651,2/2/2016
11,11,,,,,,,48.7113,49.6666,52.0492,49.8956,,,,,,50.1239,,,,50.1595,,,,51.82,,,,116.9836,114.7363,50.124,50.124,51.7,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4446,45.8429,2/2/2016
12,12,,,,,,,48.7149,49.7124,52.0283,49.902,,,,,,50.1239,,,,50.1596,,44.69,,51.82,,,,116.9836,114.7363,50.124,50.124,51.7,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4584,45.9925,2/2/2016
13,13,,56.758,57.0151,57.383,,,48.7279,49.7785,52.0293,49.9024,,,,,,50.1239,,,,50.1587,,,,51.82,,,,116.9836,114.7363,50.124,50.124,51.7,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4544,46.0141,2/2/2016
14,14,,55.9395,55.9087,55.8958,60.0607,,48.7422,49.7827,52.0365,50.0065,,,,,,50.1239,,,,50.1588,,,,51.82,,,,116.9836,114.7363,50.124,50.124,51.7,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4658,45.9314,2/2/2016
15,15,,55.9854,55.9164,55.8773,59.8837,,48.7389,49.7909,52.0352,49.8977,,,,,,50.1239,,,,50.1572,,44.69,,51.82,,,,116.9836,114.7363,50.124,50.124,51.7,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4641,45.8616,2/2/2016
16,16,,56.4707,57.0465,55.8809,,,48.7358,49.7868,52.0302,49.8033,,,,,,50.1239,,,,50.1592,,44.69,,51.82,,,,116.9836,114.7363,50.124,50.124,51.7,51.7,,92.9479,87.6123,50.56,50.56,,,,50.583,49.66,94.9506,,94.9506,47.4809,45.8546,2/2/2016
