,APANAS,ASTURIAS,HIDROPANTASMA,VIRGEN,HORA,Date
0,954.63,928.27,841.86,440,0,1/10/2013
1,954.63,928.26,841.85,440,1,1/10/2013
2,954.63,928.25,841.84,440,2,1/10/2013
3,954.63,928.24,841.82,440,3,1/10/2013
4,954.63,928.23,841.8,440,4,1/10/2013
5,954.63,928.22,841.78,440,5,1/10/2013
6,954.63,928.21,841.77,440,6,1/10/2013
7,954.63,928.2,841.76,440,7,1/10/2013
8,954.63,928.2,841.71,440,8,1/10/2013
9,954.63,928.2,841.73,440,9,1/10/2013
10,954.63,928.2,841.72,440,10,1/10/2013
11,954.63,928.2,841.72,440,11,1/10/2013
12,954.63,928.2,841.69,440,12,1/10/2013
13,954.63,928.2,841.67,440,13,1/10/2013
14,954.63,928.2,841.65,440,14,1/10/2013
15,954.63,928.2,841.63,440,15,1/10/2013
16,954.63,928.2,841.63,440,16,1/10/2013
17,954.63,928.2,841.59,440,17,1/10/2013
18,954.63,928.2,841.58,440,18,1/10/2013
19,954.63,928.2,841.56,440,19,1/10/2013
20,954.63,928.21,841.54,440,20,1/10/2013
21,954.63,928.21,841.52,440,21,1/10/2013
22,954.63,928.21,841.5,440,22,1/10/2013
23,954.63,928.21,841.5,440,23,1/10/2013
24,954.63,928.2,841.5,440,0,2/10/2013
25,954.63,928.19,841.51,440,1,2/10/2013
26,954.63,928.18,841.51,440,2,2/10/2013
27,954.63,928.17,841.51,440,3,2/10/2013
28,954.63,928.16,841.51,440,4,2/10/2013
29,954.63,928.15,841.52,440,5,2/10/2013
30,954.63,928.15,841.52,440,6,2/10/2013
31,954.63,928.14,841.52,440,7,2/10/2013
32,954.62,928.14,841.53,440,8,2/10/2013
33,954.63,928.14,841.53,440,9,2/10/2013
34,954.63,928.14,841.53,440,10,2/10/2013
35,954.63,928.14,841.53,440,11,2/10/2013
36,954.63,928.16,841.53,440,12,2/10/2013
37,954.63,928.16,841.54,440,13,2/10/2013
38,954.63,928.16,841.55,440,14,2/10/2013
39,954.63,928.17,841.55,440,15,2/10/2013
40,954.63,928.17,841.55,440,16,2/10/2013
