,APANAS,ASTURIAS,VIRGEN,HORA,Date
0,953.54,926.24,439.77,0,1/4/2013
1,953.54,926.24,439.78,1,1/4/2013
2,953.54,926.24,439.8,2,1/4/2013
3,953.54,926.24,439.8,3,1/4/2013
4,953.54,926.24,439.8,4,1/4/2013
5,953.54,926.24,439.8,5,1/4/2013
6,953.54,926.24,439.8,6,1/4/2013
7,953.54,926.24,439.82,7,1/4/2013
8,953.54,926.24,439.82,8,1/4/2013
9,953.54,926.24,439.82,9,1/4/2013
10,953.54,926.24,439.82,10,1/4/2013
11,953.54,926.24,439.81,11,1/4/2013
12,953.54,926.24,439.8,12,1/4/2013
13,953.54,926.24,439.79,13,1/4/2013
14,953.54,926.24,439.78,14,1/4/2013
15,953.53,926.24,439.77,15,1/4/2013
16,953.53,926.24,439.76,16,1/4/2013
17,953.53,926.24,439.76,17,1/4/2013
18,953.53,926.25,439.75,18,1/4/2013
19,953.53,926.25,439.75,19,1/4/2013
20,953.53,926.25,439.75,20,1/4/2013
21,953.53,926.25,439.74,21,1/4/2013
22,953.53,926.25,439.74,22,1/4/2013
23,953.53,926.25,439.74,23,1/4/2013
24,953.52,926.25,439.74,0,2/4/2013
25,953.52,926.25,439.74,1,2/4/2013
26,953.52,926.25,439.75,2,2/4/2013
27,953.52,926.25,439.76,3,2/4/2013
28,953.52,926.25,439.77,4,2/4/2013
29,953.52,926.25,439.78,5,2/4/2013
30,953.52,926.25,439.79,6,2/4/2013
31,953.52,926.25,439.79,7,2/4/2013
32,953.52,926.25,439.8,8,2/4/2013
33,953.52,926.25,439.8,9,2/4/2013
34,953.52,926.25,439.8,10,2/4/2013
35,953.52,926.25,439.79,11,2/4/2013
36,953.51,926.26,439.78,12,2/4/2013
37,953.51,926.26,439.78,13,2/4/2013
38,953.51,926.26,439.78,14,2/4/2013
39,953.51,926.26,439.77,15,2/4/2013
40,953.51,926.26,439.76,16,2/4/2013
41,953.5,926.26,439.75,17,2/4/2013
42,953.5,926.26,439.74,18,2/4/2013
43,953.5,926.26,439.74,19,2/4/2013
44,953.5,926.26,439.73,20,2/4/2013
45,953.5,926.26,439.73,21,2/4/2013
46,953.5,926.26,439.72,22,2/4/2013
47,953.5,926.26,439.72,23,2/4/2013
48,953.5,926.26,439.72,0,3/4/2013
49,953.5,926.26,439.73,1,3/4/2013
50,953.5,926.26,439.73,2,3/4/2013
51,953.5,926.26,439.74,3,3/4/2013
52,953.5,926.26,439.76,4,3/4/2013
53,953.5,926.26,439.77,5,3/4/2013
54,953.5,926.26,439.78,6,3/4/2013
55,953.5,926.26,439.79,7,3/4/2013
56,953.49,926.26,439.8,8,3/4/2013
57,953.49,926.26,439.79,9,3/4/2013
58,953.49,926.26,439.79,10,3/4/2013
59,953.49,926.26,439.79,11,3/4/2013
60,953.49,926.26,439.78,12,3/4/2013
61,953.49,926.26,439.78,13,3/4/2013
62,953.48,926.27,439.78,14,3/4/2013
63,953.48,926.27,439.77,15,3/4/2013
64,953.48,926.27,439.77,16,3/4/2013
65,953.48,926.27,439.77,17,3/4/2013
66,953.48,926.27,439.77,18,3/4/2013
67,953.48,926.27,439.77,19,3/4/2013
68,953.48,926.27,439.77,20,3/4/2013
69,953.48,926.27,439.76,21,3/4/2013
70,953.48,926.27,439.76,22,3/4/2013
71,953.48,926.27,439.76,23,3/4/2013
72,953.48,926.27,439.77,0,4/4/2013
73,953.48,926.27,439.79,1,4/4/2013
74,953.48,926.27,439.8,2,4/4/2013
75,953.48,926.27,439.81,3,4/4/2013
76,953.48,926.27,439.82,4,4/4/2013
77,953.48,926.27,439.82,5,4/4/2013
78,953.48,926.27,439.82,6,4/4/2013
79,953.48,926.27,439.81,7,4/4/2013
80,953.47,926.27,439.81,8,4/4/2013
81,953.47,926.27,439.8,9,4/4/2013
82,953.47,926.27,439.8,10,4/4/2013
83,953.47,926.27,439.8,11,4/4/2013
84,953.47,926.27,439.8,12,4/4/2013
85,953.47,926.27,439.79,13,4/4/2013
86,953.46,926.28,439.78,14,4/4/2013
87,953.46,926.28,439.77,15,4/4/2013
88,953.46,926.28,439.76,16,4/4/2013
89,953.45,926.28,439.75,17,4/4/2013
90,953.45,926.28,439.75,18,4/4/2013
91,953.45,926.28,439.75,19,4/4/2013
92,953.45,926.28,439.75,20,4/4/2013
93,953.45,926.28,439.74,21,4/4/2013
94,953.45,926.28,439.74,22,4/4/2013
95,953.45,926.28,439.74,23,4/4/2013
96,953.45,926.28,439.75,0,5/4/2013
97,953.45,926.28,439.77,1,5/4/2013
98,953.45,926.28,439.78,2,5/4/2013
99,953.45,926.28,439.79,3,5/4/2013
100,953.45,926.28,439.8,4,5/4/2013
101,953.45,926.28,439.81,5,5/4/2013
102,953.45,926.29,439.82,6,5/4/2013
103,953.45,926.29,439.82,7,5/4/2013
104,953.45,926.29,439.82,8,5/4/2013
105,953.45,926.29,439.83,9,5/4/2013
106,953.45,926.29,439.83,10,5/4/2013
107,953.45,926.29,439.82,11,5/4/2013
108,953.44,926.29,439.82,12,5/4/2013
109,953.44,926.29,439.81,13,5/4/2013
110,953.44,926.29,439.81,14,5/4/2013
111,953.44,926.29,439.8,15,5/4/2013
112,953.44,926.29,439.79,16,5/4/2013
113,953.44,926.29,439.79,17,5/4/2013
114,953.43,926.92,439.79,18,5/4/2013
115,953.43,926.92,439.79,19,5/4/2013
116,953.43,926.92,439.8,20,5/4/2013
117,953.43,926.29,439.8,21,5/4/2013
118,953.43,926.29,439.8,22,5/4/2013
119,953.43,926.3,439.8,23,5/4/2013
120,953.43,926.3,439.81,0,6/4/2013
121,953.43,926.3,439.82,1,6/4/2013
