,APANAS,ASTURIAS,VIRGEN,HIDROPANTASMA,HORA,Date
0,953.46,926.37,439.67,,0,1/8/2013
1,953.46,926.36,439.68,,1,1/8/2013
2,953.46,926.35,439.69,,2,1/8/2013
3,953.46,926.34,439.7,,3,1/8/2013
4,953.46,926.33,439.73,,4,1/8/2013
5,953.46,926.31,439.75,,5,1/8/2013
6,953.46,926.3,439.76,,6,1/8/2013
7,953.46,926.29,439.77,,7,1/8/2013
8,953.46,926.29,439.78,,8,1/8/2013
9,953.45,926.29,439.77,,9,1/8/2013
10,953.45,926.29,439.77,,10,1/8/2013
11,953.45,926.29,439.75,,11,1/8/2013
12,953.45,926.29,439.75,,12,1/8/2013
13,953.45,926.29,439.73,,13,1/8/2013
14,953.45,926.29,439.7,,14,1/8/2013
15,953.45,926.29,439.68,,15,1/8/2013
16,953.45,926.29,439.67,,16,1/8/2013
17,953.46,926.3,439.66,,17,1/8/2013
18,953.46,926.3,439.63,,18,1/8/2013
19,953.46,926.3,439.62,,19,1/8/2013
20,953.46,926.3,439.61,,20,1/8/2013
21,953.46,926.3,439.6,,21,1/8/2013
22,953.46,926.3,439.59,,22,1/8/2013
23,953.46,926.3,439.58,,23,1/8/2013
0,953.46,926.3,439.58,,0,2/8/2013
1,953.46,926.29,439.59,,1,2/8/2013
2,953.46,926.28,439.6,,2,2/8/2013
3,953.46,926.27,439.62,,3,2/8/2013
4,953.46,926.26,439.63,,4,2/8/2013
5,953.46,926.25,439.65,,5,2/8/2013
6,953.46,926.23,439.66,,6,2/8/2013
7,953.46,926.23,439.67,,7,2/8/2013
8,953.46,926.23,439.67,,8,2/8/2013
9,953.46,926.23,439.68,,9,2/8/2013
10,953.46,926.23,439.69,,10,2/8/2013
11,953.46,926.23,439.69,,11,2/8/2013
12,953.45,926.24,439.68,,12,2/8/2013
13,953.45,926.24,439.67,,13,2/8/2013
14,953.45,926.24,439.65,,14,2/8/2013
15,953.45,926.24,439.64,,15,2/8/2013
16,953.45,926.25,439.63,,16,2/8/2013
17,953.45,926.25,439.62,,17,2/8/2013
18,953.45,926.25,439.62,,18,2/8/2013
19,953.45,926.25,439.62,,19,2/8/2013
20,953.45,926.25,439.62,,20,2/8/2013
21,953.45,926.26,439.62,,21,2/8/2013
22,953.45,926.26,439.62,,22,2/8/2013
23,953.45,926.26,439.63,,23,2/8/2013
0,953.45,926.26,439.64,,0,3/8/2013
1,953.45,926.24,439.65,,1,3/8/2013
2,953.45,926.23,439.66,,2,3/8/2013
3,953.45,926.22,439.67,,3,3/8/2013
4,953.45,926.21,439.68,,4,3/8/2013
5,953.45,926.2,439.68,,5,3/8/2013
6,953.45,926.19,439.69,,6,3/8/2013
7,953.45,926.19,439.69,,7,3/8/2013
8,953.45,926.2,439.7,,8,3/8/2013
9,953.45,926.2,439.7,,9,3/8/2013
10,953.45,926.22,439.71,,10,3/8/2013
11,953.45,926.22,439.7,,11,3/8/2013
12,953.45,926.22,439.69,,12,3/8/2013
13,953.45,926.23,439.68,,13,3/8/2013
14,953.45,926.23,439.67,,14,3/8/2013
15,953.45,926.24,439.66,,15,3/8/2013
16,953.45,926.26,439.65,,16,3/8/2013
17,953.45,926.27,439.64,,17,3/8/2013
18,953.45,926.27,439.64,,18,3/8/2013
19,953.45,926.27,439.62,,19,3/8/2013
20,953.45,926.27,439.62,,20,3/8/2013
21,953.45,926.27,439.63,,21,3/8/2013
22,953.45,926.27,439.63,,22,3/8/2013
23,953.45,926.27,439.65,,23,3/8/2013
0,953.45,926.27,439.67,,0,4/8/2013
1,953.45,926.26,439.69,,1,4/8/2013
2,953.45,926.25,439.7,,2,4/8/2013
3,953.45,926.24,439.71,,3,4/8/2013
4,953.45,926.24,439.73,,4,4/8/2013
5,953.45,926.23,439.75,,5,4/8/2013
6,953.45,926.23,439.77,,6,4/8/2013
7,953.45,926.22,439.78,,7,4/8/2013
8,953.45,926.21,439.78,,8,4/8/2013
9,953.45,926.2,439.79,,9,4/8/2013
10,953.45,926.19,439.8,,10,4/8/2013
11,953.45,926.18,439.81,,11,4/8/2013
12,953.45,926.17,439.82,,12,4/8/2013
13,953.45,926.17,439.81,,13,4/8/2013
14,953.45,926.16,439.81,,14,4/8/2013
15,953.46,926.16,439.8,,15,4/8/2013
16,953.46,926.14,439.79,,16,4/8/2013
17,953.46,926.13,439.78,,17,4/8/2013
18,953.46,926.12,439.77,,18,4/8/2013
19,953.46,926.11,439.75,,19,4/8/2013
20,953.47,926.1,439.73,,20,4/8/2013
21,953.47,926.1,439.72,,21,4/8/2013
22,953.47,926.1,439.72,,22,4/8/2013
23,953.48,926.11,439.72,,23,4/8/2013
0,953.48,926.12,439.72,,0,5/8/2013
1,953.48,926.12,439.72,,1,5/8/2013
2,953.48,926.12,439.73,,2,5/8/2013
3,953.48,926.13,439.75,,3,5/8/2013
4,953.48,926.13,439.75,,4,5/8/2013
5,953.48,926.13,439.77,,5,5/8/2013
6,953.48,926.14,439.78,,6,5/8/2013
7,953.48,926.14,439.79,,7,5/8/2013
8,953.48,926.14,439.79,,8,5/8/2013
9,953.48,926.14,439.79,,9,5/8/2013
10,953.49,926.14,439.78,,10,5/8/2013
11,953.49,926.18,439.76,,11,5/8/2013
12,953.5,926.2,439.74,,12,5/8/2013
13,953.5,926.21,439.71,,13,5/8/2013
14,953.5,926.23,439.71,,14,5/8/2013
15,953.5,926.25,439.69,,15,5/8/2013
16,953.5,926.26,439.67,,16,5/8/2013
17,953.51,926.27,439.66,,17,5/8/2013
18,953.51,926.29,439.65,,18,5/8/2013
19,953.51,926.3,439.64,,19,5/8/2013
20,953.52,926.31,439.63,,20,5/8/2013
21,953.52,926.31,439.61,,21,5/8/2013
22,953.52,926.33,439.61,,22,5/8/2013
23,953.53,926.34,439.62,,23,5/8/2013
0,953.53,926.34,439.64,,0,6/8/2013
1,953.53,926.33,439.66,,1,6/8/2013
2,953.54,926.33,439.68,,2,6/8/2013
3,953.54,926.33,439.7,,3,6/8/2013
4,953.54,926.32,439.72,,4,6/8/2013
5,953.55,926.32,439.74,,5,6/8/2013
6,953.55,926.32,439.75,,6,6/8/2013
7,953.56,926.33,439.77,,7,6/8/2013
8,953.56,926.33,439.79,,8,6/8/2013
9,953.56,926.33,439.79,,9,6/8/2013
10,953.56,926.33,439.79,,10,6/8/2013
11,953.56,926.33,439.77,,11,6/8/2013
12,953.55,926.35,439.75,,12,6/8/2013
13,953.55,926.35,439.74,,13,6/8/2013
14,953.55,926.35,439.72,,14,6/8/2013
15,953.55,926.37,439.7,,15,6/8/2013
16,953.55,926.37,439.68,,16,6/8/2013
17,953.55,926.38,439.65,,17,6/8/2013
18,953.55,926.39,439.64,,18,6/8/2013
19,953.55,926.39,439.63,,19,6/8/2013
20,953.55,926.4,439.61,,20,6/8/2013
21,953.55,926.4,439.59,,21,6/8/2013
22,953.55,926.41,439.58,,22,6/8/2013
23,953.55,926.42,439.59,,23,6/8/2013
0,953.55,926.43,439.61,,0,7/8/2013
1,953.55,926.43,439.63,,1,7/8/2013
2,953.55,926.42,439.65,,2,7/8/2013
3,953.55,926.41,439.67,,3,7/8/2013
4,953.55,926.4,439.69,,4,7/8/2013
5,953.55,926.39,439.71,,5,7/8/2013
6,953.55,926.39,439.73,,6,7/8/2013
7,953.55,926.39,439.74,,7,7/8/2013
8,953.55,926.39,439.76,,8,7/8/2013
9,953.55,926.4,439.77,,9,7/8/2013
10,953.55,926.4,439.76,,10,7/8/2013
11,953.55,926.41,439.76,,11,7/8/2013
12,953.55,926.41,439.76,,12,7/8/2013
13,953.55,926.41,439.74,,13,7/8/2013
14,953.55,926.41,439.73,,14,7/8/2013
15,953.55,926.42,439.72,,15,7/8/2013
