,APANAS,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
0,953.5,925.41,841.435,681.806,439.69,0,1/10/2015
1,953.5,925.41,841.45,681.806,439.7,1,1/10/2015
2,953.5,925.41,841.467,681.806,439.7,2,1/10/2015
3,953.5,925.41,841.48,681.806,439.7,3,1/10/2015
4,953.5,925.41,841.49,681.806,439.7,4,1/10/2015
5,953.5,925.41,841.51,681.806,439.7,5,1/10/2015
6,953.5,925.42,841.53,682.115,439.7,6,1/10/2015
7,953.5,925.43,841.548,682.1,439.69,7,1/10/2015
8,953.5,925.43,841.563,682.1,439.7,8,1/10/2015
9,953.5,925.43,841.538,682.1,439.7,9,1/10/2015
10,953.5,925.44,841.513,682.437,439.7,10,1/10/2015
11,953.5,925.47,841.489,682.765,439.69,11,1/10/2015
12,953.5,925.44,841.464,682.725,439.69,12,1/10/2015
13,953.5,925.44,841.44,682.671,439.69,13,1/10/2015
14,953.5,925.44,841.414,682.618,439.69,14,1/10/2015
15,953.5,925.45,841.388,682.554,439.69,15,1/10/2015
16,953.5,925.45,841.36,682.506,439.69,16,1/10/2015
17,953.5,925.45,841.337,682.44,439.69,17,1/10/2015
18,953.5,925.45,841.313,682.43,439.7,18,1/10/2015
19,953.5,925.45,841.285,682.383,439.7,19,1/10/2015
20,953.5,925.45,841.257,682.286,439.7,20,1/10/2015
21,953.5,925.45,841.272,682.057,439.7,21,1/10/2015
22,953.5,925.45,841.28,681.775,439.7,22,1/10/2015
23,953.5,925.45,841.2,681.775,439.69,23,1/10/2015
24,953.5,925.45,841.196,681.775,439.7,0,2/10/2015
25,953.5,925.45,841.337,681.775,439.7,1,2/10/2015
26,953.5,925.45,841.351,681.775,439.7,2,2/10/2015
27,953.5,925.43,841.36,681.771,439.7,3,2/10/2015
28,953.5,925.42,841.38,681.771,439.7,4,2/10/2015
29,953.5,925.41,841.4,681.771,439.7,5,2/10/2015
30,953.5,925.39,841.418,681.771,439.7,6,2/10/2015
31,953.5,925.39,841.435,681.771,439.71,7,2/10/2015
32,953.5,925.39,841.449,681.784,439.71,8,2/10/2015
33,953.5,925.39,841.464,681.784,439.71,9,2/10/2015
34,953.5,925.39,841.441,681.969,439.71,10,2/10/2015
35,953.5,925.39,841.413,682.039,439.71,11,2/10/2015
36,953.5,925.39,841.388,682.364,439.71,12,2/10/2015
37,953.5,925.39,841.362,682.552,439.71,13,2/10/2015
38,953.5,925.39,841.337,682.615,439.71,14,2/10/2015
39,953.51,925.41,841.307,682.725,439.71,15,2/10/2015
40,953.51,925.41,841.287,682.787,439.71,16,2/10/2015
41,953.51,925.41,841.257,682.55,439.71,17,2/10/2015
42,953.51,925.41,841.232,682.131,439.71,18,2/10/2015
43,953.51,925.41,841.204,681.791,439.71,19,2/10/2015
44,953.51,925.42,841.176,681.712,439.71,20,2/10/2015
45,953.51,925.42,841.192,681.632,439.71,21,2/10/2015
46,953.51,925.42,841.212,681.632,439.71,22,2/10/2015
47,953.52,925.43,841.228,681.716,439.71,23,2/10/2015
48,953.52,925.44,841.245,681.716,439.71,0,3/10/2015
49,953.52,925.45,841.263,681.706,439.71,1,3/10/2015
50,953.52,925.45,841.284,681.709,439.71,2,3/10/2015
51,953.52,925.44,841.303,681.709,439.72,3,3/10/2015
52,953.52,925.44,841.328,681.706,439.72,4,3/10/2015
53,953.52,925.43,841.348,681.706,439.72,5,3/10/2015
54,953.53,925.42,841.368,681.706,439.72,6,3/10/2015
55,953.53,925.41,841.389,681.706,439.72,7,3/10/2015
56,953.53,925.41,841.408,681.701,439.72,8,3/10/2015
57,953.53,925.41,841.426,681.816,439.72,9,3/10/2015
58,953.53,925.41,841.443,682.256,439.72,10,3/10/2015
59,953.53,925.41,841.458,682.48,439.72,11,3/10/2015
60,953.53,925.41,841.476,682.758,439.72,12,3/10/2015
61,953.53,925.41,841.452,682.89,439.72,13,3/10/2015
62,953.53,925.41,841.424,682.812,439.72,14,3/10/2015
63,953.53,925.41,841.402,682.364,439.72,15,3/10/2015
64,953.53,925.42,841.376,681.877,439.72,16,3/10/2015
65,953.53,925.42,841.35,681.784,439.72,17,3/10/2015
66,953.53,925.42,841.327,681.817,439.72,18,3/10/2015
67,953.53,925.42,841.302,682.176,439.72,19,3/10/2015
68,953.54,925.42,841.278,682.506,439.72,20,3/10/2015
69,953.54,925.44,841.263,682.803,439.72,21,3/10/2015
70,953.54,925.44,841.268,682.61,439.72,22,3/10/2015
71,953.54,925.44,841.303,682.14,439.72,23,3/10/2015
72,953.54,925.44,841.342,681.673,439.72,0,4/10/2015
73,953.54,925.44,841.374,681.625,439.72,1,4/10/2015
74,953.54,925.44,841.406,681.609,439.72,2,4/10/2015
75,953.54,925.43,841.434,681.61,439.72,3,4/10/2015
76,953.54,925.42,841.458,681.61,439.72,4,4/10/2015
77,953.54,925.41,841.486,681.61,439.73,5,4/10/2015
78,953.54,925.4,841.509,681.61,439.73,6,4/10/2015
79,953.54,925.4,841.53,681.61,439.73,7,4/10/2015
80,953.54,925.4,841.55,681.61,439.73,8,4/10/2015
81,953.54,925.4,841.57,681.61,439.73,9,4/10/2015
82,953.54,925.4,841.592,681.603,439.73,10,4/10/2015
83,953.55,925.4,841.57,681.611,439.73,11,4/10/2015
84,953.55,925.41,841.551,681.91,439.73,12,4/10/2015
85,953.55,925.41,841.52,682.269,439.73,13,4/10/2015
86,953.55,925.41,841.5,682.487,439.73,14,4/10/2015
87,953.55,925.41,841.486,682.472,439.73,15,4/10/2015
88,953.55,925.43,841.47,682.472,439.73,16,4/10/2015
89,953.56,925.45,841.449,682.472,439.73,17,4/10/2015
90,953.56,925.46,841.43,682.629,439.73,18,4/10/2015
91,953.56,925.46,841.406,682.443,439.74,19,4/10/2015
92,953.56,925.47,841.386,682.318,439.74,20,4/10/2015
93,953.56,925.47,841.399,681.963,439.74,21,4/10/2015
94,953.56,925.47,841.418,681.669,439.75,22,4/10/2015
95,953.56,925.48,841.438,681.669,439.75,23,4/10/2015
96,953.56,925.48,841.458,681.669,439.75,0,5/10/2015
97,953.56,925.47,841.477,681.669,439.75,1,5/10/2015
98,953.56,925.46,841.495,681.669,439.75,2,5/10/2015
99,953.56,925.45,841.515,681.669,439.76,3,5/10/2015
100,953.56,925.44,841.534,681.652,439.76,4,5/10/2015
101,953.56,925.43,841.552,681.668,439.76,5,5/10/2015
102,953.56,925.42,841.57,681.652,439.76,6,5/10/2015
103,953.56,925.42,841.588,681.652,439.76,7,5/10/2015
104,953.56,925.42,841.606,681.652,439.76,8,5/10/2015
105,953.56,925.43,841.622,682.035,439.76,9,5/10/2015
106,953.57,925.43,841.638,682.035,439.76,10,5/10/2015
107,953.57,925.44,841.615,682.019,439.76,11,5/10/2015
108,953.57,925.44,841.592,682.471,439.76,12,5/10/2015
109,953.57,925.44,841.57,682.509,439.76,13,5/10/2015
110,953.57,925.45,841.545,682.936,439.76,14,5/10/2015
111,953.57,925.45,841.522,682.841,439.76,15,5/10/2015
112,953.58,925.46,841.496,682.802,439.76,16,5/10/2015
113,953.58,925.46,841.48,682.821,439.76,17,5/10/2015
114,953.58,925.46,841.461,682.735,439.76,18,5/10/2015
115,953.58,925.46,841.455,682.782,439.76,19,5/10/2015
116,953.58,925.46,841.461,682.57,439.76,20,5/10/2015
117,953.58,925.46,841.471,682.57,439.76,21,5/10/2015
118,953.58,925.47,841.482,682.57,439.76,22,5/10/2015
119,953.58,925.47,841.492,682.57,439.76,23,5/10/2015
120,953.58,925.47,841.492,682.57,439.76,0,6/10/2015
121,953.58,925.46,841.522,682.57,439.76,1,6/10/2015
122,953.58,925.45,841.556,682.57,439.76,2,6/10/2015
123,953.58,925.44,841.586,682.57,439.76,3,6/10/2015
124,953.58,925.43,841.614,682.57,439.76,4,6/10/2015
125,953.58,925.42,841.638,682.57,439.76,5,6/10/2015
126,953.58,925.41,841.663,682.555,439.76,6,6/10/2015
127,953.58,925.41,841.687,682.555,439.76,7,6/10/2015
128,953.58,925.41,841.712,682.554,439.76,8,6/10/2015
129,953.58,925.41,841.697,682.555,439.75,9,6/10/2015
130,953.58,925.41,841.68,682.555,439.75,10,6/10/2015
131,953.58,925.41,841.662,682.975,439.75,11,6/10/2015
132,953.58,925.42,841.645,682.812,439.74,12,6/10/2015
133,953.58,925.42,841.629,682.876,439.73,13,6/10/2015
134,953.58,925.43,841.609,682.909,439.73,14,6/10/2015
135,953.58,925.43,841.592,682.793,439.73,15,6/10/2015
136,953.58,925.43,841.59,682.751,439.71,16,6/10/2015
137,953.58,925.43,841.55,682.799,439.71,17,6/10/2015
138,953.58,925.43,841.53,682.802,439.71,18,6/10/2015
139,953.58,925.43,841.51,682.83,439.7,19,6/10/2015
140,953.58,925.43,841.49,682.764,438.7,20,6/10/2015
141,953.58,925.43,841.469,682.725,438.7,21,6/10/2015
142,953.58,925.44,841.447,682.509,439.71,22,6/10/2015
143,953.58,925.44,841.464,682.509,439.71,23,6/10/2015
144,953.58,925.45,841.483,682.524,439.71,0,7/10/2015
145,953.58,925.44,841.504,682.524,439.71,1,7/10/2015
146,953.58,925.43,841.522,682.557,439.71,2,7/10/2015
147,953.58,925.42,841.539,682.611,439.71,3,7/10/2015
148,953.58,925.4,841.559,682.611,439.71,4,7/10/2015
149,953.58,925.39,841.579,682.667,439.71,5,7/10/2015
150,953.58,925.39,841.596,682.74,439.71,6,7/10/2015
151,953.58,925.39,841.616,682.499,439.71,7,7/10/2015
152,953.58,925.39,841.633,682.499,439.7,8,7/10/2015
153,953.58,925.39,841.614,682.51,439.7,9,7/10/2015
154,953.58,925.39,841.592,682.777,439.7,10,7/10/2015
155,953.58,925.39,841.567,682.963,439.7,11,7/10/2015
156,953.58,925.39,841.548,682.794,439.68,12,7/10/2015
157,953.58,925.39,841.522,682.773,439.68,13,7/10/2015
158,953.58,925.39,841.499,682.759,439.68,14,7/10/2015
159,953.58,925.4,841.47,682.692,439.68,15,7/10/2015
160,953.58,925.4,841.453,682.659,439.68,16,7/10/2015
161,953.58,925.4,841.43,682.73,439.68,17,7/10/2015
162,953.58,925.4,841.4,682.906,439.68,18,7/10/2015
163,953.58,925.4,841.37,682.788,439.68,19,7/10/2015
164,953.58,925.41,841.353,682.648,439.68,20,7/10/2015
165,953.58,925.41,841.37,682.597,439.68,21,7/10/2015
166,953.58,925.41,841.386,682.597,439.69,22,7/10/2015
167,953.58,925.41,841.405,682.597,439.69,23,7/10/2015
168,953.58,925.41,841.423,682.656,439.69,0,8/10/2015
169,953.58,925.4,841.44,682.66,439.69,1,8/10/2015
170,953.58,925.39,841.457,682.741,439.69,2,8/10/2015
171,953.58,925.37,841.477,682.847,439.69,3,8/10/2015
172,953.58,925.36,841.49,682.613,439.69,4,8/10/2015
173,953.58,925.36,841.507,682.424,439.69,5,8/10/2015
174,953.58,925.36,841.523,682.424,439.69,6,8/10/2015
175,953.58,925.36,841.541,682.422,439.69,7,8/10/2015
176,953.58,925.36,841.558,682.422,439.69,8,8/10/2015
177,953.58,925.36,841.535,682.422,439.68,9,8/10/2015
178,953.58,925.36,841.511,682.416,439.68,10,8/10/2015
179,953.58,925.37,841.486,682.627,439.67,11,8/10/2015
180,953.58,925.37,841.463,682.865,439.67,12,8/10/2015
181,953.58,925.37,841.438,682.701,439.67,13,8/10/2015
182,953.58,925.37,841.412,682.672,439.67,14,8/10/2015
183,953.58,925.37,841.388,682.618,439.67,15,8/10/2015
184,953.58,925.37,841.36,682.556,439.67,16,8/10/2015
185,953.58,925.37,841.336,682.492,439.67,17,8/10/2015
186,953.58,925.37,841.309,682.285,439.67,18,8/10/2015
187,953.58,925.37,841.285,682.337,439.66,19,8/10/2015
188,953.58,925.37,841.257,682.145,439.66,20,8/10/2015
189,953.58,925.37,841.269,682.081,439.66,21,8/10/2015
190,953.58,925.37,841.28,681.846,439.66,22,8/10/2015
191,953.58,925.38,841.3,681.804,439.66,23,8/10/2015
192,953.58,925.38,841.32,681.796,439.66,0,9/10/2015
193,953.58,925.39,841.338,681.812,439.66,1,9/10/2015
194,953.58,925.39,841.35,681.812,439.66,2,9/10/2015
195,953.58,925.4,841.37,681.808,439.66,3,9/10/2015
196,953.58,925.4,841.39,681.808,439.66,4,9/10/2015
