,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,HORA,Date
0,925.66,841.5,438.85,954.88,0,1/3/2015
1,925.65,841.51,438.85,954.88,1,1/3/2015
2,925.64,841.53,438.85,954.88,2,1/3/2015
3,925.63,841.55,438.85,954.88,3,1/3/2015
4,925.62,841.56,438.84,954.88,4,1/3/2015
5,925.61,841.57,438.84,954.88,5,1/3/2015
6,925.59,841.59,438.83,954.88,6,1/3/2015
7,925.58,841.6,438.84,954.88,7,1/3/2015
8,925.58,841.62,438.84,954.88,8,1/3/2015
9,925.58,841.637,438.87,954.88,9,1/3/2015
10,925.58,841.652,438.88,954.88,10,1/3/2015
11,925.58,841.62,438.89,954.87,11,1/3/2015
12,925.58,841.6,438.9,954.87,12,1/3/2015
13,925.58,841.57,438.91,954.87,13,1/3/2015
14,925.58,841.55,438.92,954.87,14,1/3/2015
15,925.58,841.52,438.92,954.86,15,1/3/2015
16,925.58,841.504,438.93,954.86,16,1/3/2015
17,925.58,841.477,438.94,954.86,17,1/3/2015
18,925.58,841.452,438.94,954.86,18,1/3/2015
19,925.58,841.425,438.95,954.86,19,1/3/2015
20,925.58,841.399,438.97,954.86,20,1/3/2015
21,925.58,841.412,438.99,954.86,21,1/3/2015
22,925.58,841.425,439,954.86,22,1/3/2015
23,925.58,841.442,439.01,954.86,23,1/3/2015
24,925.56,841.46,439.03,954.86,0,2/3/2015
25,925.55,841.477,439.04,954.86,1,2/3/2015
26,925.54,841.49,439.05,954.86,2,2/3/2015
27,925.54,841.507,439.07,954.86,3,2/3/2015
28,925.54,841.52,439.08,954.86,4,2/3/2015
29,925.54,841.54,439.1,954.86,5,2/3/2015
30,925.54,841.56,439.11,954.86,6,2/3/2015
31,925.54,841.575,439.12,954.86,7,2/3/2015
32,925.54,841.593,439.13,954.86,8,2/3/2015
33,925.54,841.608,439.14,954.86,9,2/3/2015
34,925.54,841.625,439.15,954.86,10,2/3/2015
35,925.54,841.644,439.16,954.86,11,2/3/2015
36,925.54,841.628,439.17,954.85,12,2/3/2015
37,925.54,841.606,439.17,954.85,13,2/3/2015
38,925.55,841.585,439.18,954.85,14,2/3/2015
39,925.55,841.55,439.18,954.85,15,2/3/2015
40,925.55,841.53,439.18,954.85,16,2/3/2015
41,925.55,841.51,439.19,954.85,17,2/3/2015
42,925.55,841.49,439.2,954.85,18,2/3/2015
43,925.55,841.47,439.21,954.85,19,2/3/2015
44,925.55,841.45,439.22,954.85,20,2/3/2015
45,925.56,841.43,439.23,954.85,21,2/3/2015
