,HORA,APANAS,ASTURIAS,HIDROPANTASMA,LARREYNAGA,VIRGEN,Date
0,955.69,926.43,841.493,682.825,439.8,0,1/1/2016
1,955.69,926.42,841.524,682.776,439.8,1,1/1/2016
2,955.69,926.41,841.563,682.742,439.8,2,1/1/2016
3,955.69,926.4,841.594,682.309,439.81,3,1/1/2016
4,955.69,926.39,841.633,681.91,439.81,4,1/1/2016
5,955.69,926.38,841.663,681.776,439.81,5,1/1/2016
6,955.69,926.36,841.697,681.784,439.81,6,1/1/2016
7,955.69,926.35,841.733,681.78,439.81,7,1/1/2016
8,955.69,926.35,841.765,681.784,439.81,8,1/1/2016
9,955.69,926.35,841.781,681.793,439.81,9,1/1/2016
10,955.69,926.35,841.77,681.791,439.82,10,1/1/2016
11,955.69,926.36,841.77,681.793,439.83,11,1/1/2016
12,955.69,926.36,841.76,681.793,439.84,12,1/1/2016
13,955.69,926.36,841.759,681.793,439.84,13,1/1/2016
14,955.69,926.36,841.753,681.794,439.85,14,1/1/2016
15,955.69,926.36,841.743,681.803,439.85,15,1/1/2016
16,955.69,926.36,841.737,681.98,439.85,16,1/1/2016
17,955.69,926.37,841.729,682.306,439.85,17,1/1/2016
18,955.69,926.37,841.724,682.824,439.85,18,1/1/2016
19,955.69,926.37,841.713,682.831,439.86,19,1/1/2016
20,955.69,926.37,841.707,682.794,439.87,20,1/1/2016
21,955.69,926.37,841.702,682.554,439.87,21,1/1/2016
22,955.69,926.37,841.695,682.381,439.88,22,1/1/2016
23,955.69,926.37,841.689,682.089,439.89,23,1/1/2016
0,955.69,926.36,841.721,681.895,439.89,0,2/1/2016
1,955.69,926.35,841.754,681.782,439.89,1,2/1/2016
2,955.69,926.33,841.785,681.775,439.89,2,2/1/2016
3,955.69,926.32,841.822,681.778,439.89,3,2/1/2016
4,955.69,926.3,841.852,681.778,439.89,4,2/1/2016
5,955.69,926.29,841.887,681.781,439.89,5,2/1/2016
6,955.69,926.27,841.918,681.787,439.89,6,2/1/2016
7,955.69,926.26,841.955,681.791,439.89,7,2/1/2016
8,955.69,926.26,841.972,681.791,439.89,8,2/1/2016
9,955.69,926.27,841.953,681.952,439.89,9,2/1/2016
10,955.69,926.27,841.923,682.714,439.89,10,2/1/2016
11,955.69,926.27,841.895,682.842,439.88,11,2/1/2016
12,955.69,926.27,841.864,682.751,439.88,12,2/1/2016
13,955.69,926.27,841.835,682.703,439.87,13,2/1/2016
14,955.69,926.27,841.807,682.784,439.87,14,2/1/2016
15,955.69,926.29,841.777,682.747,439.87,15,2/1/2016
16,955.69,926.29,841.747,682.714,439.87,16,2/1/2016
17,955.69,926.29,841.71,682.797,439.87,17,2/1/2016
18,955.69,926.29,841.685,682.797,439.86,18,2/1/2016
19,955.69,926.29,841.655,682.718,439.85,19,2/1/2016
20,955.69,926.29,841.62,682.792,439.84,20,2/1/2016
21,955.69,926.29,841.59,682.628,439.84,21,2/1/2016
22,955.69,926.29,841.557,682.343,439.85,22,2/1/2016
23,955.69,926.3,841.524,682.444,439.85,23,2/1/2016
0,955.69,926.29,841.498,682.229,439.85,0,3/1/2016
1,955.69,926.28,841.521,681.841,439.85,1,3/1/2016
2,955.69,926.27,841.553,681.816,439.85,2,3/1/2016
3,955.69,926.26,841.588,681.815,439.85,3,3/1/2016
4,955.69,926.25,841.6,681.82,439.85,4,3/1/2016
5,955.69,926.23,841.652,682.226,439.84,5,3/1/2016
6,955.69,926.22,841.683,682.683,439.84,6,3/1/2016
7,955.69,926.22,841.69,682.303,439.84,7,3/1/2016
8,955.69,926.22,841.704,682.293,439.84,8,3/1/2016
9,955.69,926.23,841.696,682.464,439.84,9,3/1/2016
10,955.69,926.23,841.687,682.794,439.85,10,3/1/2016
11,955.69,926.23,841.678,682.782,439.86,11,3/1/2016
12,955.69,926.23,841.669,682.684,439.86,12,3/1/2016
13,955.69,926.24,841.661,682.866,439.86,13,3/1/2016
14,955.69,926.24,841.651,682.835,439.86,14,3/1/2016
15,955.69,926.24,841.64,682.77,439.87,15,3/1/2016
16,955.69,926.24,841.632,682.78,439.87,16,3/1/2016
17,955.69,926.24,841.623,682.758,439.87,17,3/1/2016
18,955.69,926.24,841.616,682.74,439.87,18,3/1/2016
19,955.69,926.24,841.604,682.671,439.86,19,3/1/2016
20,955.69,926.24,841.596,682.63,439.85,20,3/1/2016
21,955.69,926.24,841.587,682.673,439.85,21,3/1/2016
22,955.69,926.24,841.575,682.342,439.85,22,3/1/2016
23,955.69,926.24,841.567,682.512,439.85,23,3/1/2016
0,955.69,926.24,841.557,682.382,439.85,0,4/1/2016
1,955.69,926.22,841.564,681.728,439.85,1,4/1/2016
2,955.69,926.21,841.6,681.633,439.85,2,4/1/2016
3,955.68,926.19,841.625,681.636,439.85,3,4/1/2016
4,955.69,926.18,841.667,681.636,439.86,4,4/1/2016
5,955.68,926.18,841.684,681.655,439.87,5,4/1/2016
6,955.68,926.18,841.714,681.65,439.89,6,4/1/2016
7,955.68,926.18,841.748,681.648,439.89,7,4/1/2016
8,955.68,926.18,841.756,682.114,439.9,8,4/1/2016
9,955.68,926.18,841.747,682.827,439.9,9,4/1/2016
10,955.68,926.18,841.736,682.812,439.91,10,4/1/2016
11,955.68,926.18,841.725,682.958,439.91,11,4/1/2016
12,955.68,926.18,841.714,682.666,439.9,12,4/1/2016
13,955.68,926.18,841.703,682.738,439.89,13,4/1/2016
14,955.68,926.18,841.692,682.873,439.89,14,4/1/2016
15,955.68,926.18,841.683,682.807,439.87,15,4/1/2016
16,955.68,926.18,841.671,682.744,439.86,16,4/1/2016
17,955.68,926.18,841.661,682.714,439.85,17,4/1/2016
18,955.68,926.18,841.649,682.77,439.85,18,4/1/2016
19,955.68,926.18,841.64,682.703,439.83,19,4/1/2016
20,955.68,926.19,841.631,682.636,439.83,20,4/1/2016
21,955.68,926.19,841.617,682.639,439.83,21,4/1/2016
22,955.68,926.19,841.608,682.576,439.83,22,4/1/2016
23,955.68,926.19,841.596,682.638,439.83,23,4/1/2016
