datetime,prog_ind,prog_liq,real_ind,real_liq
2014-01-01 00:00:00,155.97,155.97,155.05,155.05
2014-01-01 01:00:00,152.49,152.49,155.13,155.13
2014-01-01 02:00:00,145.09,145.09,150.47,150.47
2014-01-01 03:00:00,128.04,128.04,146.66,146.66
2014-01-01 04:00:00,128.04,128.04,140.46,140.46
2014-01-01 05:00:00,128.04,128.04,110.99,110.99
2014-01-01 06:00:00,110.99,110.99,110.99,110.99
2014-01-01 07:00:00,110.99,110.99,110.99,110.99
2014-01-01 08:00:00,128.04,128.04,110.99,110.99
2014-01-01 09:00:00,145.09,145.09,114.97,114.97
2014-01-01 10:00:00,145.09,145.09,145.09,145.09
2014-01-01 11:00:00,145.09,145.09,145.09,145.09
2014-01-01 12:00:00,145.09,145.09,145.09,145.09
2014-01-01 13:00:00,145.09,145.09,148.39,148.39
2014-01-01 14:00:00,145.09,145.09,145.09,145.09
2014-01-01 15:00:00,145.09,145.09,145.09,145.09
2014-01-01 16:00:00,145.09,145.09,148.1,148.1
2014-01-01 17:00:00,153.32,153.32,150.04,150.04
2014-01-01 18:00:00,159.5,159.5,159.24,159.24
2014-01-01 19:00:00,159.5,159.5,156.2,156.2
2014-01-01 20:00:00,157.59,157.59,157.93,157.93
2014-01-01 21:00:00,158.69,158.69,150.4,150.4
2014-01-01 22:00:00,154.42,154.42,147.87,147.87
2014-01-01 23:00:00,148.58,148.58,145.09,145.09
2014-01-02 00:00:00,152.45,152.45,118.76,118.76
2014-01-02 01:00:00,153.61,153.61,110.99,110.99
2014-01-02 02:00:00,154.38,154.38,110.99,110.99
2014-01-02 03:00:00,154.4,154.4,110.99,110.99
2014-01-02 04:00:00,153.66,153.66,114.4,114.4
2014-01-02 05:00:00,153.27,153.27,145.09,145.09
2014-01-02 06:00:00,154.99,154.99,146.17,146.17
2014-01-02 07:00:00,153.96,153.96,147.89,147.89
2014-01-02 08:00:00,156.38,156.38,147.88,147.88
2014-01-02 09:00:00,161.55,161.55,150.95,150.95
2014-01-02 10:00:00,161.55,161.55,151.63,151.63
2014-01-02 11:00:00,161.55,161.55,153.87,153.87
2014-01-02 12:00:00,162.24,162.24,159.44,159.44
2014-01-02 13:00:00,162.92,162.92,158.89,158.89
2014-01-02 14:00:00,162.92,162.92,162.92,162.92
2014-01-02 15:00:00,162.92,162.92,162.92,162.92
2014-01-02 16:00:00,162.92,162.92,164.83,164.83
2014-01-02 17:00:00,163.9,163.9,163.94,163.94
2014-01-02 18:00:00,164.88,164.88,166.39,166.39
2014-01-02 19:00:00,164.88,164.88,163.74,163.74
2014-01-02 20:00:00,164.88,164.88,163.35,163.35
2014-01-02 21:00:00,163.22,163.22,156.72,156.72
2014-01-02 22:00:00,161.55,161.55,160.61,160.61
2014-01-02 23:00:00,156.61,156.61,151.04,151.04
2014-01-03 00:00:00,152.55,152.55,149.45,149.45
2014-01-03 01:00:00,153.76,153.76,146.07,146.07
2014-01-03 02:00:00,154.54,154.54,148.81,148.81
2014-01-03 03:00:00,155.76,155.76,145.09,145.09
2014-01-03 04:00:00,155.65,155.65,150.14,150.14
2014-01-03 05:00:00,155.94,155.94,146.41,146.41
2014-01-03 06:00:00,154.82,154.82,146.43,146.43
2014-01-03 07:00:00,151.84,151.84,145.43,145.43
2014-01-03 08:00:00,156.38,156.38,149.45,149.45
2014-01-03 09:00:00,161.55,161.55,151.65,151.65
2014-01-03 10:00:00,162.24,162.24,159.29,159.29
2014-01-03 11:00:00,162.92,162.92,156.75,156.75
2014-01-03 12:00:00,162.92,162.92,157.81,157.81
2014-01-03 13:00:00,162.92,162.92,157.81,157.81
2014-01-03 14:00:00,162.92,162.92,158.75,158.75
2014-01-03 15:00:00,162.92,162.92,159.2,159.2
2014-01-03 16:00:00,162.24,162.24,156.57,156.57
