,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION ENERO 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: 01.ENERO.2012 - 31.ENERO. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jan,2-Jan,3-Jan,4-Jan,5-Jan,6-Jan,7-Jan,1/8/12,1/9/12,1/10/12,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-Jan,2-Jan,3-Jan,4-Jan,5-Jan,6-Jan,7-Jan,8-Jan,9-Jan,10-Jan,11-Jan,12-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan,18-Jan,19-Jan,20-Jan,21-Jan,22-Jan,23-Jan,24-Jan,25-Jan,26-Jan,27-Jan,28-Jan,29-Jan,30-Jan,31-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,151.51,153.73,153.75,156.00,153.48,155.26,154.30,153.47,155.79,158.18,158.34,156.55,160.55,158.20,158.33,166.92,164.61,165.18,169.15,166.26,166.36,167.60,164.02,167.52,164.75,164.75,164.13,166.47,164.27,159.14,165.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,154.53,153.73,153.73,153.73,153.93,158.19,154.31,150.52,154.99,161.56,158.22,155.85,158.59,158.18,159.07,164.59,164.61,165.16,164.56,164.13,164.13,164.13,161.73,165.07,164.75,164.75,164.02,166.47,164.02,159.69,163.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,147.79,152.23,151.75,166.09,153.73,150.52,154.32,150.25,155.75,155.85,158.18,155.85,158.32,158.22,158.46,163.96,164.58,165.14,166.10,164.13,163.82,163.70,162.07,164.02,164.75,164.75,164.02,162.13,162.68,159.98,163.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,150.76,150.52,150.52,167.47,153.74,150.52,154.30,149.95,155.20,155.85,158.20,150.14,157.52,158.22,155.85,164.55,164.57,165.15,166.45,164.13,163.76,170.92,161.76,164.02,164.75,164.75,164.02,162.93,162.72,160.37,163.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,150.76,150.52,152.26,155.96,153.76,153.75,154.32,150.52,155.85,159.73,158.25,159.21,159.31,158.20,155.85,168.79,164.58,165.17,164.61,165.99,166.27,168.70,165.82,169.49,164.75,164.75,164.27,164.87,164.02,162.02,164.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,150.76,151.96,154.25,154.57,155.25,158.72,154.90,150.52,157.64,158.52,160.07,159.97,160.94,158.18,157.70,166.27,164.59,166.64,164.58,165.13,164.57,164.89,166.30,165.40,164.75,164.75,164.76,165.24,164.02,162.98,166.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,150.76,153.73,155.23,154.57,154.57,157.38,154.60,150.13,159.54,158.71,160.35,159.26,159.40,158.23,157.71,167.78,164.58,165.91,170.08,165.15,164.56,161.66,166.04,164.76,173.36,168.53,165.20,165.78,161.14,164.66,163.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,150.76,154.96,156.24,156.18,156.97,161.53,154.60,150.79,158.97,160.63,165.12,163.54,166.12,159.51,161.24,170.11,169.85,172.40,170.22,165.73,165.75,168.00,168.29,170.11,172.31,171.00,171.34,164.75,169.73,170.02,170.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,150.76,156.97,155.05,161.34,162.77,161.12,162.73,153.72,163.60,166.18,165.62,165.02,173.96,160.11,160.11,171.42,172.97,171.16,171.94,172.35,168.70,171.48,175.28,173.73,171.16,172.94,173.43,170.16,175.68,173.43,172.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
