,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION OCTUBRE 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: 01.OCTUBRE.2012 - 31.OCTUBRE. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Oct,2-Oct,3-Oct,4-Oct,5-Oct,6-Oct,7-Oct,10/8/12,10/9/12,10/10/12,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct,16-Oct,17-Oct,18-Oct,19-Oct,20-Oct,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-Oct,2-Oct,3-Oct,4-Oct,5-Oct,6-Oct,7-Oct,8-Oct,9-Oct,10-Oct,11-Oct,12-Oct,13-Oct,14-Oct,15-Oct,16-Oct,17-Oct,18-Oct,19-Oct,20-Oct,21-Oct,22-Oct,23-Oct,24-Oct,25-Oct,26-Oct,27-Oct,28-Oct,29-Oct,30-Oct,31-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,176.27,170.09,169.14,171.48,170.50,173.90,177.37,169.83,170.29,174.92,174.06,173.03,172.55,168.72,171.64,173.34,170.14,167.67,170.64,169.07,166.43,165.39,167.67,169.98,165.39,175.00,175.00,165.39,161.31,163.21,161.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,170.05,170.01,169.10,168.30,170.48,173.08,171.88,170.13,170.52,170.87,173.59,173.66,170.60,169.18,171.60,171.90,167.87,167.69,167.56,165.75,165.68,165.39,167.85,165.39,167.76,175.00,175.00,165.39,160.58,163.61,161.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,170.40,169.91,169.11,168.28,175.44,169.67,171.90,170.15,170.81,171.34,174.33,174.57,170.26,232.44,172.84,168.53,167.80,168.41,167.60,166.07,163.79,173.42,169.91,165.39,165.39,175.00,175.00,165.39,161.31,165.54,161.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,170.40,169.80,169.11,168.29,169.00,169.70,171.71,170.11,170.33,173.54,175.71,174.54,170.08,210.51,172.18,167.81,171.42,168.34,167.60,168.10,163.79,165.39,165.39,165.39,165.34,175.54,175.00,165.39,161.31,161.31,161.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,188.92,169.90,169.13,173.10,168.96,176.22,171.84,170.21,172.45,172.77,174.03,173.80,170.04,175.99,173.40,171.04,172.34,167.87,167.34,165.26,168.26,165.63,165.39,165.39,167.60,175.00,173.82,171.02,161.31,161.31,161.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,170.38,176.56,169.13,171.95,168.99,175.61,171.74,173.63,174.86,178.83,174.06,177.26,170.03,174.14,174.53,174.14,186.10,174.55,173.48,165.32,166.68,167.48,166.24,190.16,178.50,175.00,166.96,165.39,161.31,163.75,161.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,176.00,175.67,169.14,169.12,175.60,176.00,171.75,175.30,173.79,176.94,173.77,174.47,175.98,174.34,177.80,172.46,172.64,171.54,174.18,165.28,197.26,171.02,168.26,167.35,175.89,175.00,167.25,165.39,166.20,164.78,166.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,180.33,180.29,180.39,175.55,178.53,178.41,171.78,176.13,180.84,179.24,178.64,180.25,175.72,176.21,197.26,197.26,177.05,197.26,177.71,197.26,196.15,178.41,177.18,190.33,180.06,180.00,176.07,165.39,167.00,165.49,165.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,179.10,178.98,183.12,180.96,181.48,177.07,171.82,180.34,175.50,177.85,182.07,236.70,217.36,178.64,197.26,197.26,197.26,197.26,183.62,174.54,173.19,190.36,190.36,190.36,181.88,178.14,178.59,165.39,170.97,174.60,165.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
