,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION NOVIEMBRE 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Nov,2-Nov,3-Nov,4-Nov,5-Nov,6-Nov,7-Nov,8-Nov,9-Nov,10-Nov,11-Nov,12-Nov,13-Nov,14-Nov,15-Nov,16-Nov,17-Nov,18-Nov,19-Nov,20-Nov,21-Nov,22-Nov,23-Nov,24-Nov,25-Nov,26-Nov,27-Nov,28-Nov,29-Nov,30-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,162.30,161.31,161.31,161.31,158.54,158.90,158.90,158.90,158.42,162.76,158.90,156.65,156.93,160.81,155.88,155.16,156.14,159.22,146.87,155.45,154.68,154.52,146.39,152.68,148.53,158.32,155.59,157.70,155.78,157.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,162.30,161.31,161.31,161.31,157.94,158.90,158.90,158.90,158.17,166.87,158.90,156.65,156.32,156.47,154.98,155.03,165.62,155.19,146.32,154.81,156.53,151.50,147.13,152.36,146.53,153.87,155.58,157.24,151.90,162.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,165.59,161.31,161.31,166.48,158.56,159.03,158.90,158.90,158.10,164.03,158.90,156.65,156.69,156.60,156.52,154.56,155.92,155.63,153.52,154.80,152.34,151.71,146.66,153.73,152.71,153.37,155.64,160.55,151.41,158.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,163.33,161.31,161.31,158.53,158.90,159.14,158.90,158.90,157.95,160.03,158.90,156.65,159.86,156.48,156.65,156.03,155.92,157.07,147.23,154.79,150.58,151.26,146.47,157.40,161.32,155.16,153.39,153.70,152.67,157.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,161.31,161.31,162.00,169.79,158.90,159.12,158.90,158.90,158.45,156.85,158.90,156.65,166.70,156.60,156.65,156.52,165.62,156.02,146.78,160.01,153.81,152.53,151.35,153.87,161.27,153.11,168.43,159.48,159.30,157.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,161.31,162.68,166.21,160.27,159.89,164.38,158.90,158.90,158.90,164.87,158.90,157.80,165.62,165.62,156.65,156.66,156.65,156.93,155.87,160.69,156.94,154.79,155.55,153.98,160.15,161.60,157.92,158.23,157.80,157.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,161.31,161.31,165.17,160.32,160.07,160.04,158.90,158.90,158.90,166.81,158.90,157.79,161.28,166.14,157.12,156.66,156.65,155.23,154.46,156.48,156.50,156.39,154.03,155.58,147.55,164.19,158.23,158.23,157.61,157.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,167.19,168.95,165.45,160.37,169.35,169.04,168.03,163.42,166.53,166.29,158.90,164.31,167.46,158.06,164.30,157.30,158.28,155.82,163.64,157.27,162.93,157.58,167.48,162.44,154.82,157.86,165.66,165.48,158.04,158.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,166.79,165.49,170.46,161.31,173.64,172.96,172.61,169.45,170.40,159.28,158.90,173.77,172.01,167.06,167.51,170.58,166.39,154.57,157.49,157.49,167.76,157.49,166.73,157.40,155.05,166.61,172.03,172.30,164.58,164.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,175.50,173.54,170.02,161.31,169.39,169.30,172.39,172.32,169.37,160.11,165.61,170.38,166.74,170.35,170.97,169.67,167.16,154.58,166.04,167.88,166.10,168.36,166.73,157.49,153.75,166.59,171.19,167.97,170.42,170.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,174.89,172.10,174.08,161.31,172.02,170.18,169.17,168.93,167.97,160.12,159.56,167.72,166.74,165.68,165.72,165.77,165.85,154.58,169.28,171.50,170.37,171.34,168.45,157.49,152.39,171.06,171.68,170.32,170.48,167.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:00,171.50,170.32,169.97,165.49,169.32,169.44,171.18,168.95,168.12,160.12,159.80,167.77,169.50,165.69,168.86,166.84,164.66,156.25,167.81,169.51,171.97,171.29,166.62,157.49,154.81,167.00,169.36,168.25,167.99,170.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00,171.50,171.13,175.27,165.49,169.04,171.88,169.11,169.13,168.27,161.37,164.19,167.75,167.77,165.70,166.57,170.63,158.94,156.65,168.10,169.19,169.21,167.32,159.01,157.49,154.82,167.63,170.51,169.73,168.13,168.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,171.51,169.37,165.49,166.84,169.04,169.85,169.10,172.28,170.14,167.45,166.69,167.77,167.77,165.75,166.55,169.26,160.36,156.65,168.96,168.52,169.19,168.50,159.04,156.59,156.84,168.09,168.35,170.25,169.33,169.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15:00,171.50,173.92,165.49,168.59,169.04,169.39,169.21,168.38,168.35,160.07,164.11,167.77,167.80,165.80,168.26,169.77,159.83,156.65,169.19,167.75,167.91,168.35,166.73,157.19,155.09,169.53,168.87,167.18,169.85,168.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16:00,171.50,166.11,165.49,165.49,169.05,169.04,169.25,168.40,170.46,160.10,160.83,167.77,170.04,165.81,168.70,169.31,157.58,156.65,168.50,168.18,167.73,166.74,166.73,157.38,152.59,168.17,168.20,167.15,168.25,168.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17:00,175.61,165.49,165.49,165.49,169.58,168.99,170.80,172.11,168.65,160.09,161.01,167.72,176.07,167.43,167.95,171.02,157.79,156.59,162.84,168.18,168.99,162.57,159.01,157.20,152.34,168.29,168.21,167.19,170.47,168.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
