,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: ,,DICIEMBRE/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORAS,01-Dic,02-Dic,03-Dic,04-Dic,05-Dic,06-Dic,07-Dic,08-Dic,09-Dic,10-Dic,11-Dic,12-Dic,13-Dic,14-Dic,15-Dic,16-Dic,17-Dic,18-Dic,19-Dic,20-Dic,21-Dic,22-Dic,23-Dic,24-Dic,25-Dic,26-Dic,27-Dic,28-Dic,29-Dic,30-Dic,31-Dic
1:00,157.75,159.80,153.61,154.44,155.50,147.46,150.06,154.82,156.16,164.43,161.71,155.56,157.64,161.57,150.99,151.69,157.38,155.74,160.22,152.83,152.09,150.18,146.95,148.44,158.64,157.35,158.74,156.85,159.74,155.21,150.11
2:00,157.26,153.52,149.95,155.01,145.71,146.42,146.57,153.15,153.57,159.67,158.50,157.87,158.54,155.04,147.77,148.74,158.76,155.18,155.23,150.74,152.09,144.75,146.11,147.53,162.77,157.33,158.74,159.57,159.74,150.97,150.14
3:00,160.11,158.24,147.18,155.33,146.33,146.29,147.27,155.50,153.30,159.46,158.50,156.36,160.14,155.72,149.25,160.60,158.90,155.16,156.09,152.20,151.53,144.22,154.50,147.25,158.64,157.32,158.74,156.16,159.74,159.74,150.57
4:00,166.45,159.31,156.51,156.74,159.86,147.17,147.13,155.50,154.21,159.46,158.50,159.21,160.60,156.68,147.95,147.68,158.90,155.19,155.54,153.64,156.07,146.41,158.90,161.74,154.78,157.33,158.74,153.47,153.51,159.74,150.49
5:00,157.52,156.81,155.62,153.93,158.93,155.50,146.28,156.24,155.87,164.08,159.46,162.59,160.92,155.58,148.15,160.60,156.83,156.18,155.18,152.64,151.53,155.98,160.86,149.47,152.79,157.32,158.74,152.69,163.46,159.74,149.55
6:00,157.49,153.59,155.16,155.50,154.74,157.29,149.95,154.64,155.32,160.28,159.46,155.67,164.64,158.65,159.94,160.58,155.42,158.82,155.99,153.54,151.89,158.90,158.90,159.74,157.16,159.74,164.81,163.77,159.36,159.85,148.92
7:00,157.36,148.20,154.82,155.50,155.73,156.00,149.95,155.91,153.39,159.46,159.46,154.85,160.60,157.39,159.42,160.26,155.20,156.41,155.26,156.35,155.17,158.41,158.93,147.64,154.95,159.74,159.74,161.01,159.82,159.69,149.80
8:00,158.21,148.11,155.82,157.32,154.95,155.87,156.20,156.23,155.38,163.16,165.31,158.23,160.60,158.45,165.78,164.77,156.30,157.06,157.68,157.86,156.60,154.72,158.90,159.74,157.09,163.00,163.03,155.52,152.93,159.74,159.03
9:00,158.23,163.51,157.36,162.43,157.73,177.55,163.21,155.50,156.22,164.63,162.40,162.49,160.95,162.30,160.60,158.66,161.50,165.12,160.35,161.95,160.70,161.24,159.30,161.11,157.23,163.11,162.45,159.74,162.29,160.21,158.10
10:00,158.23,160.02,162.17,162.41,173.02,157.73,157.73,156.29,155.91,168.82,161.20,160.54,163.53,160.60,160.60,159.56,163.75,167.30,165.08,158.90,157.40,158.90,158.90,159.87,159.74,168.97,160.81,158.74,158.74,159.74,158.10
11:00,166.59,153.62,157.73,158.51,157.73,157.73,157.73,156.09,155.50,167.79,161.31,164.66,162.59,160.60,160.60,160.92,167.23,166.56,163.94,164.64,157.60,158.90,158.90,157.33,159.74,171.10,160.89,159.72,159.74,159.74,158.10
12:00,158.88,151.29,157.73,158.57,162.40,157.78,157.73,157.73,156.94,168.25,161.31,168.98,161.42,160.60,160.60,169.09,164.31,165.12,163.97,165.65,158.90,158.90,155.21,158.72,160.39,169.00,159.81,159.74,159.74,157.82,158.49
