PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION MARZO 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: 01.MARZO. 2012 - 31.MARZO. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,3/8/12,3/9/12,3/10/12,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar
HRS,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar
1:00,169.98,175.57,175.68,178.73,183.07,178,179.14,178.09,177.55,182.16,177.4,177.69,183.6,181.25,180.83,182.26,179.82,179.27,178.43,178.07,184.09,183.29,177.79,177.8,178.05,179.67,177.07,177.4,181.65,177.14,184.47
2:00,168.96,173.85,173.62,178.2,177.16,180.39,179.44,176,175.36,175.62,179.07,177.17,175.17,184.91,186.21,186.23,181.27,181.01,183.04,178.17,184.83,183.27,177.79,177.8,178.82,180.44,177.07,178.94,185.89,177.14,178.06
3:00,170.38,173.57,173.59,175.19,172.05,180.62,181.51,178.39,172.19,175.36,176.34,172.62,177.69,178.07,177.08,177.29,178.02,181.01,177.46,179.97,178.19,183.29,177.79,177.8,182.8,180.48,177.07,180.44,182.4,177.14,177.1
4:00,173.57,173.57,173.57,175.37,174.79,179.31,182.64,182.93,173.51,175.36,175.36,172.61,178.26,179.75,177.29,180.09,178.49,180.8,177.46,180.55,177.82,183.29,177.79,177.82,183.91,178.19,177.46,180.44,182.79,177.14,177.1
5:00,173.65,175.92,176.9,175.21,178.18,178.91,179.22,178.38,177.31,179.28,175.36,175.65,181.29,180.43,180.25,178.48,180.62,178.1,179.31,178.22,177.82,183.29,177.79,179.19,183.91,180.76,178.14,178.79,183.43,177.14,186.49
6:00,174.16,174.93,177.27,174.39,176.58,175.77,175.8,176.61,177.19,178.7,175.36,179.71,181.97,178.45,178.02,178.01,177.82,178.11,178.9,183.39,181.04,184.39,181.55,177.91,183.91,178.76,177.15,177.12,181.87,186.5,181.88
7:00,174.53,174.12,177.08,177.56,175.79,177.18,175.78,175.77,176.66,178.7,170.68,178.56,184.56,183.13,181.65,180.27,178.24,177.29,181.8,184.73,184.09,184.73,184.73,177.86,182.48,182.82,177.15,177.12,179.85,181.86,181.87
8:00,174.55,178.38,176.89,182.84,181.36,184.43,179.75,179.72,180.59,178.86,173.07,179.58,186.54,186.04,184.07,183.72,179.09,180.11,184.73,186.98,184.56,184.73,187.06,177.86,177.46,183.99,184.76,183.21,182.46,185.97,183.99
9:00,178.43,180.86,182.02,181.17,185.71,183.36,183.86,182.64,183.19,182.42,175.36,184.76,185.26,191.46,184.56,184.56,184.51,181.38,187.05,187.85,188.28,191.64,185.25,183.62,177.46,189.8,184.73,184.72,186.78,187.88,186.05
10:00,180.86,183.63,181.18,181.5,186.71,184.4,186.75,185.98,185.47,182.64,175.36,185.93,187.51,185.89,186.87,188.79,184.56,179.6,187.5,186.65,185.5,186.5,187.31,184.73,181.34,184.65,187.03,186.2,187.69,185.71,184.01
11:00,180.86,181.95,181.2,181.78,185.2,187.29,183.84,184.05,184.05,182.64,175.36,188.49,186.37,185.91,184.97,185.19,184.56,178.69,185.28,186.15,191.1,193.87,186.12,186.4,181.61,184.54,185.24,184.72,185.36,185.38,186.21
