,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION ABRIL 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: 01.ABRIL. 2012 - 30.ABRIL. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,4/8/12,4/9/12,4/10/12,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,180.74,176.89,189.71,189.50,176.67,182.18,176.64,176.67,176.19,183.52,181.91,183.32,182.89,181.27,181.20,180.02,185.23,180.02,180.02,184.12,184.48,188.56,177.81,177.37,177.72,174.36,177.85,178.69,178.64,176.97,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,177.05,177.69,183.57,183.57,176.67,176.70,178.01,176.67,176.04,180.34,180.24,181.18,181.15,181.18,182.13,180.02,180.70,180.02,180.02,185.86,194.22,191.20,172.13,176.59,171.99,174.86,177.40,181.55,178.64,176.49,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,176.81,177.22,183.57,183.57,176.67,176.70,176.71,176.67,175.96,178.87,177.67,182.93,181.14,181.56,178.35,180.02,180.66,180.02,180.02,180.02,187.09,180.02,171.88,177.09,175.36,171.99,178.25,180.50,178.64,176.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,176.81,176.99,183.57,183.57,176.67,176.70,183.86,176.67,175.70,178.40,176.93,183.32,181.14,179.45,179.14,180.02,180.69,180.02,180.02,180.02,180.23,180.02,174.58,172.77,172.50,173.89,178.03,178.64,178.64,176.49,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,180.07,177.37,188.19,183.57,176.67,176.70,190.35,177.53,179.09,180.47,177.78,183.32,181.38,181.47,179.98,180.02,187.65,189.31,186.83,185.40,188.35,180.02,178.59,178.91,174.76,176.82,181.69,178.64,178.64,179.29,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,180.03,178.57,183.85,183.57,176.67,176.70,177.56,176.29,177.48,181.09,180.95,183.07,183.32,181.13,182.19,180.02,183.03,182.19,180.67,180.02,181.61,180.02,177.45,178.15,175.58,177.33,178.31,178.64,178.64,177.68,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,188.96,181.49,183.85,183.57,178.01,176.68,176.29,176.29,177.37,181.13,182.57,181.24,183.32,181.13,183.00,180.02,182.72,181.14,180.76,186.62,189.20,180.02,177.72,179.01,177.42,178.27,178.58,178.64,178.64,177.62,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,201.81,185.65,183.86,186.03,178.07,176.82,178.57,176.29,181.59,184.24,183.32,183.32,186.11,182.93,181.37,183.05,189.93,185.17,189.56,188.58,196.19,187.99,178.64,179.87,180.40,180.57,178.64,178.64,178.64,179.27,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,180.99,186.12,186.41,185.64,177.02,178.54,177.75,176.29,185.76,186.98,188.29,187.46,185.62,185.45,183.32,185.66,194.19,197.44,195.95,192.73,192.13,180.72,186.17,181.81,178.64,180.32,181.27,179.81,178.64,179.33,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
