,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION MAYO 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: 01.MAYO. 2012 - 31.MAYO. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-May,2-May,3-May,4-May,5-May,6-May,7-May,5/8/12,5/9/12,5/10/12,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May,21-May,22-May,23-May,24-May,25-May,26-May,27-May,28-May,29-May,30-May,31-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,177.05,176.54,182.75,176.56,177.88,177.88,181.23,179.05,178.88,179.06,180.00,179.36,183.21,176.45,171.80,175.66,176.97,176.10,174.44,171.29,170.60,166.22,163.53,161.77,159.56,169.21,164.55,152.36,164.08,157.00,155.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,177.88,176.54,177.39,177.42,177.88,177.88,178.98,179.03,178.88,179.04,179.66,181.50,179.13,172.37,171.49,180.98,178.80,175.67,178.74,172.51,164.68,168.15,163.32,159.58,159.56,167.07,159.56,150.04,160.34,157.81,154.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,177.88,176.55,177.36,176.57,177.88,177.88,178.96,179.02,178.88,179.10,181.78,180.82,180.71,171.64,173.27,179.18,175.30,171.03,179.18,171.29,164.69,163.57,159.61,159.58,159.56,164.27,159.56,149.83,161.23,157.81,154.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,177.88,176.54,177.37,176.57,177.88,177.88,178.98,179.01,178.88,179.02,180.03,181.00,179.13,173.02,176.05,180.93,177.25,177.52,174.67,171.29,164.99,161.83,159.58,159.58,159.56,164.26,159.58,149.26,157.98,157.81,154.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,177.88,176.52,177.34,191.91,188.11,177.88,178.98,179.00,178.88,179.10,180.21,179.75,180.54,178.86,174.35,177.97,179.18,177.58,176.80,174.83,165.01,160.70,161.57,160.41,161.60,167.31,159.58,151.67,162.11,157.83,158.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,177.48,181.81,179.56,179.42,177.88,177.86,178.97,178.99,178.88,179.11,179.92,181.79,184.88,173.50,173.49,179.18,176.06,175.46,174.08,173.48,167.91,163.52,164.14,164.16,164.15,167.07,161.18,154.02,160.32,160.24,165.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,176.44,177.90,178.64,177.88,177.88,177.63,182.47,179.04,181.68,179.14,180.13,180.31,180.29,177.23,179.80,174.72,176.90,174.08,178.83,179.18,165.79,166.60,166.69,164.14,167.29,165.26,162.06,157.06,160.51,162.45,162.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,176.46,182.42,179.38,177.90,179.11,177.64,180.50,183.01,180.22,179.63,181.17,182.19,181.84,178.93,183.83,178.12,180.78,176.47,179.18,179.18,166.86,165.39,166.88,168.51,168.67,166.00,161.07,161.68,163.36,162.01,162.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,180.07,180.85,180.36,180.79,179.20,177.65,191.44,192.51,185.40,182.73,182.30,182.13,182.82,182.59,182.47,179.92,182.13,181.77,179.18,179.18,173.83,166.83,166.37,166.76,171.14,166.48,160.23,163.57,161.27,168.14,171.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
