,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION JUNIO 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: 01.JUNIO. 2012 - 30.JUNIO. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,6/8/12,6/9/12,6/10/12,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,165.10,161.92,162.21,158.57,165.15,158.62,161.14,160.97,165.52,160.73,143.80,149.43,154.26,150.62,151.33,152.19,153.23,149.37,150.45,152.37,150.81,152.82,151.47,150.11,150.00,152.84,152.79,148.06,147.98,151.58,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,160.21,162.02,157.66,158.57,162.24,158.22,158.57,160.66,158.66,158.21,142.31,147.89,149.99,151.93,151.33,152.04,150.87,145.86,170.78,150.46,150.12,150.14,151.38,155.03,147.94,150.07,151.10,148.06,147.99,149.79,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,160.23,160.29,158.34,158.58,154.15,154.85,158.57,160.28,163.27,153.95,143.83,148.18,149.94,151.77,152.13,149.97,150.81,145.99,150.04,153.72,151.25,150.13,150.15,149.06,147.90,150.09,151.20,148.06,147.99,146.56,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,160.22,160.27,158.32,158.58,154.31,154.53,158.58,157.25,159.68,153.95,144.32,148.31,149.95,152.16,153.24,149.98,150.83,146.02,150.03,154.51,151.11,150.14,150.14,148.09,147.89,150.07,151.18,148.06,148.00,146.37,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,160.21,164.77,158.55,161.61,165.07,156.75,163.39,158.91,159.75,153.96,149.58,146.69,154.31,153.67,151.19,155.86,150.82,145.17,150.67,150.45,150.04,150.15,150.14,148.51,150.14,150.08,151.34,151.78,151.88,146.36,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,163.46,160.80,159.55,162.14,159.75,164.22,159.23,160.66,159.74,154.13,150.24,144.32,151.20,151.19,151.19,151.72,150.84,150.59,162.45,150.45,150.04,151.24,150.15,153.99,154.45,150.07,154.29,154.23,150.73,146.83,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,162.96,160.80,158.73,160.34,159.77,159.58,159.25,163.93,159.79,157.00,147.52,149.06,154.94,154.55,172.59,151.71,157.13,151.24,150.42,151.23,150.55,151.24,150.14,150.63,149.89,150.28,151.49,148.06,149.51,149.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,166.40,168.32,160.81,161.71,161.25,160.83,166.62,161.22,164.09,160.70,156.98,154.86,152.36,152.11,152.31,152.87,151.32,162.31,154.60,154.49,155.04,154.12,154.68,151.24,153.89,154.66,151.98,153.10,150.20,147.87,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,171.16,163.46,160.33,176.43,163.72,165.38,168.78,165.11,161.07,160.66,153.02,154.69,159.49,152.14,157.02,152.26,151.70,156.72,151.77,157.77,159.15,157.32,150.90,153.71,152.83,159.98,160.73,153.58,150.15,150.64,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
