,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION JULIO 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: 01.JULIO.2012 - 31.JULIO. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,7/8/12,7/9/12,7/10/12,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-Jul,2-Jul,3-Jul,4-Jul,5-Jul,6-Jul,7-Jul,8-Jul,9-Jul,10-Jul,11-Jul,12-Jul,13-Jul,14-Jul,15-Jul,16-Jul,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,25-Jul,26-Jul,27-Jul,28-Jul,29-Jul,30-Jul,31-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,151.11,141.39,140.85,141.48,140.67,138.32,140.10,143.59,146.50,146.50,147.90,147.12,146.50,147.42,149.00,150.99,151.40,150.28,154.93,151.81,151.40,151.40,153.00,155.25,155.78,154.61,154.72,154.06,154.45,158.64,158.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,146.81,143.48,146.06,142.14,140.64,137.91,139.87,142.10,146.50,146.50,146.83,146.50,146.50,146.50,146.50,150.99,151.40,149.87,149.75,151.40,150.55,151.40,154.72,155.25,155.00,154.26,154.35,153.79,153.80,158.55,158.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,146.98,143.99,136.01,139.74,140.64,141.66,140.11,141.66,146.50,147.43,153.16,146.50,146.50,146.50,146.50,150.99,151.34,149.69,154.32,151.40,150.56,151.40,154.72,155.24,154.93,154.27,154.22,153.79,153.79,158.89,158.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,143.73,144.34,136.25,140.10,140.52,139.06,140.29,141.11,146.50,147.23,147.16,146.50,146.50,146.50,146.50,147.01,151.22,149.66,150.30,151.40,150.54,150.67,154.72,155.27,154.72,154.27,153.82,153.79,153.80,158.65,158.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,142.63,142.84,140.98,141.55,138.55,139.03,139.91,140.09,146.50,146.55,147.95,146.50,146.50,146.50,146.50,151.21,151.33,149.76,150.31,151.40,150.77,150.59,158.54,155.24,154.72,154.36,154.48,153.77,154.53,158.74,162.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,142.63,140.00,139.34,141.17,137.86,141.66,137.91,141.66,146.50,146.50,146.70,146.50,146.50,146.50,146.50,150.99,151.40,150.25,155.38,151.40,150.12,154.67,154.72,155.22,154.94,154.72,154.72,153.79,154.30,158.94,160.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,142.63,141.21,139.96,142.62,139.68,141.01,138.28,141.66,146.50,146.50,146.50,146.50,147.05,146.50,146.88,150.99,151.40,150.29,149.51,150.27,150.91,152.87,154.72,158.56,158.74,154.21,154.75,154.15,153.77,158.94,160.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,145.81,147.19,146.01,147.90,165.88,148.56,142.46,141.66,148.19,151.20,151.58,148.10,151.48,146.84,151.69,154.59,151.40,154.77,150.40,151.33,152.59,151.40,154.94,156.08,158.71,158.67,158.84,154.96,155.00,161.36,160.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,146.67,149.53,149.45,144.70,144.64,144.82,147.71,141.66,151.58,153.91,154.61,156.85,155.14,149.96,148.85,159.66,171.02,157.06,151.04,151.75,154.67,153.54,160.46,162.42,166.88,155.47,161.97,155.41,155.00,167.57,169.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
