,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQUIDACION SEPTIEMBRE 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: 01.SEPTIEMBRE.2012 - 30.SEPTIEMBRE. 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,9/8/12,9/9/12,9/10/12,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRS,1-Sep,2-Sep,3-Sep,4-Sep,5-Sep,6-Sep,7-Sep,8-Sep,9-Sep,10-Sep,11-Sep,12-Sep,13-Sep,14-Sep,15-Sep,16-Sep,17-Sep,18-Sep,19-Sep,20-Sep,21-Sep,22-Sep,23-Sep,24-Sep,25-Sep,26-Sep,27-Sep,28-Sep,29-Sep,30-Sep,0-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1:00,174.36,168.66,167.94,169.14,169.14,179.00,180.19,171.41,171.54,168.91,179.74,179.72,179.43,172.72,171.54,169.97,171.07,173.24,173.28,171.30,173.20,173.21,175.30,173.10,170.89,170.92,170.21,170.07,173.10,173.52,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2:00,168.44,165.82,167.23,169.14,169.14,179.00,176.04,175.70,172.25,179.43,169.81,168.08,179.43,169.97,169.97,169.97,171.07,171.46,173.71,171.17,173.25,173.25,173.31,173.10,170.89,171.22,170.67,170.38,173.10,174.37,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3:00,169.03,165.91,165.77,169.14,169.14,179.00,177.63,169.69,174.23,164.48,165.82,166.88,180.33,169.97,169.97,179.43,173.20,171.46,173.55,171.46,173.20,173.20,173.20,173.10,170.88,171.38,170.72,170.77,171.68,174.40,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:00,166.15,166.64,163.46,169.14,169.14,179.00,174.06,169.66,170.33,164.39,162.96,164.57,170.08,169.97,169.97,169.97,171.46,173.20,173.20,171.13,175.72,171.57,171.46,170.05,173.10,171.38,173.10,170.62,171.58,174.41,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5:00,165.94,165.44,163.43,169.14,169.14,179.68,174.38,176.74,169.19,164.13,179.39,179.43,177.13,169.97,179.43,168.64,173.20,173.21,173.25,173.20,179.19,171.59,171.46,172.89,173.10,171.06,174.23,172.96,173.10,174.59,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6:00,178.35,188.06,167.25,169.42,169.14,179.00,176.12,170.00,169.22,168.81,179.43,169.97,179.43,176.86,180.19,169.16,173.20,173.52,173.58,173.20,176.65,171.57,171.46,175.96,170.89,173.05,174.61,170.28,173.10,175.02,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7:00,169.72,169.62,168.50,169.20,175.08,179.00,177.06,171.69,169.19,170.42,169.97,180.36,179.43,169.97,169.97,165.89,173.26,173.60,173.70,173.20,180.39,173.20,171.46,173.07,173.10,173.10,176.23,170.77,173.10,174.97,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8:00,174.42,169.44,172.16,171.98,174.58,182.09,183.07,182.38,192.32,173.88,184.15,180.63,181.22,180.51,169.97,168.74,187.33,186.91,187.10,196.82,186.49,177.36,173.20,173.10,175.29,180.73,185.18,174.84,179.49,188.25,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:00,171.98,169.44,184.61,180.37,186.57,186.31,183.19,183.44,179.00,187.25,180.48,184.70,187.98,170.49,170.74,169.97,184.43,186.53,185.86,187.75,184.87,173.91,173.20,181.99,185.90,188.25,183.87,180.17,183.76,175.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00,171.14,169.45,170.89,178.52,180.33,180.05,180.47,180.02,179.00,180.81,183.16,182.02,179.44,169.97,172.14,169.97,181.74,184.20,186.01,184.07,181.89,179.90,173.23,186.17,181.30,182.04,180.45,182.18,178.77,175.11,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:00,177.06,170.76,181.64,179.98,179.33,180.58,180.46,180.24,173.01,182.25,181.05,179.43,180.45,179.43,178.50,169.97,181.89,181.89,184.09,182.25,181.89,181.80,173.40,183.54,181.42,180.45,180.45,183.00,178.76,175.18,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
