,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: ,,ENERO/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORAS,01-Ene,02-Ene,03-Ene,04-Ene,05-Ene,06-Ene,07-Ene,08-Ene,09-Ene,10-Ene,11-Ene,12-Ene,13-Ene,14-Ene,15-Ene,16-Ene,17-Ene,18-Ene,19-Ene,20-Ene,21-Ene,22-Ene,23-Ene,24-Ene,25-Ene,26-Ene,27-Ene,28-Ene,29-Ene,30-Ene,31-Ene
1:00,159.24,151.68,155.79,158.52,156.04,150.80,153.62,151.63,153.73,161.01,152.31,161.10,153.70,156.00,156.03,156.13,156.00,152.75,157.39,156.14,150.39,150.56,153.31,153.31,155.99,157.50,156.72,163.35,159.16,155.31,157.07
2:00,163.03,148.92,151.48,166.00,152.76,150.30,156.28,153.71,153.70,153.39,149.09,159.48,153.70,153.43,156.00,158.78,156.00,153.73,156.04,153.85,150.54,149.65,153.18,151.57,153.18,153.43,158.70,163.35,160.18,155.93,158.27
3:00,158.22,150.26,158.70,152.99,149.53,161.11,165.78,157.35,155.19,152.01,151.64,159.47,153.70,153.40,156.00,156.22,154.25,152.94,156.00,156.00,150.28,150.79,149.56,149.12,150.17,153.31,161.36,163.35,158.93,155.67,157.43
4:00,158.87,149.98,152.76,152.76,149.20,162.18,166.49,153.70,158.75,153.70,150.50,159.48,161.98,156.00,156.26,156.22,154.13,153.02,156.00,154.10,153.14,151.07,149.76,148.56,153.18,153.18,162.44,163.35,158.28,157.23,156.00
5:00,156.72,158.10,161.65,157.81,151.24,156.06,157.62,157.06,151.71,153.70,153.60,159.48,157.35,157.69,156.01,159.96,152.43,153.76,156.00,156.00,153.31,150.05,154.80,153.31,156.17,153.31,160.35,160.53,157.48,156.27,157.83
6:00,152.03,158.10,159.09,159.20,159.18,149.07,154.38,153.70,153.70,153.70,153.70,159.47,153.70,156.00,156.00,158.20,155.86,156.00,156.00,156.00,153.31,155.11,156.68,157.19,157.15,157.13,155.48,158.26,155.71,155.14,155.43
7:00,158.10,148.24,160.02,164.86,153.89,159.35,153.70,153.72,153.70,153.71,153.77,162.04,151.30,156.02,156.12,161.58,156.00,156.00,160.70,156.00,153.31,159.67,155.66,155.87,157.09,157.47,159.12,157.74,155.68,155.08,156.95
8:00,158.10,159.05,160.93,158.21,156.31,153.61,156.30,156.41,155.46,155.72,160.33,163.21,153.02,159.97,159.61,163.64,159.45,158.02,163.83,156.06,156.91,156.09,154.58,154.06,154.63,155.83,156.50,155.69,160.73,157.95,155.69
9:00,159.75,160.33,159.40,163.02,157.29,158.10,163.68,162.61,159.41,165.99,160.59,160.05,153.70,164.33,165.29,163.97,163.79,157.15,163.32,160.30,159.90,164.57,162.03,160.93,161.72,160.37,154.78,166.05,161.75,161.76,161.34
10:00,158.10,159.48,160.33,159.39,158.97,158.10,161.52,161.36,161.16,161.30,161.52,159.46,158.46,164.09,163.99,163.97,165.63,162.91,163.10,160.90,162.63,160.94,160.94,160.42,160.76,162.26,154.14,162.10,162.10,162.10,162.10
11:00,158.10,159.62,160.52,160.28,159.40,158.10,161.52,161.39,161.52,161.52,161.52,161.20,158.66,163.97,163.97,163.97,163.10,163.10,163.10,160.71,160.65,160.94,160.94,160.94,160.94,159.61,154.16,162.10,162.10,163.13,165.95
12:00,158.10,160.52,160.52,160.52,159.40,158.91,161.52,161.52,161.52,161.52,161.52,163.97,158.13,163.97,163.97,163.97,163.11,163.10,163.10,160.20,160.94,160.94,160.94,160.94,171.44,159.76,154.17,162.10,162.10,163.66,163.20
13:00,154.90,160.52,160.52,160.52,159.40,158.10,161.52,161.52,161.52,161.52,161.52,161.20,157.67,163.97,163.97,163.97,163.20,163.10,162.75,160.20,160.49,160.94,160.94,160.94,169.15,159.78,158.35,162.10,162.10,163.72,163.16
14:00,157.66,160.52,160.52,160.52,159.40,158.10,163.97,161.52,161.52,161.21,161.52,161.20,159.53,163.97,163.97,163.97,163.40,163.10,157.29,159.09,160.74,160.94,160.94,160.94,168.88,159.80,154.18,167.53,168.10,163.59,163.17
15:00,158.10,160.72,163.64,160.52,159.40,158.10,164.73,165.63,161.52,161.20,161.52,160.21,159.55,168.79,163.97,163.97,163.39,163.10,158.13,162.35,160.94,160.94,161.15,160.94,168.92,159.79,158.36,162.98,162.69,172.09,163.16
16:00,152.76,160.52,162.48,160.52,158.91,158.10,162.79,165.05,161.52,161.20,161.52,162.55,159.56,164.16,168.28,163.89,163.42,163.10,159.74,163.10,160.94,160.94,160.94,160.94,167.95,159.93,154.23,163.27,163.94,169.90,165.79
17:00,158.79,160.52,161.70,160.52,158.10,159.96,163.70,161.49,161.52,161.13,161.03,159.60,158.85,166.56,167.11,163.25,163.21,160.99,161.03,161.36,160.94,160.94,160.94,160.94,160.94,159.81,155.46,166.13,163.85,163.64,162.10
18:00,157.88,162.29,160.52,160.52,160.38,160.17,160.60,160.64,161.52,160.39,160.12,161.60,162.95,163.97,163.97,163.21,162.90,162.02,161.46,163.67,160.94,160.94,160.41,159.97,160.94,159.78,158.75,162.10,165.58,165.30,162.10
19:00,162.65,163.35,160.52,160.52,160.52,162.07,161.52,161.52,161.52,161.52,161.51,161.35,162.80,163.97,167.91,163.97,163.86,164.10,166.01,164.93,160.94,160.94,166.95,160.94,164.65,163.63,164.38,164.57,164.10,163.61,162.10
20:00,159.74,164.39,160.52,160.52,160.52,159.40,161.52,161.52,161.52,161.52,161.43,161.49,161.43,163.97,165.48,163.97,163.97,163.97,163.10,163.10,160.94,160.94,162.36,160.94,163.23,163.68,160.94,164.88,163.18,163.86,162.10
