,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: ,,FEBRERO/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORAS,1-Feb,2-Feb,3-Feb,4-Feb,5-Feb,6-Feb,7-Feb,8-Feb,9-Feb,10-Feb,11-Feb,12-Feb,13-Feb,14-Feb,15-Feb,16-Feb,17-Feb,18-Feb,19-Feb,20-Feb,21-Feb,22-Feb,23-Feb,24-Feb,25-Feb,26-Feb,27-Feb,28-Feb,,,
1:00,154.35,154.35,165.61,163.09,161.65,162.01,158.17,157.64,163.09,160.22,165.05,167.91,167.80,167.80,165.25,165.23,156.66,159.24,159.24,164.73,160.71,159.24,159.24,160.74,155.68,162.41,159.83,156.28,,,
2:00,152.89,151.78,156.45,160.38,158.63,160.61,158.75,157.98,154.44,156.92,165.02,167.80,167.80,167.80,165.25,165.25,156.42,50.00,159.24,159.24,171.82,159.22,159.24,159.60,155.57,162.52,156.00,155.70,,,
3:00,147.00,151.09,156.98,159.79,158.82,163.11,159.49,158.26,153.91,162.78,162.89,168.03,167.80,173.37,165.24,165.24,167.80,50.00,77.31,159.24,171.81,160.91,159.24,159.24,155.83,161.32,156.69,157.96,,,
4:00,154.35,151.82,157.60,160.22,162.16,159.50,159.47,160.90,153.65,156.92,162.78,167.80,167.80,167.80,167.80,165.24,167.80,50.00,50.00,159.24,171.81,169.71,159.24,159.24,156.37,160.82,156.73,158.27,,,
5:00,152.62,150.08,157.44,159.62,163.09,162.16,162.98,167.52,155.46,163.09,168.02,173.61,167.80,167.80,170.83,172.21,167.80,125.10,148.08,170.05,166.68,159.24,159.97,159.25,155.55,160.80,160.82,159.22,,,
6:00,157.62,154.35,157.02,163.69,163.39,166.61,165.04,163.32,154.66,163.09,172.67,167.80,173.70,167.80,167.80,167.80,167.80,161.83,159.24,168.58,159.24,159.24,159.24,160.90,162.95,175.03,164.53,166.55,,,
7:00,154.35,172.44,157.83,163.46,165.46,163.59,162.87,163.44,155.84,159.69,167.80,167.80,167.80,167.80,167.80,167.80,167.80,156.36,159.24,164.13,166.35,159.24,159.24,165.03,163.84,167.22,162.72,163.02,,,
8:00,154.35,157.56,156.83,165.30,163.54,169.32,163.75,164.25,163.86,163.09,167.80,167.95,167.80,167.95,167.80,167.80,168.17,159.24,159.24,163.42,163.45,163.35,161.22,166.20,162.40,167.62,161.98,165.36,,,
9:00,160.14,162.96,155.59,169.37,164.95,169.62,164.68,164.66,163.10,164.42,168.04,172.07,170.99,172.87,172.86,167.80,168.17,164.93,163.85,166.12,166.41,168.73,164.02,166.24,169.04,168.02,166.53,171.00,,,
10:00,160.83,161.12,155.64,165.90,165.00,171.44,175.01,165.90,163.09,163.09,171.13,169.21,170.67,169.23,168.69,167.80,168.17,166.35,162.13,171.08,166.93,168.45,162.20,165.97,168.02,172.28,167.59,168.06,,,
