,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: ,,MARZO/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORAS,1-Mar,2-Mar,3-Mar,4-Mar,5-Mar,6-Mar,7-Mar,8-Mar,9-Mar,10-Mar,11-Mar,12-Mar,13-Mar,14-Mar,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar
1:00,156.37,160.14,160.70,148.16,150.81,159.48,152.66,148.16,153.02,150.81,156.99,157.00,155.56,153.50,153.34,153.15,160.49,153.86,159.13,155.67,156.72,159.69,154.49,159.91,162.01,155.05,154.94,150.36,152.05,157.90,154.94
2:00,157.14,156.90,155.40,148.16,148.90,160.85,168.00,148.16,150.81,149.74,153.15,153.56,153.45,153.21,150.69,153.15,155.07,153.86,162.95,159.99,155.58,159.69,154.49,155.13,167.31,155.05,154.94,152.65,154.94,154.94,151.99
3:00,172.00,156.87,155.40,148.16,148.16,158.18,171.84,148.16,150.81,148.16,153.15,155.75,153.21,153.15,150.47,153.15,153.15,153.86,163.02,155.98,155.16,159.70,154.11,158.82,160.27,159.36,154.94,151.66,154.94,154.94,156.15
4:00,165.53,156.89,76.35,148.16,148.16,151.05,171.48,148.16,150.81,148.16,153.15,155.88,153.15,153.15,150.27,153.15,153.15,153.86,155.97,156.02,165.20,159.68,154.48,155.75,160.26,156.68,154.94,154.94,154.94,154.94,154.94
5:00,159.01,155.67,50.00,148.16,148.16,155.61,169.93,148.16,150.81,149.44,155.37,155.51,153.46,153.36,153.19,153.15,153.15,154.33,158.57,156.32,162.86,166.76,159.69,155.53,160.26,158.98,154.94,154.94,154.94,154.94,154.94
6:00,165.33,160.70,105.04,148.16,154.19,155.68,152.72,150.81,153.88,150.81,156.20,154.91,157.12,158.50,153.56,153.15,153.15,158.49,159.21,167.48,162.24,162.21,160.65,157.86,161.11,158.64,154.94,157.41,154.94,154.94,154.94
7:00,164.32,158.42,53.51,149.66,151.68,157.90,151.24,148.16,152.72,148.56,155.98,155.74,155.67,158.20,153.56,154.85,154.71,155.85,159.68,161.66,162.24,162.24,161.46,159.68,163.90,157.66,154.94,151.69,154.94,154.94,154.94
8:00,161.91,163.16,155.40,158.64,151.60,158.45,155.30,151.03,153.77,150.81,154.89,156.60,154.45,155.16,157.08,164.01,153.15,161.35,163.97,162.24,162.24,162.24,161.39,159.70,162.68,162.59,157.28,154.94,154.94,155.47,154.94
9:00,165.41,162.36,155.40,160.23,159.01,162.69,162.19,155.68,158.67,150.81,164.82,161.07,160.45,159.39,155.27,157.04,156.02,165.41,166.94,165.97,166.56,165.45,161.75,162.83,167.50,164.85,156.03,156.38,154.94,154.94,154.94
10:00,172.25,168.68,155.40,158.42,165.10,165.37,163.15,161.55,156.64,150.81,161.32,164.33,161.32,161.25,162.59,158.03,159.99,166.97,164.18,162.47,163.54,162.37,162.24,161.57,163.56,162.39,162.04,154.94,154.94,162.04,154.94
11:00,168.02,167.02,155.40,163.43,163.43,163.43,163.22,162.90,157.35,150.81,162.64,165.18,163.32,165.63,159.82,158.80,160.27,165.44,176.11,163.60,167.21,163.35,162.24,162.10,169.46,162.31,162.04,151.41,154.94,162.04,162.04
12:00,168.05,167.47,159.49,167.24,163.43,168.50,163.44,162.89,161.51,150.81,165.13,162.96,166.47,163.96,160.59,158.81,155.91,171.54,171.06,163.84,174.25,162.96,162.24,162.24,170.82,162.69,162.04,154.12,158.16,162.04,162.57
13:00,169.13,172.78,155.71,163.43,163.43,164.29,163.43,162.91,162.04,150.81,163.08,162.07,161.86,161.32,159.39,158.67,162.80,167.93,173.27,163.85,171.37,163.49,162.24,162.24,170.54,166.35,162.04,162.04,151.75,162.04,154.94
14:00,168.56,162.30,157.43,163.51,163.43,163.89,163.43,162.92,157.96,150.81,162.71,162.26,161.93,161.32,160.84,156.36,160.30,171.52,174.13,170.42,171.19,172.02,162.24,162.24,170.55,162.84,162.04,162.04,154.94,164.30,154.94
15:00,168.72,163.99,155.40,163.43,163.43,164.33,163.43,162.88,156.80,150.81,171.36,162.46,162.21,161.32,160.80,156.57,164.72,172.45,171.44,173.51,173.55,173.94,162.24,161.70,173.73,162.76,162.04,152.09,150.35,162.04,154.94
16:00,168.72,165.13,155.40,163.43,163.43,164.76,163.43,162.91,158.60,150.81,169.95,163.84,164.25,161.32,161.78,156.94,158.83,171.01,175.05,173.06,172.91,171.17,162.24,161.80,170.54,162.40,162.04,162.09,156.16,162.04,154.94
17:00,171.74,165.16,155.40,166.35,163.35,166.61,164.68,162.48,157.19,157.43,170.42,161.29,161.42,163.65,162.37,156.79,158.83,172.94,171.19,171.13,172.17,169.81,162.24,162.24,173.24,167.04,157.76,162.30,154.94,162.61,154.94
18:00,171.89,165.39,163.69,158.70,162.66,162.57,163.25,161.56,155.68,172.13,161.32,160.90,158.34,159.45,158.81,158.29,160.52,162.84,164.27,168.22,163.52,162.35,162.24,162.24,164.85,160.44,158.28,162.04,157.12,161.74,154.95
19:00,167.66,170.59,166.95,164.74,167.78,167.62,164.65,164.25,167.64,165.19,164.73,165.38,167.06,166.50,160.59,160.14,167.57,171.80,172.91,177.41,177.32,172.62,176.37,170.11,179.54,165.14,165.02,162.59,161.92,163.86,164.54
20:00,166.97,167.95,168.11,163.43,164.13,166.15,163.43,163.43,165.23,163.43,162.43,162.08,163.67,164.22,160.28,160.28,163.45,171.93,177.64,171.92,173.34,174.14,173.11,172.96,175.59,162.80,162.52,162.04,162.04,163.21,162.64
21:00,166.77,169.26,165.47,163.43,166.34,163.19,163.29,163.23,164.99,163.43,162.95,164.13,161.24,161.32,164.90,159.82,161.88,167.66,166.80,176.20,174.44,173.18,168.65,166.69,172.66,162.52,165.27,162.35,162.04,166.73,166.71
22:00,171.45,169.04,161.07,168.91,168.35,165.61,163.67,166.01,163.40,167.11,166.29,163.31,164.39,162.37,157.11,163.45,164.58,163.85,166.64,165.77,167.52,163.50,164.03,164.52,174.97,166.03,164.96,161.01,160.89,156.86,160.26
23:00,162.91,161.83,157.97,153.50,158.23,159.22,153.01,155.28,158.82,159.80,155.19,159.56,156.38,156.97,154.38,156.91,155.79,164.85,158.74,164.87,163.71,163.56,165.61,162.24,169.68,161.06,158.35,155.02,154.94,158.21,156.96
