,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIOS DE ENERGIA EN EL MERCADO DE OCASION ( US$/MWh ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODO: ,,JUNIO/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HORAS,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,
1:00,155.87,154.83,159.51,168.92,154.57,154.83,154.83,154.83,163.81,155.35,158.02,155.31,156.81,163.81,163.81,162.93,154.26,149.91,153.95,153.49,168.52,162.93,156.72,166.88,162.26,153.83,167.16,162.31,154.44,161.27,
2:00,155.84,154.83,159.44,159.89,154.58,154.83,154.83,154.57,155.28,155.35,164.13,156.13,155.24,163.81,164.45,153.84,150.73,162.93,162.93,149.41,162.93,162.93,157.28,164.98,162.26,158.07,158.62,158.71,147.61,161.27,
3:00,155.84,175.58,159.55,158.65,154.83,154.83,166.96,154.57,155.17,155.35,160.22,167.26,153.44,155.73,168.47,153.04,149.83,162.93,154.09,150.28,162.93,147.40,158.46,159.27,148.45,151.63,158.62,147.63,148.07,161.27,
4:00,155.82,155.64,156.18,158.02,154.57,154.83,154.83,158.67,156.64,166.35,155.19,165.38,153.41,155.72,155.31,149.32,149.69,162.93,154.27,150.22,162.93,147.40,162.26,160.83,149.05,162.26,158.62,158.62,162.26,152.32,
5:00,155.89,155.06,157.03,157.66,154.57,154.83,154.83,154.57,155.31,161.16,158.84,155.34,154.98,163.81,163.81,147.40,159.87,154.41,164.48,149.16,162.93,162.93,162.26,162.26,149.32,154.01,162.26,158.62,162.26,158.14,
6:00,157.09,155.05,157.38,157.66,154.83,154.83,154.76,156.56,163.81,155.31,158.67,155.31,158.77,155.68,154.93,147.40,154.37,162.93,160.06,148.55,162.93,162.93,162.26,158.69,151.63,173.27,162.26,149.17,148.76,158.16,
7:00,157.24,156.26,156.13,156.26,154.57,154.57,154.57,154.80,164.51,155.31,156.83,155.31,155.31,155.71,154.14,162.93,154.41,154.41,154.31,148.64,162.93,162.93,158.62,158.62,162.26,163.43,171.37,149.66,148.08,157.29,
8:00,157.25,156.31,156.26,162.84,154.83,154.83,154.75,156.52,163.81,165.31,165.57,165.84,155.31,163.81,149.74,166.79,162.93,164.09,163.15,154.20,167.46,149.63,172.42,163.93,162.26,162.26,178.57,162.26,162.26,165.41,
9:00,158.67,163.81,162.84,166.13,168.16,163.97,154.83,154.57,175.03,169.22,173.45,172.72,172.71,163.81,163.81,165.40,167.70,171.04,171.61,154.11,162.93,148.94,182.97,162.26,167.17,163.82,172.68,162.26,147.83,161.27,
10:00,158.71,174.01,162.84,165.65,165.67,167.92,161.81,154.57,172.67,169.96,166.14,165.41,163.94,171.45,163.81,162.93,163.77,164.49,171.32,162.93,162.93,162.93,171.28,160.43,163.25,172.40,169.00,162.26,162.26,161.85,
11:00,158.70,165.41,173.37,165.66,171.43,163.13,158.03,159.05,167.04,165.76,166.23,166.98,167.67,164.93,163.81,162.93,170.26,171.53,165.22,162.93,162.93,166.33,174.11,162.26,166.88,172.82,176.44,162.26,155.96,166.13,
12:00,158.67,165.98,167.23,165.65,170.53,168.87,158.06,154.83,167.21,165.73,166.29,165.73,170.88,166.01,163.81,162.93,169.63,165.35,164.99,162.93,167.97,162.93,174.08,162.26,162.26,164.48,175.16,162.26,162.26,163.50,
13:00,156.01,166.35,165.83,165.66,165.23,171.04,162.84,154.83,167.15,165.74,166.36,165.83,167.06,163.81,163.81,168.60,165.27,178.35,164.84,163.00,163.09,162.39,169.35,173.08,162.26,162.26,175.10,173.74,162.26,163.50,
14:00,155.36,166.38,170.29,165.66,165.26,165.35,159.68,158.21,166.59,165.76,166.47,165.81,165.74,165.50,163.81,169.39,163.80,164.99,165.13,168.17,167.80,164.80,174.18,162.26,180.86,162.26,168.73,162.26,162.26,164.67,
15:00,155.36,166.39,166.31,165.65,165.27,165.37,161.77,156.01,167.49,165.80,166.48,165.80,180.71,163.81,163.81,168.15,169.95,170.68,165.19,164.44,167.40,164.03,172.81,162.26,173.77,162.26,168.39,162.26,162.26,174.18,
16:00,155.36,165.70,166.36,165.25,165.25,165.43,154.95,154.83,165.99,167.99,166.25,166.80,167.89,163.81,160.96,163.71,169.57,169.05,164.78,162.93,162.93,160.04,168.39,162.26,169.43,162.26,168.39,180.92,162.26,172.86,
17:00,155.37,165.23,165.69,171.65,168.20,172.35,154.83,154.83,165.52,179.24,172.52,176.13,169.45,163.81,163.81,158.03,163.12,165.21,171.44,162.93,162.93,154.41,168.36,162.26,174.68,166.88,171.75,162.26,159.03,166.57,
18:00,155.37,175.66,179.44,164.74,161.22,166.74,154.83,165.58,168.89,175.82,170.60,170.08,163.81,163.81,170.13,154.41,168.43,169.14,155.37,162.93,162.93,154.41,168.38,158.62,166.88,172.59,162.67,162.26,167.64,162.77,
19:00,163.95,170.69,167.79,165.36,173.60,171.29,174.57,162.84,169.85,165.77,170.83,164.94,170.86,166.88,172.14,162.93,168.38,169.64,177.53,168.00,162.93,162.93,174.85,163.68,173.51,180.26,173.63,162.26,162.26,171.93,
20:00,163.41,165.94,165.66,165.82,166.15,169.12,169.41,158.85,171.13,165.79,169.65,171.37,165.66,166.49,170.00,162.93,165.99,164.78,167.89,163.87,162.93,162.93,168.97,162.78,168.40,168.48,168.47,162.26,162.71,172.93,
21:00,155.93,165.94,170.29,165.85,167.21,172.74,159.52,159.31,165.75,173.91,170.53,171.07,179.24,167.68,171.31,162.93,162.93,170.78,167.47,172.14,162.93,162.93,171.23,165.93,168.42,168.49,176.75,162.26,166.26,164.22,
22:00,165.72,174.84,174.75,179.44,166.56,163.33,161.07,154.83,171.88,173.05,163.81,163.81,167.78,167.41,163.81,154.41,162.93,169.83,159.61,164.51,163.26,159.28,174.69,169.83,170.87,182.65,164.69,162.26,167.38,172.89,
23:00,155.37,163.97,177.55,159.32,154.83,154.83,158.74,154.83,164.47,169.07,163.81,163.81,163.81,163.81,163.81,154.20,160.09,154.31,154.03,156.74,163.49,160.09,166.88,157.35,168.03,162.26,161.27,162.57,155.22,159.31,
24:00,155.37,176.04,164.18,168.92,154.83,163.30,157.39,154.57,155.35,163.81,163.81,163.81,165.12,163.81,163.81,153.99,153.69,162.93,159.46,164.50,162.93,162.93,166.88,153.76,166.44,162.26,158.62,154.50,147.59,169.99,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO DE POTENCIA DE OCASION ( US$ / MW ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1-Jun,2-Jun,3-Jun,4-Jun,5-Jun,6-Jun,7-Jun,8-Jun,9-Jun,10-Jun,11-Jun,12-Jun,13-Jun,14-Jun,15-Jun,16-Jun,17-Jun,18-Jun,19-Jun,20-Jun,21-Jun,22-Jun,23-Jun,24-Jun,25-Jun,26-Jun,27-Jun,28-Jun,29-Jun,30-Jun,
PRECIO,190.00,00.50,215.00,215.00,215.00,215.00,215.00,214.50,215.00,214.50,215.00,215.00,190.00,00.50,00.50,00.50,00.50,190.00,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,00.50,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PRECIOS MAXIMOS, MINIMOS ENERGIA Y POTENCIA DE OCASION ( US$/MWh-US$/MW )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRECIO,MAX,MIN,PROM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERGIA,182.97,147.40,162.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTENCIA,215.00,0.50,90.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
