"","Casa","Mes","Ano","energia.x","Energia","Energia_Ajustada","tipo","importe","mes","fecha","energia.y","energia_ajustada","treatment","report_intervention_month","intervention_group","sms_intervention_month","sms_intervention_month_text","information_group","wtp_paper","wtp_values","wtp_lw_md_h","mean_cost","fraction_wtp","fraction_lw_md_h","importe_dl","Lugar","energia","lag_variable","diff_variable","treatment_v2","mbm_paper","sms_dr","all_months_intervention"
"1","A1","Octubre",2014,357.987171322502,NA,NA,"Recibos de energia electrica",2692.3,10,2014-10-01,NA,357,"Treatment",1,"Treatment Pre-Intervention",1,"Actively Receiving SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",92,"casa",357,NA,NA,"Treatment - Lost Information","Other","Other","Other"
"2","A1","Noviembre",2014,322.87217947529,NA,NA,"Recibos de energia electrica",2415.92,11,2014-11-01,NA,322,"Treatment",0,"Treatment Pre-Intervention",0,"No SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",83,"casa",322,357,-35,"Treatment - Lost Information","Other","Other","Other"
"3","A1","Diciembre",2014,283.786953099444,NA,NA,"Recibos de energia electrica",2104.96,12,2014-12-01,NA,283,"Treatment",0,"Treatment Pre-Intervention",0,"No SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",72,"casa",283,322,-39,"Treatment - Lost Information","Other","Other","Other"
"4","A1","Enero",2015,305.893309330232,NA,NA,"Recibos de energia electrica",2294.88,1,2015-01-01,NA,305,"Treatment",0,"Treatment Pre-Intervention",0,"No SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",79,"casa",305,283,22,"Treatment - Lost Information","Other","Other","Other"
"5","A1","Febrero",2015,266.297771874251,NA,NA,"Recibos de energia electrica",1975.89,2,2015-02-01,NA,266,"Treatment",1,"Treatment Pre-Intervention",0,"No SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",68,"casa",266,305,-39,"Treatment - Lost Information","Other","Other","Other"
"6","A1","Marzo",2015,283.029903039716,NA,NA,"Recibos de energia electrica",2123.11,3,2015-03-01,NA,283,"Treatment",1,"Treatment Pre-Intervention",0,"No SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",73,"casa",283,266,17,"Treatment - Lost Information","Other","Other","Other"
"7","A1","Abril",2015,331.866248368903,NA,NA,"Recibos de energia electrica",2300.33,4,2015-04-01,NA,331,"Treatment",1,"Treatment Pre-Intervention",0,"No SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",79,"casa",331,283,48,"Treatment - Lost Information","Other","Other","Other"
"8","A1","Mayo",2015,329.921440279008,NA,NA,"Recibos de energia electrica",2295.06,5,2015-05-01,NA,329,"Treatment",1,"Treatment Pre-Intervention",0,"No SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",79,"casa",329,331,-2,"Treatment - Lost Information","Other","Other","Other"
"9","A1","Junio",2015,NA,"TD[""00_0_0""] = ""326"";","TD[""00_0_0""] = ""326"";","Recibos de energia electrica",2297.04,6,2015-06-01,326,326,"Treatment",1,"Treatment Pre-Intervention",1,"Actively Receiving SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",79,"casa",326,329,-3,"Treatment - Lost Information","Other","Other","Other"
"10","A1","Julio",2015,NA,"TD[""00_1_0""] = ""336"";","TD[""00_1_0""] = ""336"";","Recibos de energia electrica",2378.99,7,2015-07-01,336,336,"Treatment",1,"Treatment Pre-Intervention",1,"Actively Receiving SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",82,"casa",336,326,10,"Treatment - Lost Information","Other","Other","Other"
"11","A1","Agosto",2015,NA,"TD[""00_2_0""] = ""370"";","TD[""00_2_0""] = ""370"";","Recibos de energia electrica",2647.38,8,2015-08-01,370,370,"Treatment",1,"Treatment Pre-Intervention",1,"Actively Receiving SMS","Lost Willingness to Pay Information Bid",0,0,"low",1954.27833333333,0,"low",91,"casa",370,336,34,"Treatment - Lost Information","Other","Other","Other"
