sampleSize,Power
50,0.072
100,0.106
150,0.142
200,0.184
250,0.202
300,0.25
350,0.312
400,0.326
450,0.372
500,0.396
550,0.44
600,0.44
650,0.494
700,0.514
750,0.548
800,0.58
850,0.626
900,0.604
950,0.678
1e3,0.684
1050,0.664
1100,0.718
1150,0.732
1200,0.77
1250,0.756
1300,0.772
1350,0.818
1400,0.84
1450,0.83
1500,0.846
1550,0.87
1600,0.838
1650,0.894
1700,0.892
1750,0.896
1800,0.908
1850,0.922
1900,0.926
1950,0.936
2e3,0.924
2050,0.942
2100,0.94
2150,0.946
2200,0.934
2250,0.94
2300,0.962
2350,0.97
