sampleSize,Power
200,0.562
225,0.636
250,0.666
275,0.674
300,0.706
325,0.68
350,0.7
375,0.712
400,0.694
425,0.678
450,0.71
475,0.72
500,0.726
525,0.742
550,0.694
575,0.744
600,0.704
625,0.73
650,0.754
675,0.738
700,0.73
725,0.742
750,0.762
775,0.746
800,0.734
825,0.774
850,0.73
875,0.782
900,0.724
925,0.76
950,0.75
975,0.76
1e3,0.752
1025,0.742
1050,0.736
1075,0.75
1100,0.728
1125,0.754
1150,0.762
1175,0.736
1200,0.76
1225,0.736
1250,0.74
1275,0.77
1300,0.76
1325,0.772
1350,0.78
1375,0.794
1400,0.78
1425,0.794
1450,0.818
1475,0.764
1500,0.766
1525,0.782
1550,0.758
1575,0.774
