sampleSize,Power
200,0.574
225,0.602
250,0.63
275,0.622
300,0.702
325,0.654
350,0.69
375,0.712
400,0.702
425,0.702
450,0.718
475,0.728
500,0.736
525,0.728
550,0.718
575,0.722
600,0.724
625,0.688
650,0.712
675,0.748
700,0.716
725,0.686
750,0.762
775,0.726
800,0.748
825,0.752
850,0.744
875,0.742
900,0.74
925,0.684
950,0.758
975,0.706
1e3,0.74
1025,0.69
1050,0.768
1075,0.76
1100,0.746
1125,0.708
1150,0.772
1175,0.778
1200,0.778
1225,0.742
1250,0.766
1275,0.754
1300,0.782
1325,0.77
1350,0.752
1375,0.736
1400,0.758
1425,0.766
1450,0.756
1475,0.752
1500,0.752
1525,0.75
1550,0.734
1575,0.768
1600,0.726
1625,0.746
1650,0.774
1675,0.764
1700,0.806
1725,0.756
1750,0.746
1775,0.76
1800,0.778
1825,0.744
