sampleSize,Power
50.0,0.06
100.0,0.108
150.0,0.13
200.0,0.164
250.0,0.21
300.0,0.234
350.0,0.284
400.0,0.328
450.0,0.362
500.0,0.402
550.0,0.42
600.0,0.434
650.0,0.486
700.0,0.502
750.0,0.514
800.0,0.596
850.0,0.602
900.0,0.618
950.0,0.652
1e3,0.674
1050.0,0.718
1100.0,0.71
1150.0,0.73
1200.0,0.706
1250.0,0.77
1300.0,0.79
1350.0,0.784
1400.0,0.834
1450.0,0.876
1500.0,0.846
1550.0,0.838
1600.0,0.896
1650.0,0.874
1700.0,0.89
1750.0,0.874
1800.0,0.892
1850.0,0.902
1900.0,0.94
1950.0,0.942
2e3,0.928
2050.0,0.936
2100.0,0.946
2150.0,0.958
2200.0,0.958
2250.0,0.946
2300.0,0.954
2350.0,0.956
2400.0,0.956
